DATA;CAMPUS;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS
2024-02-04;CORONEL VIVIDA;0;0;1;0
2024-02-05;CORONEL VIVIDA;0;0;1;0
2024-02-06;CORONEL VIVIDA;0;0;1;0
2024-02-07;CORONEL VIVIDA;0;0;1;0
2024-02-08;CORONEL VIVIDA;0;0;1;0
2024-02-09;CORONEL VIVIDA;0;0;1;0
2024-02-10;CORONEL VIVIDA;0;0;1;0
2024-02-11;CORONEL VIVIDA;0;0;1;0
2024-02-12;CORONEL VIVIDA;0;0;1;0
2024-02-13;CORONEL VIVIDA;0;0;1;0
2024-02-14;CORONEL VIVIDA;0;0;1;0
2024-02-15;CORONEL VIVIDA;0;0;1;0
2024-02-16;CORONEL VIVIDA;0;0;1;0
2024-02-17;CORONEL VIVIDA;0;0;1;0
2024-02-18;CORONEL VIVIDA;0;0;1;0
2024-02-19;CORONEL VIVIDA;0;0;1;0
2024-02-20;CORONEL VIVIDA;0;0;1;0
2024-02-21;CORONEL VIVIDA;0;0;1;0
2024-02-22;CORONEL VIVIDA;0;0;1;0
2024-02-23;CORONEL VIVIDA;0;0;1;0
2024-02-24;CORONEL VIVIDA;0;0;1;0
2024-02-25;CORONEL VIVIDA;0;0;1;0
2024-02-26;CORONEL VIVIDA;0;0;1;0
2024-02-27;CORONEL VIVIDA;0;0;1;0
2024-02-28;CORONEL VIVIDA;0;0;1;0
2024-02-29;CORONEL VIVIDA;0;0;1;0
2024-03-01;CORONEL VIVIDA;0;0;1;0
2024-03-02;CORONEL VIVIDA;0;0;1;0
2024-03-03;CORONEL VIVIDA;0;0;1;0
2024-03-04;CORONEL VIVIDA;0;0;1;0
2024-03-05;CORONEL VIVIDA;0;0;1;0
2024-03-06;CORONEL VIVIDA;0;0;1;0
2024-03-07;CORONEL VIVIDA;0;0;1;0
2024-03-08;CORONEL VIVIDA;0;0;1;0
2024-03-09;CORONEL VIVIDA;0;0;1;0
2024-03-10;CORONEL VIVIDA;0;0;1;0
2024-03-11;CORONEL VIVIDA;0;0;1;0
2024-03-12;CORONEL VIVIDA;0;0;1;0
2024-03-13;CORONEL VIVIDA;0;0;1;0
2024-03-14;CORONEL VIVIDA;0;0;1;0
2024-03-15;CORONEL VIVIDA;0;0;1;0
2024-03-16;CORONEL VIVIDA;0;0;1;0
2024-03-17;CORONEL VIVIDA;0;0;1;0
2024-03-18;CORONEL VIVIDA;0;0;1;0
