CONSUMO;DATA;TEMP_MIN_MÉD_MENS;TEMP_MÉD_MIN_MENS;TEMP_MÉD_MÉD_MENS;TEMP_MÉD_MAX_MENS;TEMP_MÉD_ACC_MENS;TEMP_MAX_MÉD_MENS;PRECIPITAÇÃO_MÉD_MENS;TEMP_MIN_MIN_MENS;TEMP_MIN_MAX_MENS;TEMP_MIN_ACC_MENS;TEMP_MAX_MIN_MENS;PRECIPITAÇÃO_MIN_MENS;TEMP_MAX_MAX_MENS;TEMP_MAX_ACC_MENS;PRECIPITAÇÃO_MAX_MENS;PRECIPITAÇÃO_ACC_MENS;DIA_DA_SEMANA_dom;DIA_DA_SEMANA_qua;DIA_DA_SEMANA_qui;DIA_DA_SEMANA_seg;DIA_DA_SEMANA_sex;DIA_DA_SEMANA_sáb;DIA_DA_SEMANA_ter;MÊS_abr;MÊS_ago;MÊS_dez;MÊS_fev;MÊS_jan;MÊS_jul;MÊS_jun;MÊS_mai;MÊS_mar;MÊS_nov;MÊS_out;MÊS_set;ANO_2021;ANO_2022;ANO_2023;ANO_2024;ANO_2015;ANO_2016;ANO_2017;ANO_2018;ANO_2019;ANO_2020;ANO_2014;CAMPUS_ARAPONGAS;CAMPUS_ASSIS CHATEAUBRIAND;CAMPUS_ASTORGA;CAMPUS_BARRACÃO;CAMPUS_CAMPO LARGO;CAMPUS_CAPANEMA;CAMPUS_CASCAVEL;CAMPUS_COLOMBO;CAMPUS_CORONEL VIVIDA;CAMPUS_CURITIBA;CAMPUS_FOZ DO IGUAÇU;CAMPUS_GOIOERÊ;CAMPUS_IRATI;CAMPUS_IVAIPORÃ;CAMPUS_JACAREZINHO;CAMPUS_JAGUARIAÍVA;CAMPUS_LONDRINA - CENTRO;CAMPUS_LONDRINA - NORTE;CAMPUS_PALMAS;CAMPUS_PARANAGUÁ;CAMPUS_PARANAVAÍ;CAMPUS_PINHAIS;CAMPUS_PITANGA;CAMPUS_QUEDAS DO IGUAÇU;CAMPUS_TELÊMACO BORBA;CAMPUS_UMUARAMA;CAMPUS_UNIÃO DA VITÓRIA;CURSOS_TEC_CONCOMITANTE;CURSOS_TEC_INTEGRADO;CURSOS_TEC_SUBSEQUENTE;CURSOS_GRAD_MATUTINO;CURSOS_GRAD_VESPERTINO;CURSOS_GRAD_NOTURNO;CURSOS_POS;FÉRIAS;FERIADO;COVID;GREVE;CAMPUS;REGIÃO;ORDEM;LAG_01;LAG_02;LAG_03;LAG_04;LAG_05;LAG_06;LAG_07;LAG_08;LAG_09;LAG_10;LAG_11;LAG_12
7.0;2016-02-29;19.0;22.0;25.0;28.0;734.0;33.0;4.0;19.0;23.0;602.0;33.0;0.0;33.0;865.0;23.0;117.0;4;4;4;5;4;4;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;3;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;1;5.0;7.0;6.0;6.0;4.0;3.0;3.0;4.0;6.0;8.0;9.0;6.0
9.0;2016-03-31;12.0;17.0;22.0;28.0;685.0;32.0;3.0;12.0;24.0;542.0;32.0;0.0;32.0;827.0;37.0;89.0;4;5;5;4;4;4;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;1;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;2;7.0;5.0;7.0;6.0;6.0;4.0;3.0;3.0;4.0;6.0;8.0;9.0
8.0;2016-04-30;4.0;9.0;23.0;28.0;702.0;33.0;2.0;4.0;23.0;542.0;33.0;0.0;33.0;862.0;49.0;69.0;4;4;4;4;5;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;3;9.0;7.0;5.0;7.0;6.0;6.0;4.0;3.0;3.0;4.0;6.0;8.0
5.0;2016-05-31;4.0;11.0;16.0;22.0;490.0;27.0;9.0;4.0;16.0;368.0;27.0;0.0;27.0;612.0;99.0;292.0;5;4;4;5;4;4;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;1;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;4;8.0;9.0;7.0;5.0;7.0;6.0;6.0;4.0;3.0;3.0;4.0;6.0
4.0;2016-06-30;-1.0;7.0;14.0;20.0;408.0;27.0;3.0;-1.0;14.0;252.0;27.0;0.0;27.0;563.0;49.0;98.0;4;5;5;4;4;4;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;5;5.0;8.0;9.0;7.0;5.0;7.0;6.0;6.0;4.0;3.0;3.0;4.0
4.0;2016-07-31;2.0;6.0;17.0;23.0;514.0;30.0;2.0;2.0;18.0;324.0;30.0;0.0;30.0;704.0;23.0;70.0;5;4;4;4;5;5;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;14;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;6;4.0;5.0;8.0;9.0;7.0;5.0;7.0;6.0;6.0;4.0;3.0;3.0
5.0;2016-08-31;3.0;10.0;18.0;25.0;555.0;32.0;15.0;3.0;18.0;386.0;32.0;0.0;32.0;723.0;82.0;459.0;4;5;4;5;4;4;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;7;4.0;4.0;5.0;8.0;9.0;7.0;5.0;7.0;6.0;6.0;4.0;3.0
6.0;2016-09-30;3.0;10.0;18.0;24.0;536.0;32.0;2.0;3.0;18.0;325.0;32.0;0.0;32.0;747.0;25.0;55.0;4;4;5;4;5;4;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;8;5.0;4.0;4.0;5.0;8.0;9.0;7.0;5.0;7.0;6.0;6.0;4.0
6.0;2016-10-31;7.0;14.0;21.0;29.0;652.0;34.0;11.0;7.0;23.0;480.0;34.0;0.0;34.0;824.0;85.0;352.0;5;4;4;5;4;5;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;9;6.0;5.0;4.0;4.0;5.0;8.0;9.0;7.0;5.0;7.0;6.0;6.0
7.0;2016-11-30;8.0;16.0;22.0;26.0;657.0;33.0;3.0;8.0;22.0;477.0;33.0;0.0;33.0;837.0;42.0;94.0;4;5;4;4;4;4;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;10;6.0;6.0;5.0;4.0;4.0;5.0;8.0;9.0;7.0;5.0;7.0;6.0
7.0;2016-12-31;13.0;20.0;23.0;27.0;721.0;32.0;5.0;13.0;22.0;576.0;32.0;0.0;32.0;865.0;42.0;147.0;4;4;5;4;5;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;11;7.0;6.0;6.0;5.0;4.0;4.0;5.0;8.0;9.0;7.0;5.0;7.0
5.0;2017-01-31;14.0;21.0;25.0;27.0;769.0;33.0;2.0;14.0;22.0;608.0;33.0;0.0;33.0;931.0;16.0;69.0;5;4;4;5;4;4;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;1.0;31;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;12;7.0;7.0;6.0;6.0;5.0;4.0;4.0;5.0;8.0;9.0;7.0;5.0
7.0;2017-02-28;16.0;22.0;25.0;28.0;699.0;34.0;3.0;16.0;21.0;551.0;34.0;0.0;34.0;846.0;24.0;97.0;4;4;4;4;4;4;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;3.0;0;2;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;13;5.0;7.0;7.0;6.0;6.0;5.0;4.0;4.0;5.0;8.0;9.0;7.0
8.0;2017-03-31;13.0;20.0;24.0;28.0;734.0;34.0;7.0;13.0;23.0;586.0;34.0;0.0;34.0;882.0;108.0;229.0;4;5;5;4;5;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;3.0;0;1;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;14;7.0;5.0;7.0;7.0;6.0;6.0;5.0;4.0;4.0;5.0;8.0;9.0
6.0;2017-04-30;5.0;12.0;20.0;24.0;601.0;29.0;10.0;5.0;21.0;464.0;29.0;0.0;29.0;738.0;94.0;293.0;5;4;4;4;4;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;3.0;0;1;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;15;8.0;7.0;5.0;7.0;7.0;6.0;6.0;5.0;4.0;4.0;5.0;8.0
5.0;2017-05-31;11.0;16.0;19.0;24.0;593.0;28.0;9.0;11.0;20.0;481.0;28.0;0.0;28.0;704.0;89.0;277.0;4;5;4;5;4;4;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;2.0;3.0;0;0;0;0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;16;6.0;8.0;7.0;5.0;7.0;7.0;6.0;6.0;5.0;4.0;4.0;5.0
