DATA;CAMPUS;CONSUMO
2022-11-01;ARAPONGAS;1.7241379310344827
2022-11-02;ARAPONGAS;1.7241379310344827
2022-11-03;ARAPONGAS;1.7241379310344827
2022-11-04;ARAPONGAS;1.7241379310344827
2022-11-05;ARAPONGAS;1.7241379310344827
2022-11-06;ARAPONGAS;1.7241379310344827
2022-11-07;ARAPONGAS;1.7241379310344827
2022-11-08;ARAPONGAS;1.7241379310344827
2022-11-09;ARAPONGAS;1.7241379310344827
2022-11-10;ARAPONGAS;1.7241379310344827
2022-11-11;ARAPONGAS;1.5625
2022-11-12;ARAPONGAS;1.5625
2022-11-13;ARAPONGAS;1.5625
2022-11-14;ARAPONGAS;1.5625
2022-11-15;ARAPONGAS;1.5625
2022-11-16;ARAPONGAS;1.5625
2022-11-17;ARAPONGAS;1.5625
2022-11-18;ARAPONGAS;1.5625
2022-11-19;ARAPONGAS;1.5625
2022-11-20;ARAPONGAS;1.5625
2022-11-21;ARAPONGAS;1.5625
2022-11-22;ARAPONGAS;1.5625
2022-11-23;ARAPONGAS;1.5625
2022-11-24;ARAPONGAS;1.5625
2022-11-25;ARAPONGAS;1.5625
2022-11-26;ARAPONGAS;1.5625
2022-11-27;ARAPONGAS;1.5625
2022-11-28;ARAPONGAS;1.5625
2022-11-29;ARAPONGAS;1.5625
2022-11-30;ARAPONGAS;1.5625
2022-12-01;ARAPONGAS;1.5625
2022-12-02;ARAPONGAS;1.5625
2022-12-03;ARAPONGAS;1.5625
2022-12-04;ARAPONGAS;1.5625
2022-12-05;ARAPONGAS;1.5625
2022-12-06;ARAPONGAS;1.5625
2022-12-07;ARAPONGAS;1.5625
2022-12-08;ARAPONGAS;1.5625
2022-12-09;ARAPONGAS;1.5625
2022-12-10;ARAPONGAS;1.5625
2022-12-11;ARAPONGAS;1.5625
2022-12-12;ARAPONGAS;1.5625
2022-12-13;ARAPONGAS;6.7
2022-12-14;ARAPONGAS;6.7
2022-12-15;ARAPONGAS;6.7
2022-12-16;ARAPONGAS;6.7
2022-12-17;ARAPONGAS;6.7
2022-12-18;ARAPONGAS;6.7
2022-12-19;ARAPONGAS;6.7
2022-12-20;ARAPONGAS;6.7
2022-12-21;ARAPONGAS;6.7
2022-12-22;ARAPONGAS;6.7
2022-12-23;ARAPONGAS;6.7
2022-12-24;ARAPONGAS;6.7
2022-12-25;ARAPONGAS;6.7
2022-12-26;ARAPONGAS;6.7
2022-12-27;ARAPONGAS;6.7
2022-12-28;ARAPONGAS;6.7
2022-12-29;ARAPONGAS;6.7
2022-12-30;ARAPONGAS;6.7
2022-12-31;ARAPONGAS;6.7
2023-01-01;ARAPONGAS;6.7
2023-01-02;ARAPONGAS;6.7
2023-01-03;ARAPONGAS;6.7
2023-01-04;ARAPONGAS;6.7
2023-01-05;ARAPONGAS;6.7
2023-01-06;ARAPONGAS;6.7
2023-01-07;ARAPONGAS;6.7
2023-01-08;ARAPONGAS;6.7
2023-01-09;ARAPONGAS;6.7
2023-01-10;ARAPONGAS;6.7
2023-01-11;ARAPONGAS;6.7
2023-01-12;ARAPONGAS;8.464285714285714
2023-01-13;ARAPONGAS;8.464285714285714
2023-01-14;ARAPONGAS;8.464285714285714
2023-01-15;ARAPONGAS;8.464285714285714
2023-01-16;ARAPONGAS;8.464285714285714
2023-01-17;ARAPONGAS;8.464285714285714
2023-01-18;ARAPONGAS;8.464285714285714
2023-01-19;ARAPONGAS;8.464285714285714
2023-01-20;ARAPONGAS;8.464285714285714
2023-01-21;ARAPONGAS;8.464285714285714
2023-01-22;ARAPONGAS;8.464285714285714
2023-01-23;ARAPONGAS;8.464285714285714
2023-01-24;ARAPONGAS;8.464285714285714
2023-01-25;ARAPONGAS;8.464285714285714
2023-01-26;ARAPONGAS;8.464285714285714
2023-01-27;ARAPONGAS;8.464285714285714
2023-01-28;ARAPONGAS;8.464285714285714
2023-01-29;ARAPONGAS;8.464285714285714
2023-01-30;ARAPONGAS;8.464285714285714
2023-01-31;ARAPONGAS;8.464285714285714
2023-02-01;ARAPONGAS;8.464285714285714
2023-02-02;ARAPONGAS;8.464285714285714
2023-02-03;ARAPONGAS;8.464285714285714
2023-02-04;ARAPONGAS;8.464285714285714
2023-02-05;ARAPONGAS;8.464285714285714
2023-02-06;ARAPONGAS;8.464285714285714
2023-02-07;ARAPONGAS;8.464285714285714
2023-02-08;ARAPONGAS;8.464285714285714
2023-02-09;ARAPONGAS;8.575757575757576
2023-02-10;ARAPONGAS;8.575757575757576
2023-02-11;ARAPONGAS;8.575757575757576
2023-02-12;ARAPONGAS;8.575757575757576
2023-02-13;ARAPONGAS;8.575757575757576
2023-02-14;ARAPONGAS;8.575757575757576
2023-02-15;ARAPONGAS;8.575757575757576
2023-02-16;ARAPONGAS;8.575757575757576
2023-02-17;ARAPONGAS;8.575757575757576
2023-02-18;ARAPONGAS;8.575757575757576
2023-02-19;ARAPONGAS;8.575757575757576
