CAMPUS;Numero_de_Dados;Media;Mediana;Desvio_Padrao;Maximo;Minimo;Periodo
ASSIS CHATEAUBRIAND;117;10227.897435897436;9744.0;4525.669210153868;21547.0;1170.0;02/2015 à 10/2024
ASTORGA;86;4028.906976744186;4225.0;1699.397489270532;8742.0;1467.0;09/2017 à 10/2024
BARRACÃO;115;2612.8260869565215;2508.0;924.0870816114791;7254.0;912.0;04/2015 à 10/2024
CAMPO LARGO;117;7732.991452991453;8370.0;3101.868114806053;12636.0;2511.0;02/2015 à 10/2024
CAPANEMA;85;5043.717647058824;5230.0;2668.925861214782;14415.0;690.0;10/2017 à 10/2024
CASCAVEL;86;9533.10465116279;9658.5;3423.0893684234147;19499.0;4185.0;09/2017 à 10/2024
CORONEL VIVIDA;87;2323.022988505747;2204.0;705.946436748856;4838.0;1104.0;08/2017 à 10/2024
CURITIBA;75;21409.906666666666;18782.0;9388.697551172227;42046.0;7427.0;08/2018 à 10/2024
FOZ DO IGUAÇU;118;21068.84745762712;21404.5;7491.870749483025;41664.0;4499.0;01/2015 à 10/2024
GOIOERÊ;82;6885.0609756097565;6738.5;2426.801992296924;14167.0;3100.0;01/2018 à 10/2024
IRATI;117;6572.74358974359;6768.0;2593.5861710748018;13640.0;2231.0;02/2015 à 10/2024
IVAIPORÃ;117;9124.068376068377;9278.0;3486.4512530812754;19251.0;3192.0;02/2015 à 10/2024
JACAREZINHO;87;12881.425287356322;13578.0;5291.0923051997315;27156.0;5177.0;08/2017 à 10/2024
JAGUARIAÍVA;111;3995.2792792792793;4104.0;1493.2816160826414;8184.0;744.0;08/2015 à 10/2024
LONDRINA - CENTRO;85;5027.976470588235;4600.0;2289.873587571774;10815.0;1930.0;10/2017 à 10/2024
PALMAS;86;16121.627906976744;15457.5;4564.911142866951;24970.0;4088.0;09/2017 à 10/2024
PARANAGUÁ;130;21718.19230769231;20873.0;8102.798174060166;42470.0;6870.0;01/2014 à 10/2024
PARANAVAÍ;129;15934.348837209302;15063.0;6389.84247000068;32457.0;5790.0;02/2014 à 10/2024
PINHAIS;106;4663.924528301887;4812.5;1277.689758141349;7560.0;2139.0;01/2016 à 10/2024
PITANGA;85;4084.3176470588237;4479.0;1649.0255001909798;7874.0;1380.0;10/2017 à 10/2024
QUEDAS DO IGUAÇU;84;2847.214285714286;2913.5;764.9919295806855;4805.0;870.0;11/2017 à 10/2024
TELÊMACO BORBA;85;13909.635294117646;14539.0;4593.6353013787275;23250.0;6180.0;10/2017 à 10/2024
UMUARAMA;108;19451.675925925927;18956.5;7299.624750089917;41292.0;7830.0;11/2015 à 10/2024
UNIÃO DA VITÓRIA;85;5464.8117647058825;4968.0;2621.430182598976;11687.0;2250.0;10/2017 à 10/2024
