PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2021-11-30;0.0;ARAPONGAS;REGIÃO NORTE;1
2021-12-31;0.0;ARAPONGAS;REGIÃO NORTE;2
2022-01-31;0.0;ARAPONGAS;REGIÃO NORTE;3
2022-02-28;0.0;ARAPONGAS;REGIÃO NORTE;4
2022-03-31;0.0;ARAPONGAS;REGIÃO NORTE;5
2022-04-30;0.0;ARAPONGAS;REGIÃO NORTE;6
2022-05-31;0.0;ARAPONGAS;REGIÃO NORTE;7
2022-06-30;0.0;ARAPONGAS;REGIÃO NORTE;8
2022-07-31;0.0;ARAPONGAS;REGIÃO NORTE;9
2022-08-31;0.0;ARAPONGAS;REGIÃO NORTE;10
2022-09-30;0.0;ARAPONGAS;REGIÃO NORTE;11
2022-10-31;34.0;ARAPONGAS;REGIÃO NORTE;12
2022-11-30;47.0;ARAPONGAS;REGIÃO NORTE;13
2022-12-31;146.0;ARAPONGAS;REGIÃO NORTE;14
2023-01-31;243.0;ARAPONGAS;REGIÃO NORTE;15
2023-02-28;239.0;ARAPONGAS;REGIÃO NORTE;16
2023-03-31;261.0;ARAPONGAS;REGIÃO NORTE;17
2023-04-30;284.0;ARAPONGAS;REGIÃO NORTE;18
2023-05-31;363.0;ARAPONGAS;REGIÃO NORTE;19
2023-06-30;379.0;ARAPONGAS;REGIÃO NORTE;20
2023-07-31;473.0;ARAPONGAS;REGIÃO NORTE;21
2023-08-31;271.0;ARAPONGAS;REGIÃO NORTE;22
2023-09-30;174.0;ARAPONGAS;REGIÃO NORTE;23
2023-10-31;219.0;ARAPONGAS;REGIÃO NORTE;24
2023-11-30;164.0;ARAPONGAS;REGIÃO NORTE;25
2023-12-31;131.0;ARAPONGAS;REGIÃO NORTE;26
2024-01-31;113.0;ARAPONGAS;REGIÃO NORTE;27
2024-02-29;106.0;ARAPONGAS;REGIÃO NORTE;28
2024-03-31;114.0;ARAPONGAS;REGIÃO NORTE;29
2024-04-30;188.0;ARAPONGAS;REGIÃO NORTE;30
2024-05-31;108.0;ARAPONGAS;REGIÃO NORTE;31
2024-06-30;74.0;ARAPONGAS;REGIÃO NORTE;32
2024-07-31;91.0;ARAPONGAS;REGIÃO NORTE;33
2024-08-31;96.0;ARAPONGAS;REGIÃO NORTE;34
2024-09-30;143.0;ARAPONGAS;REGIÃO NORTE;35
2024-10-31;346.0;ARAPONGAS;REGIÃO NORTE;36
