PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-02-28;11400.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;1
2015-03-31;18427.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;2
2015-04-30;14274.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;3
2015-05-31;11987.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;4
2015-06-30;9006.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;5
2015-07-31;7335.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;6
2015-08-31;7922.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;7
2015-09-30;9054.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;8
2015-10-31;12454.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;9
2015-11-30;12804.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;10
2015-12-31;12999.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;11
2016-01-31;9814.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;12
2016-02-29;13704.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;13
2016-03-31;15659.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;14
2016-04-30;14076.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;15
2016-05-31;9449.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;16
2016-06-30;8556.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;17
2016-07-31;8758.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;18
2016-08-31;9483.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;19
2016-09-30;10410.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;20
2016-10-31;12710.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;21
2016-11-30;13278.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;22
2016-12-31;13219.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;23
2017-01-31;9369.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;24
2017-02-28;13260.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;25
2017-03-31;14592.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;26
2017-04-30;11664.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;27
2017-05-31;9784.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;28
2017-06-30;9210.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;29
2017-07-31;7711.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;30
2017-08-31;11483.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;31
2017-09-30;14124.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;32
2017-10-31;12820.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;33
2017-11-30;13014.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;34
2017-12-31;14310.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;35
2018-01-31;9538.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;36
2018-02-28;14404.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;37
2018-03-31;21547.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;38
2018-04-30;16470.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;39
2018-05-31;13684.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;40
2018-06-30;8682.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;41
2018-07-31;9118.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;42
2018-08-31;10852.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;43
2018-09-30;11538.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;44
2018-10-31;14316.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;45
2018-11-30;14136.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;46
2018-12-31;15684.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;47
2019-01-31;10188.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;48
2019-02-28;14676.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;49
2019-03-31;17723.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;50
2019-04-30;17898.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;51
2019-05-31;15333.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;52
2019-06-30;10030.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;53
2019-07-31;8372.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;54
2019-08-31;12418.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;55
2019-09-30;16556.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;56
2019-10-31;19612.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;57
2019-11-30;19724.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;58
2019-12-31;13356.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;59
2020-01-31;9740.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;60
2020-02-29;15353.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;61
2020-03-31;13432.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;62
2020-04-30;3732.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;63
2020-05-31;3675.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;64
2020-06-30;3450.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;65
2020-07-31;3601.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;66
2020-08-31;3851.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;67
2020-09-30;4606.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;68
2020-10-31;5751.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;69
2020-11-30;4920.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;70
2020-12-31;5363.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;71
2021-01-31;5022.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;72
2021-02-28;4564.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;73
2021-03-31;5704.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;74
2021-04-30;4200.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;75
2021-05-31;3565.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;76
2021-06-30;1170.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;77
2021-07-31;2108.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;78
2021-08-31;2542.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;79
2021-09-30;2610.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;80
2021-10-31;4123.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;81
2021-11-30;9930.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;82
2021-12-31;9393.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;83
2022-01-31;5952.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;84
2022-02-28;5068.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;85
2022-03-31;7812.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;86
2022-04-30;9120.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;87
2022-05-31;7037.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;88
2022-06-30;6540.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;89
2022-07-31;6572.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;90
2022-08-31;5921.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;91
2022-09-30;8370.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;92
2022-10-31;8339.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;93
2022-11-30;8670.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;94
2022-12-31;8587.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;95
2023-01-31;3193.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;96
2023-02-28;9744.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;97
2023-03-31;17143.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;98
2023-04-30;9930.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;99
2023-05-31;9362.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;100
2023-06-30;7650.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;101
2023-07-31;5084.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;102
2023-08-31;10757.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;103
2023-09-30;13380.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;104
2023-10-31;13888.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;105
2023-11-30;13590.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;106
2023-12-31;8835.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;107
2024-01-31;4371.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;108
2024-02-29;12035.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;109
2024-03-31;19778.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;110
2024-04-30;15000.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;111
2024-05-31;4991.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;112
2024-06-30;3780.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;113
2024-07-31;8060.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;114
2024-08-31;9238.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;115
2024-09-30;13950.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;116
2024-10-31;18538.0;ASSIS CHATEAUBRIAND;REGIÃO OESTE;117
