PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-09-30;3201.0;ASTORGA;REGIÃO NORTE;1
2017-10-31;3699.0;ASTORGA;REGIÃO NORTE;2
2017-11-30;4276.0;ASTORGA;REGIÃO NORTE;3
2017-12-31;3236.0;ASTORGA;REGIÃO NORTE;4
2018-01-31;2947.0;ASTORGA;REGIÃO NORTE;5
2018-02-28;3547.0;ASTORGA;REGIÃO NORTE;6
2018-03-31;4535.0;ASTORGA;REGIÃO NORTE;7
2018-04-30;4599.0;ASTORGA;REGIÃO NORTE;8
2018-05-31;4831.0;ASTORGA;REGIÃO NORTE;9
2018-06-30;5053.0;ASTORGA;REGIÃO NORTE;10
2018-07-31;4951.0;ASTORGA;REGIÃO NORTE;11
2018-08-31;5159.0;ASTORGA;REGIÃO NORTE;12
2018-09-30;5041.0;ASTORGA;REGIÃO NORTE;13
2018-10-31;5011.0;ASTORGA;REGIÃO NORTE;14
2018-11-30;4563.0;ASTORGA;REGIÃO NORTE;15
2018-12-31;3484.0;ASTORGA;REGIÃO NORTE;16
2019-01-31;3073.0;ASTORGA;REGIÃO NORTE;17
2019-02-28;3404.0;ASTORGA;REGIÃO NORTE;18
2019-03-31;4947.0;ASTORGA;REGIÃO NORTE;19
2019-04-30;5181.0;ASTORGA;REGIÃO NORTE;20
2019-05-31;5237.0;ASTORGA;REGIÃO NORTE;21
2019-06-30;4764.0;ASTORGA;REGIÃO NORTE;22
2019-07-31;4816.0;ASTORGA;REGIÃO NORTE;23
2019-08-31;5218.0;ASTORGA;REGIÃO NORTE;24
2019-09-30;5287.0;ASTORGA;REGIÃO NORTE;25
2019-10-31;5128.0;ASTORGA;REGIÃO NORTE;26
2019-11-30;4738.0;ASTORGA;REGIÃO NORTE;27
2019-12-31;3966.0;ASTORGA;REGIÃO NORTE;28
2020-01-31;3462.0;ASTORGA;REGIÃO NORTE;29
2020-02-29;4181.0;ASTORGA;REGIÃO NORTE;30
2020-03-31;3464.0;ASTORGA;REGIÃO NORTE;31
2020-04-30;1872.0;ASTORGA;REGIÃO NORTE;32
2020-05-31;1577.0;ASTORGA;REGIÃO NORTE;33
2020-06-30;1473.0;ASTORGA;REGIÃO NORTE;34
2020-07-31;1479.0;ASTORGA;REGIÃO NORTE;35
2020-08-31;1502.0;ASTORGA;REGIÃO NORTE;36
2020-09-30;1631.0;ASTORGA;REGIÃO NORTE;37
2020-10-31;1876.0;ASTORGA;REGIÃO NORTE;38
2020-11-30;1664.0;ASTORGA;REGIÃO NORTE;39
2020-12-31;1745.0;ASTORGA;REGIÃO NORTE;40
2021-01-31;1540.0;ASTORGA;REGIÃO NORTE;41
2021-02-28;1648.0;ASTORGA;REGIÃO NORTE;42
2021-03-31;1874.0;ASTORGA;REGIÃO NORTE;43
2021-04-30;1767.0;ASTORGA;REGIÃO NORTE;44
2021-05-31;2055.0;ASTORGA;REGIÃO NORTE;45
2021-06-30;1701.0;ASTORGA;REGIÃO NORTE;46
2021-07-31;1502.0;ASTORGA;REGIÃO NORTE;47
2021-08-31;1969.0;ASTORGA;REGIÃO NORTE;48
2021-09-30;2144.0;ASTORGA;REGIÃO NORTE;49
2021-10-31;1905.0;ASTORGA;REGIÃO NORTE;50
2021-11-30;2655.0;ASTORGA;REGIÃO NORTE;51
2021-12-31;2719.0;ASTORGA;REGIÃO NORTE;52
2022-01-31;3018.0;ASTORGA;REGIÃO NORTE;53
2022-02-28;4274.0;ASTORGA;REGIÃO NORTE;54
2022-03-31;5189.0;ASTORGA;REGIÃO NORTE;55
2022-04-30;3917.0;ASTORGA;REGIÃO NORTE;56
2022-05-31;4394.0;ASTORGA;REGIÃO NORTE;57
2022-06-30;4056.0;ASTORGA;REGIÃO NORTE;58
2022-07-31;2972.0;ASTORGA;REGIÃO NORTE;59
2022-08-31;4389.0;ASTORGA;REGIÃO NORTE;60
2022-09-30;4259.0;ASTORGA;REGIÃO NORTE;61
2022-10-31;4200.0;ASTORGA;REGIÃO NORTE;62
2022-11-30;4141.0;ASTORGA;REGIÃO NORTE;63
2022-12-31;3592.0;ASTORGA;REGIÃO NORTE;64
2023-01-31;2769.0;ASTORGA;REGIÃO NORTE;65
2023-02-28;5110.0;ASTORGA;REGIÃO NORTE;66
2023-03-31;7288.0;ASTORGA;REGIÃO NORTE;67
2023-04-30;5011.0;ASTORGA;REGIÃO NORTE;68
2023-05-31;4914.0;ASTORGA;REGIÃO NORTE;69
2023-06-30;4485.0;ASTORGA;REGIÃO NORTE;70
2023-07-31;3299.0;ASTORGA;REGIÃO NORTE;71
2023-08-31;5324.0;ASTORGA;REGIÃO NORTE;72
2023-09-30;6295.0;ASTORGA;REGIÃO NORTE;73
2023-10-31;6572.0;ASTORGA;REGIÃO NORTE;74
2023-11-30;6090.0;ASTORGA;REGIÃO NORTE;75
2023-12-31;4734.0;ASTORGA;REGIÃO NORTE;76
2024-01-31;4427.0;ASTORGA;REGIÃO NORTE;77
2024-02-29;7303.0;ASTORGA;REGIÃO NORTE;78
2024-03-31;8741.0;ASTORGA;REGIÃO NORTE;79
2024-04-30;4939.0;ASTORGA;REGIÃO NORTE;80
2024-05-31;4060.0;ASTORGA;REGIÃO NORTE;81
2024-06-30;4424.0;ASTORGA;REGIÃO NORTE;82
2024-07-31;5563.0;ASTORGA;REGIÃO NORTE;83
2024-08-31;6752.0;ASTORGA;REGIÃO NORTE;84
2024-09-30;8054.0;ASTORGA;REGIÃO NORTE;85
2024-10-31;8652.0;ASTORGA;REGIÃO NORTE;86
