PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-04-30;2400.0;BARRACÃO;REGIÃO SUL;1
2015-05-31;2510.0;BARRACÃO;REGIÃO SUL;2
2015-06-30;2508.0;BARRACÃO;REGIÃO SUL;3
2015-07-31;2454.0;BARRACÃO;REGIÃO SUL;4
2015-08-31;2634.0;BARRACÃO;REGIÃO SUL;5
2015-09-30;2520.0;BARRACÃO;REGIÃO SUL;6
2015-10-31;1964.0;BARRACÃO;REGIÃO SUL;7
2015-11-30;1914.0;BARRACÃO;REGIÃO SUL;8
2015-12-31;2078.0;BARRACÃO;REGIÃO SUL;9
2016-01-31;1064.0;BARRACÃO;REGIÃO SUL;10
2016-02-29;2091.0;BARRACÃO;REGIÃO SUL;11
2016-03-31;2718.0;BARRACÃO;REGIÃO SUL;12
2016-04-30;2620.0;BARRACÃO;REGIÃO SUL;13
2016-05-31;2490.0;BARRACÃO;REGIÃO SUL;14
2016-06-30;3085.0;BARRACÃO;REGIÃO SUL;15
2016-07-31;3275.0;BARRACÃO;REGIÃO SUL;16
2016-08-31;3037.0;BARRACÃO;REGIÃO SUL;17
2016-09-30;2639.0;BARRACÃO;REGIÃO SUL;18
2016-10-31;2448.0;BARRACÃO;REGIÃO SUL;19
2016-11-30;2532.0;BARRACÃO;REGIÃO SUL;20
2016-12-31;2370.0;BARRACÃO;REGIÃO SUL;21
2017-01-31;1778.0;BARRACÃO;REGIÃO SUL;22
2017-02-28;2504.0;BARRACÃO;REGIÃO SUL;23
2017-03-31;2973.0;BARRACÃO;REGIÃO SUL;24
2017-04-30;2290.0;BARRACÃO;REGIÃO SUL;25
2017-05-31;2587.0;BARRACÃO;REGIÃO SUL;26
2017-06-30;2438.0;BARRACÃO;REGIÃO SUL;27
2017-07-31;2193.0;BARRACÃO;REGIÃO SUL;28
2017-08-31;2432.0;BARRACÃO;REGIÃO SUL;29
2017-09-30;2406.0;BARRACÃO;REGIÃO SUL;30
2017-10-31;2434.0;BARRACÃO;REGIÃO SUL;31
2017-11-30;2364.0;BARRACÃO;REGIÃO SUL;32
2017-12-31;3289.0;BARRACÃO;REGIÃO SUL;33
2018-01-31;2239.0;BARRACÃO;REGIÃO SUL;34
2018-02-28;1648.0;BARRACÃO;REGIÃO SUL;35
2018-03-31;3490.0;BARRACÃO;REGIÃO SUL;36
2018-04-30;2814.0;BARRACÃO;REGIÃO SUL;37
2018-05-31;2862.0;BARRACÃO;REGIÃO SUL;38
2018-06-30;2622.0;BARRACÃO;REGIÃO SUL;39
2018-07-31;2443.0;BARRACÃO;REGIÃO SUL;40
2018-08-31;2607.0;BARRACÃO;REGIÃO SUL;41
2018-09-30;2448.0;BARRACÃO;REGIÃO SUL;42
2018-10-31;2634.0;BARRACÃO;REGIÃO SUL;43
2018-11-30;2730.0;BARRACÃO;REGIÃO SUL;44
2018-12-31;2860.0;BARRACÃO;REGIÃO SUL;45
2019-01-31;1878.0;BARRACÃO;REGIÃO SUL;46
2019-02-28;2454.0;BARRACÃO;REGIÃO SUL;47
2019-03-31;2515.0;BARRACÃO;REGIÃO SUL;48
2019-04-30;2658.0;BARRACÃO;REGIÃO SUL;49
2019-05-31;2541.0;BARRACÃO;REGIÃO SUL;50
2019-06-30;2358.0;BARRACÃO;REGIÃO SUL;51
2019-07-31;2373.0;BARRACÃO;REGIÃO SUL;52
2019-08-31;2469.0;BARRACÃO;REGIÃO SUL;53
2019-09-30;2874.0;BARRACÃO;REGIÃO SUL;54
2019-10-31;3317.0;BARRACÃO;REGIÃO SUL;55
2019-11-30;3145.0;BARRACÃO;REGIÃO SUL;56
2019-12-31;2794.0;BARRACÃO;REGIÃO SUL;57
2020-01-31;2529.0;BARRACÃO;REGIÃO SUL;58
2020-02-29;2539.0;BARRACÃO;REGIÃO SUL;59
2020-03-31;2543.0;BARRACÃO;REGIÃO SUL;60
2020-04-30;2388.0;BARRACÃO;REGIÃO SUL;61
2020-05-31;2288.0;BARRACÃO;REGIÃO SUL;62
2020-06-30;912.0;BARRACÃO;REGIÃO SUL;63
2020-07-31;1996.0;BARRACÃO;REGIÃO SUL;64
2020-08-31;2429.0;BARRACÃO;REGIÃO SUL;65
