PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-02-28;3520.0;CAMPO LARGO;REGIÃO LESTE;1
2015-03-31;5332.0;CAMPO LARGO;REGIÃO LESTE;2
2015-04-30;5580.0;CAMPO LARGO;REGIÃO LESTE;3
2015-05-31;6585.0;CAMPO LARGO;REGIÃO LESTE;4
2015-06-30;6120.0;CAMPO LARGO;REGIÃO LESTE;5
2015-07-31;5301.0;CAMPO LARGO;REGIÃO LESTE;6
2015-08-31;5859.0;CAMPO LARGO;REGIÃO LESTE;7
2015-09-30;6210.0;CAMPO LARGO;REGIÃO LESTE;8
2015-10-31;6042.0;CAMPO LARGO;REGIÃO LESTE;9
2015-11-30;5760.0;CAMPO LARGO;REGIÃO LESTE;10
2015-12-31;4919.0;CAMPO LARGO;REGIÃO LESTE;11
2016-01-31;3869.0;CAMPO LARGO;REGIÃO LESTE;12
2016-02-29;6061.0;CAMPO LARGO;REGIÃO LESTE;13
2016-03-31;9765.0;CAMPO LARGO;REGIÃO LESTE;14
2016-04-30;9123.0;CAMPO LARGO;REGIÃO LESTE;15
2016-05-31;9517.0;CAMPO LARGO;REGIÃO LESTE;16
2016-06-30;9630.0;CAMPO LARGO;REGIÃO LESTE;17
2016-07-31;7136.0;CAMPO LARGO;REGIÃO LESTE;18
2016-08-31;9920.0;CAMPO LARGO;REGIÃO LESTE;19
2016-09-30;9330.0;CAMPO LARGO;REGIÃO LESTE;20
2016-10-31;8990.0;CAMPO LARGO;REGIÃO LESTE;21
2016-11-30;9300.0;CAMPO LARGO;REGIÃO LESTE;22
2016-12-31;7906.0;CAMPO LARGO;REGIÃO LESTE;23
2017-01-31;5201.0;CAMPO LARGO;REGIÃO LESTE;24
2017-02-28;9526.0;CAMPO LARGO;REGIÃO LESTE;25
2017-03-31;9889.0;CAMPO LARGO;REGIÃO LESTE;26
2017-04-30;10094.0;CAMPO LARGO;REGIÃO LESTE;27
2017-05-31;10633.0;CAMPO LARGO;REGIÃO LESTE;28
2017-06-30;10770.0;CAMPO LARGO;REGIÃO LESTE;29
2017-07-31;7192.0;CAMPO LARGO;REGIÃO LESTE;30
2017-08-31;12090.0;CAMPO LARGO;REGIÃO LESTE;31
2017-09-30;10419.0;CAMPO LARGO;REGIÃO LESTE;32
2017-10-31;10137.0;CAMPO LARGO;REGIÃO LESTE;33
2017-11-30;10920.0;CAMPO LARGO;REGIÃO LESTE;34
2017-12-31;8637.0;CAMPO LARGO;REGIÃO LESTE;35
2018-01-31;5766.0;CAMPO LARGO;REGIÃO LESTE;36
2018-02-28;7168.0;CAMPO LARGO;REGIÃO LESTE;37
2018-03-31;12127.0;CAMPO LARGO;REGIÃO LESTE;38
2018-04-30;10950.0;CAMPO LARGO;REGIÃO LESTE;39
2018-05-31;11233.0;CAMPO LARGO;REGIÃO LESTE;40
2018-06-30;11083.0;CAMPO LARGO;REGIÃO LESTE;41
2018-07-31;8246.0;CAMPO LARGO;REGIÃO LESTE;42
2018-08-31;12524.0;CAMPO LARGO;REGIÃO LESTE;43
2018-09-30;11354.0;CAMPO LARGO;REGIÃO LESTE;44
2018-10-31;11501.0;CAMPO LARGO;REGIÃO LESTE;45
2018-11-30;10980.0;CAMPO LARGO;REGIÃO LESTE;46
2018-12-31;10406.0;CAMPO LARGO;REGIÃO LESTE;47
2019-01-31;5541.0;CAMPO LARGO;REGIÃO LESTE;48
2019-02-28;8988.0;CAMPO LARGO;REGIÃO LESTE;49
2019-03-31;10759.0;CAMPO LARGO;REGIÃO LESTE;50
2019-04-30;11310.0;CAMPO LARGO;REGIÃO LESTE;51
2019-05-31;12338.0;CAMPO LARGO;REGIÃO LESTE;52
2019-06-30;10782.0;CAMPO LARGO;REGIÃO LESTE;53
2019-07-31;7843.0;CAMPO LARGO;REGIÃO LESTE;54
2019-08-31;12636.0;CAMPO LARGO;REGIÃO LESTE;55
2019-09-30;11880.0;CAMPO LARGO;REGIÃO LESTE;56
2019-10-31;11718.0;CAMPO LARGO;REGIÃO LESTE;57
2019-11-30;11626.0;CAMPO LARGO;REGIÃO LESTE;58
2019-12-31;8782.0;CAMPO LARGO;REGIÃO LESTE;59
2020-01-31;5332.0;CAMPO LARGO;REGIÃO LESTE;60
2020-02-29;8810.0;CAMPO LARGO;REGIÃO LESTE;61
2020-03-31;8370.0;CAMPO LARGO;REGIÃO LESTE;62
2020-04-30;4290.0;CAMPO LARGO;REGIÃO LESTE;63
2020-05-31;3255.0;CAMPO LARGO;REGIÃO LESTE;64
2020-06-30;3570.0;CAMPO LARGO;REGIÃO LESTE;65
2020-07-31;3875.0;CAMPO LARGO;REGIÃO LESTE;66
2020-08-31;3255.0;CAMPO LARGO;REGIÃO LESTE;67
2020-09-30;3900.0;CAMPO LARGO;REGIÃO LESTE;68
2020-10-31;4196.0;CAMPO LARGO;REGIÃO LESTE;69
2020-11-30;3480.0;CAMPO LARGO;REGIÃO LESTE;70
2020-12-31;3689.0;CAMPO LARGO;REGIÃO LESTE;71
2021-01-31;3317.0;CAMPO LARGO;REGIÃO LESTE;72
2021-02-28;3332.0;CAMPO LARGO;REGIÃO LESTE;73
2021-03-31;3286.0;CAMPO LARGO;REGIÃO LESTE;74
2021-04-30;3570.0;CAMPO LARGO;REGIÃO LESTE;75
2021-05-31;2976.0;CAMPO LARGO;REGIÃO LESTE;76
2021-06-30;2850.0;CAMPO LARGO;REGIÃO LESTE;77
2021-07-31;2511.0;CAMPO LARGO;REGIÃO LESTE;78
2021-08-31;2914.0;CAMPO LARGO;REGIÃO LESTE;79
2021-09-30;2670.0;CAMPO LARGO;REGIÃO LESTE;80
2021-10-31;2852.0;CAMPO LARGO;REGIÃO LESTE;81
2021-11-30;3210.0;CAMPO LARGO;REGIÃO LESTE;82
2021-12-31;3658.0;CAMPO LARGO;REGIÃO LESTE;83
2022-01-31;2852.0;CAMPO LARGO;REGIÃO LESTE;84
2022-02-28;4592.0;CAMPO LARGO;REGIÃO LESTE;85
2022-03-31;9207.0;CAMPO LARGO;REGIÃO LESTE;86
2022-04-30;8370.0;CAMPO LARGO;REGIÃO LESTE;87
2022-05-31;11222.0;CAMPO LARGO;REGIÃO LESTE;88
2022-06-30;11370.0;CAMPO LARGO;REGIÃO LESTE;89
2022-07-31;7607.0;CAMPO LARGO;REGIÃO LESTE;90
2022-08-31;11687.0;CAMPO LARGO;REGIÃO LESTE;91
2022-09-30;11280.0;CAMPO LARGO;REGIÃO LESTE;92
2022-10-31;10509.0;CAMPO LARGO;REGIÃO LESTE;93
2022-11-30;9630.0;CAMPO LARGO;REGIÃO LESTE;94
2022-12-31;8184.0;CAMPO LARGO;REGIÃO LESTE;95
2023-01-31;4278.0;CAMPO LARGO;REGIÃO LESTE;96
2023-02-28;5656.0;CAMPO LARGO;REGIÃO LESTE;97
2023-03-31;11780.0;CAMPO LARGO;REGIÃO LESTE;98
2023-04-30;9240.0;CAMPO LARGO;REGIÃO LESTE;99
2023-05-31;11253.0;CAMPO LARGO;REGIÃO LESTE;100
2023-06-30;9840.0;CAMPO LARGO;REGIÃO LESTE;101
2023-07-31;6200.0;CAMPO LARGO;REGIÃO LESTE;102
2023-08-31;10788.0;CAMPO LARGO;REGIÃO LESTE;103
2023-09-30;9420.0;CAMPO LARGO;REGIÃO LESTE;104
2023-10-31;10199.0;CAMPO LARGO;REGIÃO LESTE;105
2023-11-30;9750.0;CAMPO LARGO;REGIÃO LESTE;106
2023-12-31;7378.0;CAMPO LARGO;REGIÃO LESTE;107
2024-01-31;3844.0;CAMPO LARGO;REGIÃO LESTE;108
2024-02-29;7192.0;CAMPO LARGO;REGIÃO LESTE;109
2024-03-31;10478.0;CAMPO LARGO;REGIÃO LESTE;110
2024-04-30;6570.0;CAMPO LARGO;REGIÃO LESTE;111
2024-05-31;4185.0;CAMPO LARGO;REGIÃO LESTE;112
2024-06-30;3330.0;CAMPO LARGO;REGIÃO LESTE;113
2024-07-31;6572.0;CAMPO LARGO;REGIÃO LESTE;114
2024-08-31;10633.0;CAMPO LARGO;REGIÃO LESTE;115
2024-09-30;10140.0;CAMPO LARGO;REGIÃO LESTE;116
2024-10-31;11532.0;CAMPO LARGO;REGIÃO LESTE;117
