PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-10-31;4598.0;CAPANEMA;REGIÃO SUL;1
2017-11-30;3945.0;CAPANEMA;REGIÃO SUL;2
2017-12-31;3574.0;CAPANEMA;REGIÃO SUL;3
2018-01-31;2617.0;CAPANEMA;REGIÃO SUL;4
2018-02-28;3107.0;CAPANEMA;REGIÃO SUL;5
2018-03-31;4398.0;CAPANEMA;REGIÃO SUL;6
2018-04-30;4170.0;CAPANEMA;REGIÃO SUL;7
2018-05-31;5215.0;CAPANEMA;REGIÃO SUL;8
2018-06-30;4960.0;CAPANEMA;REGIÃO SUL;9
2018-07-31;5435.0;CAPANEMA;REGIÃO SUL;10
2018-08-31;6312.0;CAPANEMA;REGIÃO SUL;11
2018-09-30;5496.0;CAPANEMA;REGIÃO SUL;12
2018-10-31;5360.0;CAPANEMA;REGIÃO SUL;13
2018-11-30;5460.0;CAPANEMA;REGIÃO SUL;14
2018-12-31;4798.0;CAPANEMA;REGIÃO SUL;15
2019-01-31;4182.0;CAPANEMA;REGIÃO SUL;16
2019-02-28;5952.0;CAPANEMA;REGIÃO SUL;17
2019-03-31;7585.0;CAPANEMA;REGIÃO SUL;18
2019-04-30;7050.0;CAPANEMA;REGIÃO SUL;19
2019-05-31;5924.0;CAPANEMA;REGIÃO SUL;20
2019-06-30;5230.0;CAPANEMA;REGIÃO SUL;21
2019-07-31;5091.0;CAPANEMA;REGIÃO SUL;22
2019-08-31;6337.0;CAPANEMA;REGIÃO SUL;23
2019-09-30;7600.0;CAPANEMA;REGIÃO SUL;24
2019-10-31;8466.0;CAPANEMA;REGIÃO SUL;25
2019-11-30;8280.0;CAPANEMA;REGIÃO SUL;26
2019-12-31;6946.0;CAPANEMA;REGIÃO SUL;27
2020-01-31;6202.0;CAPANEMA;REGIÃO SUL;28
2020-02-29;7697.0;CAPANEMA;REGIÃO SUL;29
2020-03-31;5592.0;CAPANEMA;REGIÃO SUL;30
2020-04-30;690.0;CAPANEMA;REGIÃO SUL;31
2020-05-31;1285.0;CAPANEMA;REGIÃO SUL;32
2020-06-30;1020.0;CAPANEMA;REGIÃO SUL;33
2020-07-31;1036.0;CAPANEMA;REGIÃO SUL;34
2020-08-31;1127.0;CAPANEMA;REGIÃO SUL;35
2020-09-30;1150.0;CAPANEMA;REGIÃO SUL;36
2020-10-31;1359.0;CAPANEMA;REGIÃO SUL;37
2020-11-30;1500.0;CAPANEMA;REGIÃO SUL;38
2020-12-31;1643.0;CAPANEMA;REGIÃO SUL;39
2021-01-31;2170.0;CAPANEMA;REGIÃO SUL;40
2021-02-28;1876.0;CAPANEMA;REGIÃO SUL;41
2021-03-31;1705.0;CAPANEMA;REGIÃO SUL;42
2021-04-30;1650.0;CAPANEMA;REGIÃO SUL;43
2021-05-31;1426.0;CAPANEMA;REGIÃO SUL;44
2021-06-30;1560.0;CAPANEMA;REGIÃO SUL;45
2021-07-31;1767.0;CAPANEMA;REGIÃO SUL;46
2021-08-31;1984.0;CAPANEMA;REGIÃO SUL;47
2021-09-30;2340.0;CAPANEMA;REGIÃO SUL;48
2021-10-31;2697.0;CAPANEMA;REGIÃO SUL;49
2021-11-30;6120.0;CAPANEMA;REGIÃO SUL;50
2021-12-31;7347.0;CAPANEMA;REGIÃO SUL;51
2022-01-31;5332.0;CAPANEMA;REGIÃO SUL;52
2022-02-28;8176.0;CAPANEMA;REGIÃO SUL;53
2022-03-31;11625.0;CAPANEMA;REGIÃO SUL;54
2022-04-30;5460.0;CAPANEMA;REGIÃO SUL;55
2022-05-31;5394.0;CAPANEMA;REGIÃO SUL;56
2022-06-30;5310.0;CAPANEMA;REGIÃO SUL;57
2022-07-31;4092.0;CAPANEMA;REGIÃO SUL;58
2022-08-31;5766.0;CAPANEMA;REGIÃO SUL;59
2022-09-30;5850.0;CAPANEMA;REGIÃO SUL;60
2022-10-31;5952.0;CAPANEMA;REGIÃO SUL;61
2022-11-30;8040.0;CAPANEMA;REGIÃO SUL;62
2022-12-31;8649.0;CAPANEMA;REGIÃO SUL;63
2023-01-31;6262.0;CAPANEMA;REGIÃO SUL;64
2023-02-28;8792.0;CAPANEMA;REGIÃO SUL;65
2023-03-31;14415.0;CAPANEMA;REGIÃO SUL;66
2023-04-30;7350.0;CAPANEMA;REGIÃO SUL;67
2023-05-31;6696.0;CAPANEMA;REGIÃO SUL;68
2023-06-30;6000.0;CAPANEMA;REGIÃO SUL;69
2023-07-31;1829.0;CAPANEMA;REGIÃO SUL;70
2023-08-31;5115.0;CAPANEMA;REGIÃO SUL;71
2023-09-30;6450.0;CAPANEMA;REGIÃO SUL;72
2023-10-31;5208.0;CAPANEMA;REGIÃO SUL;73
2023-11-30;5820.0;CAPANEMA;REGIÃO SUL;74
2023-12-31;5084.0;CAPANEMA;REGIÃO SUL;75
2024-01-31;4216.0;CAPANEMA;REGIÃO SUL;76
2024-02-29;9715.0;CAPANEMA;REGIÃO SUL;77
2024-03-31;9455.0;CAPANEMA;REGIÃO SUL;78
2024-04-30;4440.0;CAPANEMA;REGIÃO SUL;79
2024-05-31;2759.0;CAPANEMA;REGIÃO SUL;80
2024-06-30;2100.0;CAPANEMA;REGIÃO SUL;81
2024-07-31;4557.0;CAPANEMA;REGIÃO SUL;82
2024-08-31;4929.0;CAPANEMA;REGIÃO SUL;83
2024-09-30;7020.0;CAPANEMA;REGIÃO SUL;84
2024-10-31;9827.0;CAPANEMA;REGIÃO SUL;85
