PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-09-30;8788.0;CASCAVEL;REGIÃO OESTE;1
2017-10-31;8554.0;CASCAVEL;REGIÃO OESTE;2
2017-11-30;7846.0;CASCAVEL;REGIÃO OESTE;3
2017-12-31;7527.0;CASCAVEL;REGIÃO OESTE;4
2018-01-31;5719.0;CASCAVEL;REGIÃO OESTE;5
2018-02-28;8067.0;CASCAVEL;REGIÃO OESTE;6
2018-03-31;12313.0;CASCAVEL;REGIÃO OESTE;7
2018-04-30;10630.0;CASCAVEL;REGIÃO OESTE;8
2018-05-31;9347.0;CASCAVEL;REGIÃO OESTE;9
2018-06-30;7674.0;CASCAVEL;REGIÃO OESTE;10
2018-07-31;8124.0;CASCAVEL;REGIÃO OESTE;11
2018-08-31;8606.0;CASCAVEL;REGIÃO OESTE;12
2018-09-30;8728.0;CASCAVEL;REGIÃO OESTE;13
2018-10-31;9645.0;CASCAVEL;REGIÃO OESTE;14
2018-11-30;10085.0;CASCAVEL;REGIÃO OESTE;15
2018-12-31;10182.0;CASCAVEL;REGIÃO OESTE;16
2019-01-31;8229.0;CASCAVEL;REGIÃO OESTE;17
2019-02-28;9545.0;CASCAVEL;REGIÃO OESTE;18
2019-03-31;12931.0;CASCAVEL;REGIÃO OESTE;19
2019-04-30;12808.0;CASCAVEL;REGIÃO OESTE;20
2019-05-31;10952.0;CASCAVEL;REGIÃO OESTE;21
2019-06-30;9832.0;CASCAVEL;REGIÃO OESTE;22
2019-07-31;9273.0;CASCAVEL;REGIÃO OESTE;23
2019-08-31;10608.0;CASCAVEL;REGIÃO OESTE;24
2019-09-30;11700.0;CASCAVEL;REGIÃO OESTE;25
2019-10-31;12114.0;CASCAVEL;REGIÃO OESTE;26
2019-11-30;11540.0;CASCAVEL;REGIÃO OESTE;27
2019-12-31;10044.0;CASCAVEL;REGIÃO OESTE;28
2020-01-31;9488.0;CASCAVEL;REGIÃO OESTE;29
2020-02-29;12272.0;CASCAVEL;REGIÃO OESTE;30
2020-03-31;10977.0;CASCAVEL;REGIÃO OESTE;31
2020-04-30;5081.0;CASCAVEL;REGIÃO OESTE;32
