PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-08-31;2039.0;CORONEL VIVIDA;REGIÃO SUL;1
2017-09-30;2121.0;CORONEL VIVIDA;REGIÃO SUL;2
2017-10-31;2100.0;CORONEL VIVIDA;REGIÃO SUL;3
2017-11-30;2010.0;CORONEL VIVIDA;REGIÃO SUL;4
2017-12-31;2240.0;CORONEL VIVIDA;REGIÃO SUL;5
2018-01-31;1541.0;CORONEL VIVIDA;REGIÃO SUL;6
2018-02-28;1956.0;CORONEL VIVIDA;REGIÃO SUL;7
2018-03-31;3592.0;CORONEL VIVIDA;REGIÃO SUL;8
2018-04-30;2610.0;CORONEL VIVIDA;REGIÃO SUL;9
2018-05-31;2398.0;CORONEL VIVIDA;REGIÃO SUL;10
2018-06-30;2157.0;CORONEL VIVIDA;REGIÃO SUL;11
2018-07-31;2002.0;CORONEL VIVIDA;REGIÃO SUL;12
2018-08-31;2526.0;CORONEL VIVIDA;REGIÃO SUL;13
2018-09-30;2200.0;CORONEL VIVIDA;REGIÃO SUL;14
2018-10-31;2157.0;CORONEL VIVIDA;REGIÃO SUL;15
2018-11-30;2356.0;CORONEL VIVIDA;REGIÃO SUL;16
2018-12-31;2576.0;CORONEL VIVIDA;REGIÃO SUL;17
2019-01-31;2174.0;CORONEL VIVIDA;REGIÃO SUL;18
2019-02-28;2500.0;CORONEL VIVIDA;REGIÃO SUL;19
2019-03-31;2492.0;CORONEL VIVIDA;REGIÃO SUL;20
2019-04-30;2466.0;CORONEL VIVIDA;REGIÃO SUL;21
2019-05-31;2378.0;CORONEL VIVIDA;REGIÃO SUL;22
2019-06-30;2156.0;CORONEL VIVIDA;REGIÃO SUL;23
2019-07-31;1824.0;CORONEL VIVIDA;REGIÃO SUL;24
2019-08-31;2204.0;CORONEL VIVIDA;REGIÃO SUL;25
2019-09-30;2184.0;CORONEL VIVIDA;REGIÃO SUL;26
2019-10-31;2439.0;CORONEL VIVIDA;REGIÃO SUL;27
2019-11-30;2442.0;CORONEL VIVIDA;REGIÃO SUL;28
2019-12-31;1793.0;CORONEL VIVIDA;REGIÃO SUL;29
2020-01-31;1911.0;CORONEL VIVIDA;REGIÃO SUL;30
2020-02-29;2670.0;CORONEL VIVIDA;REGIÃO SUL;31
2020-03-31;2408.0;CORONEL VIVIDA;REGIÃO SUL;32
2020-04-30;1104.0;CORONEL VIVIDA;REGIÃO SUL;33
2020-05-31;1687.0;CORONEL VIVIDA;REGIÃO SUL;34
2020-06-30;1910.0;CORONEL VIVIDA;REGIÃO SUL;35
2020-07-31;1919.0;CORONEL VIVIDA;REGIÃO SUL;36
2020-08-31;1887.0;CORONEL VIVIDA;REGIÃO SUL;37
2020-09-30;1824.0;CORONEL VIVIDA;REGIÃO SUL;38
2020-10-31;2211.0;CORONEL VIVIDA;REGIÃO SUL;39
2020-11-30;1986.0;CORONEL VIVIDA;REGIÃO SUL;40
2020-12-31;2264.0;CORONEL VIVIDA;REGIÃO SUL;41
2021-01-31;1904.0;CORONEL VIVIDA;REGIÃO SUL;42
2021-02-28;1240.0;CORONEL VIVIDA;REGIÃO SUL;43
2021-03-31;1396.0;CORONEL VIVIDA;REGIÃO SUL;44
2021-04-30;1206.0;CORONEL VIVIDA;REGIÃO SUL;45
2021-05-31;1307.0;CORONEL VIVIDA;REGIÃO SUL;46
2021-06-30;1342.0;CORONEL VIVIDA;REGIÃO SUL;47
2021-07-31;2139.0;CORONEL VIVIDA;REGIÃO SUL;48
2021-08-31;2075.0;CORONEL VIVIDA;REGIÃO SUL;49
2021-09-30;1586.0;CORONEL VIVIDA;REGIÃO SUL;50
2021-10-31;1689.0;CORONEL VIVIDA;REGIÃO SUL;51
2021-11-30;2355.0;CORONEL VIVIDA;REGIÃO SUL;52
2021-12-31;2383.0;CORONEL VIVIDA;REGIÃO SUL;53
2022-01-31;1627.0;CORONEL VIVIDA;REGIÃO SUL;54
2022-02-28;2300.0;CORONEL VIVIDA;REGIÃO SUL;55
2022-03-31;3509.0;CORONEL VIVIDA;REGIÃO SUL;56
2022-04-30;2815.0;CORONEL VIVIDA;REGIÃO SUL;57
2022-05-31;3578.0;CORONEL VIVIDA;REGIÃO SUL;58
2022-06-30;2890.0;CORONEL VIVIDA;REGIÃO SUL;59
2022-07-31;2582.0;CORONEL VIVIDA;REGIÃO SUL;60
2022-08-31;3222.0;CORONEL VIVIDA;REGIÃO SUL;61
2022-09-30;2734.0;CORONEL VIVIDA;REGIÃO SUL;62
2022-10-31;2347.0;CORONEL VIVIDA;REGIÃO SUL;63
2022-11-30;2688.0;CORONEL VIVIDA;REGIÃO SUL;64
2022-12-31;2952.0;CORONEL VIVIDA;REGIÃO SUL;65
2023-01-31;2179.0;CORONEL VIVIDA;REGIÃO SUL;66
2023-02-28;2780.0;CORONEL VIVIDA;REGIÃO SUL;67
2023-03-31;3884.0;CORONEL VIVIDA;REGIÃO SUL;68
2023-04-30;3440.0;CORONEL VIVIDA;REGIÃO SUL;69
2023-05-31;2753.0;CORONEL VIVIDA;REGIÃO SUL;70
2023-06-30;2223.0;CORONEL VIVIDA;REGIÃO SUL;71
