PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2018-08-31;32224.0;CURITIBA;REGIÃO LESTE;1
2018-09-30;38112.0;CURITIBA;REGIÃO LESTE;2
2018-10-31;39868.0;CURITIBA;REGIÃO LESTE;3
2018-11-30;40096.0;CURITIBA;REGIÃO LESTE;4
2018-12-31;33447.0;CURITIBA;REGIÃO LESTE;5
2019-01-31;33007.0;CURITIBA;REGIÃO LESTE;6
2019-02-28;35528.0;CURITIBA;REGIÃO LESTE;7
2019-03-31;42043.0;CURITIBA;REGIÃO LESTE;8
2019-04-30;30632.0;CURITIBA;REGIÃO LESTE;9
2019-05-31;40292.0;CURITIBA;REGIÃO LESTE;10
2019-06-30;29091.0;CURITIBA;REGIÃO LESTE;11
2019-07-31;25008.0;CURITIBA;REGIÃO LESTE;12
2019-08-31;35695.0;CURITIBA;REGIÃO LESTE;13
2019-09-30;42030.0;CURITIBA;REGIÃO LESTE;14
2019-10-31;39721.0;CURITIBA;REGIÃO LESTE;15
2019-11-30;38963.0;CURITIBA;REGIÃO LESTE;16
2019-12-31;23536.0;CURITIBA;REGIÃO LESTE;17
2020-01-31;29064.0;CURITIBA;REGIÃO LESTE;18
2020-02-29;36147.0;CURITIBA;REGIÃO LESTE;19
2020-03-31;27027.0;CURITIBA;REGIÃO LESTE;20
2020-04-30;17135.0;CURITIBA;REGIÃO LESTE;21
2020-05-31;18319.0;CURITIBA;REGIÃO LESTE;22
2020-06-30;15962.0;CURITIBA;REGIÃO LESTE;23
2020-07-31;17917.0;CURITIBA;REGIÃO LESTE;24
2020-08-31;15859.0;CURITIBA;REGIÃO LESTE;25
2020-09-30;23074.0;CURITIBA;REGIÃO LESTE;26
2020-10-31;25220.0;CURITIBA;REGIÃO LESTE;27
2020-11-30;10210.0;CURITIBA;REGIÃO LESTE;28
2020-12-31;11810.0;CURITIBA;REGIÃO LESTE;29
2021-01-31;19790.0;CURITIBA;REGIÃO LESTE;30
2021-02-28;25961.0;CURITIBA;REGIÃO LESTE;31
2021-03-31;17269.0;CURITIBA;REGIÃO LESTE;32
2021-04-30;23403.0;CURITIBA;REGIÃO LESTE;33
2021-05-31;19756.0;CURITIBA;REGIÃO LESTE;34
2021-06-30;20821.0;CURITIBA;REGIÃO LESTE;35
2021-07-31;19644.0;CURITIBA;REGIÃO LESTE;36
2021-08-31;18782.0;CURITIBA;REGIÃO LESTE;37
2021-09-30;19272.0;CURITIBA;REGIÃO LESTE;38
2021-10-31;11754.0;CURITIBA;REGIÃO LESTE;39
2021-11-30;9980.0;CURITIBA;REGIÃO LESTE;40
2021-12-31;9835.0;CURITIBA;REGIÃO LESTE;41
2022-01-31;7432.0;CURITIBA;REGIÃO LESTE;42
2022-02-28;11257.0;CURITIBA;REGIÃO LESTE;43
2022-03-31;14639.0;CURITIBA;REGIÃO LESTE;44
2022-04-30;14838.0;CURITIBA;REGIÃO LESTE;45
2022-05-31;17632.0;CURITIBA;REGIÃO LESTE;46
2022-06-30;15772.0;CURITIBA;REGIÃO LESTE;47
2022-07-31;13778.0;CURITIBA;REGIÃO LESTE;48
2022-08-31;22265.0;CURITIBA;REGIÃO LESTE;49
2022-09-30;17830.0;CURITIBA;REGIÃO LESTE;50
2022-10-31;17233.0;CURITIBA;REGIÃO LESTE;51
2022-11-30;15362.0;CURITIBA;REGIÃO LESTE;52
2022-12-31;13016.0;CURITIBA;REGIÃO LESTE;53
2023-01-31;10290.0;CURITIBA;REGIÃO LESTE;54
2023-02-28;9339.0;CURITIBA;REGIÃO LESTE;55
2023-03-31;25206.0;CURITIBA;REGIÃO LESTE;56
2023-04-30;15323.0;CURITIBA;REGIÃO LESTE;57
2023-05-31;17142.0;CURITIBA;REGIÃO LESTE;58
2023-06-30;15560.0;CURITIBA;REGIÃO LESTE;59
2023-07-31;11274.0;CURITIBA;REGIÃO LESTE;60
2023-08-31;17500.0;CURITIBA;REGIÃO LESTE;61
2023-09-30;17436.0;CURITIBA;REGIÃO LESTE;62
2023-10-31;16387.0;CURITIBA;REGIÃO LESTE;63
2023-11-30;20325.0;CURITIBA;REGIÃO LESTE;64
2023-12-31;14370.0;CURITIBA;REGIÃO LESTE;65
2024-01-31;12271.0;CURITIBA;REGIÃO LESTE;66
2024-02-29;19264.0;CURITIBA;REGIÃO LESTE;67
2024-03-31;26732.0;CURITIBA;REGIÃO LESTE;68
2024-04-30;16691.0;CURITIBA;REGIÃO LESTE;69
2024-05-31;10086.0;CURITIBA;REGIÃO LESTE;70
2024-06-30;9354.0;CURITIBA;REGIÃO LESTE;71
2024-07-31;14337.0;CURITIBA;REGIÃO LESTE;72
2024-08-31;19253.0;CURITIBA;REGIÃO LESTE;73
2024-09-30;21668.0;CURITIBA;REGIÃO LESTE;74
2024-10-31;21586.0;CURITIBA;REGIÃO LESTE;75
