PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-01-31;16614.0;FOZ DO IGUAÇU;REGIÃO OESTE;1
2015-02-28;21184.0;FOZ DO IGUAÇU;REGIÃO OESTE;2
2015-03-31;25599.0;FOZ DO IGUAÇU;REGIÃO OESTE;3
2015-04-30;19863.0;FOZ DO IGUAÇU;REGIÃO OESTE;4
2015-05-31;17688.0;FOZ DO IGUAÇU;REGIÃO OESTE;5
2015-06-30;17075.0;FOZ DO IGUAÇU;REGIÃO OESTE;6
2015-07-31;7662.0;FOZ DO IGUAÇU;REGIÃO OESTE;7
2015-08-31;4494.0;FOZ DO IGUAÇU;REGIÃO OESTE;8
2015-09-30;15330.0;FOZ DO IGUAÇU;REGIÃO OESTE;9
2015-10-31;25227.0;FOZ DO IGUAÇU;REGIÃO OESTE;10
2015-11-30;27803.0;FOZ DO IGUAÇU;REGIÃO OESTE;11
2015-12-31;23823.0;FOZ DO IGUAÇU;REGIÃO OESTE;12
2016-01-31;22970.0;FOZ DO IGUAÇU;REGIÃO OESTE;13
2016-02-29;25277.0;FOZ DO IGUAÇU;REGIÃO OESTE;14
2016-03-31;30273.0;FOZ DO IGUAÇU;REGIÃO OESTE;15
2016-04-30;27934.0;FOZ DO IGUAÇU;REGIÃO OESTE;16
2016-05-31;23229.0;FOZ DO IGUAÇU;REGIÃO OESTE;17
2016-06-30;20810.0;FOZ DO IGUAÇU;REGIÃO OESTE;18
2016-07-31;19271.0;FOZ DO IGUAÇU;REGIÃO OESTE;19
2016-08-31;20480.0;FOZ DO IGUAÇU;REGIÃO OESTE;20
2016-09-30;23518.0;FOZ DO IGUAÇU;REGIÃO OESTE;21
2016-10-31;28338.0;FOZ DO IGUAÇU;REGIÃO OESTE;22
2016-11-30;29258.0;FOZ DO IGUAÇU;REGIÃO OESTE;23
2016-12-31;24303.0;FOZ DO IGUAÇU;REGIÃO OESTE;24
2017-01-31;22566.0;FOZ DO IGUAÇU;REGIÃO OESTE;25
2017-02-28;27989.0;FOZ DO IGUAÇU;REGIÃO OESTE;26
2017-03-31;34316.0;FOZ DO IGUAÇU;REGIÃO OESTE;27
2017-04-30;26233.0;FOZ DO IGUAÇU;REGIÃO OESTE;28
2017-05-31;23000.0;FOZ DO IGUAÇU;REGIÃO OESTE;29
2017-06-30;19587.0;FOZ DO IGUAÇU;REGIÃO OESTE;30
2017-07-31;18518.0;FOZ DO IGUAÇU;REGIÃO OESTE;31
2017-08-31;21411.0;FOZ DO IGUAÇU;REGIÃO OESTE;32
2017-09-30;25574.0;FOZ DO IGUAÇU;REGIÃO OESTE;33
2017-10-31;26434.0;FOZ DO IGUAÇU;REGIÃO OESTE;34
2017-11-30;27419.0;FOZ DO IGUAÇU;REGIÃO OESTE;35
2017-12-31;22400.0;FOZ DO IGUAÇU;REGIÃO OESTE;36
2018-01-31;20049.0;FOZ DO IGUAÇU;REGIÃO OESTE;37
2018-02-28;24752.0;FOZ DO IGUAÇU;REGIÃO OESTE;38
2018-03-31;34113.0;FOZ DO IGUAÇU;REGIÃO OESTE;39
2018-04-30;32037.0;FOZ DO IGUAÇU;REGIÃO OESTE;40
2018-05-31;24510.0;FOZ DO IGUAÇU;REGIÃO OESTE;41
2018-06-30;20386.0;FOZ DO IGUAÇU;REGIÃO OESTE;42
2018-07-31;19219.0;FOZ DO IGUAÇU;REGIÃO OESTE;43
2018-08-31;18929.0;FOZ DO IGUAÇU;REGIÃO OESTE;44
2018-09-30;21172.0;FOZ DO IGUAÇU;REGIÃO OESTE;45
2018-10-31;24193.0;FOZ DO IGUAÇU;REGIÃO OESTE;46
2018-11-30;30723.0;FOZ DO IGUAÇU;REGIÃO OESTE;47
2018-12-31;26230.0;FOZ DO IGUAÇU;REGIÃO OESTE;48
2019-01-31;21164.0;FOZ DO IGUAÇU;REGIÃO OESTE;49
2019-02-28;24875.0;FOZ DO IGUAÇU;REGIÃO OESTE;50
2019-03-31;32393.0;FOZ DO IGUAÇU;REGIÃO OESTE;51
2019-04-30;27563.0;FOZ DO IGUAÇU;REGIÃO OESTE;52
2019-05-31;21678.0;FOZ DO IGUAÇU;REGIÃO OESTE;53
2019-06-30;16630.0;FOZ DO IGUAÇU;REGIÃO OESTE;54
2019-07-31;15346.0;FOZ DO IGUAÇU;REGIÃO OESTE;55
2019-08-31;18076.0;FOZ DO IGUAÇU;REGIÃO OESTE;56
2019-09-30;22488.0;FOZ DO IGUAÇU;REGIÃO OESTE;57
2019-10-31;27218.0;FOZ DO IGUAÇU;REGIÃO OESTE;58
2019-11-30;32160.0;FOZ DO IGUAÇU;REGIÃO OESTE;59
2019-12-31;23998.0;FOZ DO IGUAÇU;REGIÃO OESTE;60
2020-01-31;20663.0;FOZ DO IGUAÇU;REGIÃO OESTE;61
2020-02-29;28478.0;FOZ DO IGUAÇU;REGIÃO OESTE;62
2020-03-31;24521.0;FOZ DO IGUAÇU;REGIÃO OESTE;63
2020-04-30;12507.0;FOZ DO IGUAÇU;REGIÃO OESTE;64
2020-05-31;9669.0;FOZ DO IGUAÇU;REGIÃO OESTE;65
2020-06-30;9017.0;FOZ DO IGUAÇU;REGIÃO OESTE;66
2020-07-31;9995.0;FOZ DO IGUAÇU;REGIÃO OESTE;67
2020-08-31;9950.0;FOZ DO IGUAÇU;REGIÃO OESTE;68
2020-09-30;9665.0;FOZ DO IGUAÇU;REGIÃO OESTE;69
2020-10-31;11315.0;FOZ DO IGUAÇU;REGIÃO OESTE;70
2020-11-30;12275.0;FOZ DO IGUAÇU;REGIÃO OESTE;71
2020-12-31;12794.0;FOZ DO IGUAÇU;REGIÃO OESTE;72
2021-01-31;11351.0;FOZ DO IGUAÇU;REGIÃO OESTE;73
2021-02-28;11697.0;FOZ DO IGUAÇU;REGIÃO OESTE;74
2021-03-31;11221.0;FOZ DO IGUAÇU;REGIÃO OESTE;75
2021-04-30;9378.0;FOZ DO IGUAÇU;REGIÃO OESTE;76
2021-05-31;9416.0;FOZ DO IGUAÇU;REGIÃO OESTE;77
2021-06-30;8519.0;FOZ DO IGUAÇU;REGIÃO OESTE;78
2021-07-31;8582.0;FOZ DO IGUAÇU;REGIÃO OESTE;79
2021-08-31;8960.0;FOZ DO IGUAÇU;REGIÃO OESTE;80
2021-09-30;10864.0;FOZ DO IGUAÇU;REGIÃO OESTE;81
2021-10-31;13718.0;FOZ DO IGUAÇU;REGIÃO OESTE;82
2021-11-30;25721.0;FOZ DO IGUAÇU;REGIÃO OESTE;83
2021-12-31;25176.0;FOZ DO IGUAÇU;REGIÃO OESTE;84
2022-01-31;22719.0;FOZ DO IGUAÇU;REGIÃO OESTE;85
2022-02-28;35380.0;FOZ DO IGUAÇU;REGIÃO OESTE;86
2022-03-31;31344.0;FOZ DO IGUAÇU;REGIÃO OESTE;87
2022-04-30;15208.0;FOZ DO IGUAÇU;REGIÃO OESTE;88
2022-05-31;20401.0;FOZ DO IGUAÇU;REGIÃO OESTE;89
2022-06-30;18829.0;FOZ DO IGUAÇU;REGIÃO OESTE;90
2022-07-31;14246.0;FOZ DO IGUAÇU;REGIÃO OESTE;91
2022-08-31;18739.0;FOZ DO IGUAÇU;REGIÃO OESTE;92
2022-09-30;18635.0;FOZ DO IGUAÇU;REGIÃO OESTE;93
2022-10-31;23618.0;FOZ DO IGUAÇU;REGIÃO OESTE;94
2022-11-30;27323.0;FOZ DO IGUAÇU;REGIÃO OESTE;95
2022-12-31;34174.0;FOZ DO IGUAÇU;REGIÃO OESTE;96
2023-01-31;27795.0;FOZ DO IGUAÇU;REGIÃO OESTE;97
2023-02-28;33202.0;FOZ DO IGUAÇU;REGIÃO OESTE;98
2023-03-31;41675.0;FOZ DO IGUAÇU;REGIÃO OESTE;99
2023-04-30;26507.0;FOZ DO IGUAÇU;REGIÃO OESTE;100
2023-05-31;26450.0;FOZ DO IGUAÇU;REGIÃO OESTE;101
2023-06-30;24887.0;FOZ DO IGUAÇU;REGIÃO OESTE;102
2023-07-31;20065.0;FOZ DO IGUAÇU;REGIÃO OESTE;103
2023-08-31;26396.0;FOZ DO IGUAÇU;REGIÃO OESTE;104
2023-09-30;11591.0;FOZ DO IGUAÇU;REGIÃO OESTE;105
2023-10-31;26103.0;FOZ DO IGUAÇU;REGIÃO OESTE;106
2023-11-30;29331.0;FOZ DO IGUAÇU;REGIÃO OESTE;107
2023-12-31;9063.0;FOZ DO IGUAÇU;REGIÃO OESTE;108
2024-01-31;12807.0;FOZ DO IGUAÇU;REGIÃO OESTE;109
2024-02-29;29082.0;FOZ DO IGUAÇU;REGIÃO OESTE;110
2024-03-31;31465.0;FOZ DO IGUAÇU;REGIÃO OESTE;111
2024-04-30;15933.0;FOZ DO IGUAÇU;REGIÃO OESTE;112
2024-05-31;13020.0;FOZ DO IGUAÇU;REGIÃO OESTE;113
2024-06-30;11921.0;FOZ DO IGUAÇU;REGIÃO OESTE;114
2024-07-31;15580.0;FOZ DO IGUAÇU;REGIÃO OESTE;115
2024-08-31;15172.0;FOZ DO IGUAÇU;REGIÃO OESTE;116
2024-09-30;17128.0;FOZ DO IGUAÇU;REGIÃO OESTE;117
2024-10-31;21392.0;FOZ DO IGUAÇU;REGIÃO OESTE;118
