PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-02-28;2488.0;IRATI;REGIÃO CENTRAL;1
2015-03-31;3669.0;IRATI;REGIÃO CENTRAL;2
2015-04-30;3209.0;IRATI;REGIÃO CENTRAL;3
2015-05-31;3374.0;IRATI;REGIÃO CENTRAL;4
2015-06-30;3234.0;IRATI;REGIÃO CENTRAL;5
2015-07-31;2794.0;IRATI;REGIÃO CENTRAL;6
2015-08-31;2239.0;IRATI;REGIÃO CENTRAL;7
2015-09-30;2278.0;IRATI;REGIÃO CENTRAL;8
2015-10-31;3423.0;IRATI;REGIÃO CENTRAL;9
2015-11-30;3719.0;IRATI;REGIÃO CENTRAL;10
2015-12-31;3402.0;IRATI;REGIÃO CENTRAL;11
2016-01-31;3244.0;IRATI;REGIÃO CENTRAL;12
2016-02-29;4762.0;IRATI;REGIÃO CENTRAL;13
2016-03-31;6972.0;IRATI;REGIÃO CENTRAL;14
2016-04-30;7339.0;IRATI;REGIÃO CENTRAL;15
2016-05-31;7843.0;IRATI;REGIÃO CENTRAL;16
2016-06-30;7783.0;IRATI;REGIÃO CENTRAL;17
2016-07-31;7449.0;IRATI;REGIÃO CENTRAL;18
2016-08-31;6955.0;IRATI;REGIÃO CENTRAL;19
2016-09-30;7116.0;IRATI;REGIÃO CENTRAL;20
2016-10-31;7359.0;IRATI;REGIÃO CENTRAL;21
2016-11-30;6767.0;IRATI;REGIÃO CENTRAL;22
2016-12-31;6053.0;IRATI;REGIÃO CENTRAL;23
2017-01-31;5665.0;IRATI;REGIÃO CENTRAL;24
2017-02-28;6295.0;IRATI;REGIÃO CENTRAL;25
2017-03-31;8445.0;IRATI;REGIÃO CENTRAL;26
2017-04-30;7822.0;IRATI;REGIÃO CENTRAL;27
2017-05-31;7926.0;IRATI;REGIÃO CENTRAL;28
2017-06-30;7160.0;IRATI;REGIÃO CENTRAL;29
2017-07-31;6618.0;IRATI;REGIÃO CENTRAL;30
2017-08-31;6608.0;IRATI;REGIÃO CENTRAL;31
2017-09-30;6467.0;IRATI;REGIÃO CENTRAL;32
2017-10-31;6108.0;IRATI;REGIÃO CENTRAL;33
2017-11-30;5949.0;IRATI;REGIÃO CENTRAL;34
2017-12-31;5092.0;IRATI;REGIÃO CENTRAL;35
2018-01-31;4597.0;IRATI;REGIÃO CENTRAL;36
2018-02-28;5280.0;IRATI;REGIÃO CENTRAL;37
2018-03-31;7415.0;IRATI;REGIÃO CENTRAL;38
2018-04-30;7488.0;IRATI;REGIÃO CENTRAL;39
2018-05-31;6941.0;IRATI;REGIÃO CENTRAL;40
2018-06-30;6819.0;IRATI;REGIÃO CENTRAL;41
2018-07-31;6823.0;IRATI;REGIÃO CENTRAL;42
