PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-02-28;8123.0;IVAIPORÃ;REGIÃO CENTRAL;1
2015-03-31;11963.0;IVAIPORÃ;REGIÃO CENTRAL;2
2015-04-30;12007.0;IVAIPORÃ;REGIÃO CENTRAL;3
2015-05-31;11668.0;IVAIPORÃ;REGIÃO CENTRAL;4
2015-06-30;10366.0;IVAIPORÃ;REGIÃO CENTRAL;5
2015-07-31;7659.0;IVAIPORÃ;REGIÃO CENTRAL;6
2015-08-31;7538.0;IVAIPORÃ;REGIÃO CENTRAL;7
2015-09-30;7587.0;IVAIPORÃ;REGIÃO CENTRAL;8
2015-10-31;9795.0;IVAIPORÃ;REGIÃO CENTRAL;9
2015-11-30;9694.0;IVAIPORÃ;REGIÃO CENTRAL;10
2015-12-31;9401.0;IVAIPORÃ;REGIÃO CENTRAL;11
2016-01-31;7922.0;IVAIPORÃ;REGIÃO CENTRAL;12
2016-02-29;10260.0;IVAIPORÃ;REGIÃO CENTRAL;13
2016-03-31;12643.0;IVAIPORÃ;REGIÃO CENTRAL;14
2016-04-30;12492.0;IVAIPORÃ;REGIÃO CENTRAL;15
2016-05-31;12027.0;IVAIPORÃ;REGIÃO CENTRAL;16
2016-06-30;11780.0;IVAIPORÃ;REGIÃO CENTRAL;17
2016-07-31;9221.0;IVAIPORÃ;REGIÃO CENTRAL;18
2016-08-31;13053.0;IVAIPORÃ;REGIÃO CENTRAL;19
2016-09-30;11407.0;IVAIPORÃ;REGIÃO CENTRAL;20
2016-10-31;11850.0;IVAIPORÃ;REGIÃO CENTRAL;21
2016-11-30;12397.0;IVAIPORÃ;REGIÃO CENTRAL;22
2016-12-31;10301.0;IVAIPORÃ;REGIÃO CENTRAL;23
2017-01-31;8626.0;IVAIPORÃ;REGIÃO CENTRAL;24
2017-02-28;11201.0;IVAIPORÃ;REGIÃO CENTRAL;25
2017-03-31;14786.0;IVAIPORÃ;REGIÃO CENTRAL;26
2017-04-30;12360.0;IVAIPORÃ;REGIÃO CENTRAL;27
2017-05-31;14725.0;IVAIPORÃ;REGIÃO CENTRAL;28
2017-06-30;12864.0;IVAIPORÃ;REGIÃO CENTRAL;29
2017-07-31;11737.0;IVAIPORÃ;REGIÃO CENTRAL;30
2017-08-31;15307.0;IVAIPORÃ;REGIÃO CENTRAL;31
2017-09-30;13939.0;IVAIPORÃ;REGIÃO CENTRAL;32
2017-10-31;13247.0;IVAIPORÃ;REGIÃO CENTRAL;33
2017-11-30;12355.0;IVAIPORÃ;REGIÃO CENTRAL;34
2017-12-31;8985.0;IVAIPORÃ;REGIÃO CENTRAL;35
2018-01-31;3727.0;IVAIPORÃ;REGIÃO CENTRAL;36
2018-02-28;5608.0;IVAIPORÃ;REGIÃO CENTRAL;37
2018-03-31;12136.0;IVAIPORÃ;REGIÃO CENTRAL;38
2018-04-30;9050.0;IVAIPORÃ;REGIÃO CENTRAL;39
2018-05-31;8371.0;IVAIPORÃ;REGIÃO CENTRAL;40
2018-06-30;9869.0;IVAIPORÃ;REGIÃO CENTRAL;41
2018-07-31;6875.0;IVAIPORÃ;REGIÃO CENTRAL;42
2018-08-31;8120.0;IVAIPORÃ;REGIÃO CENTRAL;43
2018-09-30;8610.0;IVAIPORÃ;REGIÃO CENTRAL;44
2018-10-31;9281.0;IVAIPORÃ;REGIÃO CENTRAL;45
2018-11-30;8017.0;IVAIPORÃ;REGIÃO CENTRAL;46
2018-12-31;6862.0;IVAIPORÃ;REGIÃO CENTRAL;47
2019-01-31;5269.0;IVAIPORÃ;REGIÃO CENTRAL;48
2019-02-28;8861.0;IVAIPORÃ;REGIÃO CENTRAL;49
2019-03-31;10111.0;IVAIPORÃ;REGIÃO CENTRAL;50
2019-04-30;10345.0;IVAIPORÃ;REGIÃO CENTRAL;51
2019-05-31;10129.0;IVAIPORÃ;REGIÃO CENTRAL;52
2019-06-30;7989.0;IVAIPORÃ;REGIÃO CENTRAL;53
2019-07-31;7099.0;IVAIPORÃ;REGIÃO CENTRAL;54
2019-08-31;7794.0;IVAIPORÃ;REGIÃO CENTRAL;55
2019-09-30;10554.0;IVAIPORÃ;REGIÃO CENTRAL;56
2019-10-31;11102.0;IVAIPORÃ;REGIÃO CENTRAL;57
2019-11-30;9614.0;IVAIPORÃ;REGIÃO CENTRAL;58
2019-12-31;5477.0;IVAIPORÃ;REGIÃO CENTRAL;59
2020-01-31;4017.0;IVAIPORÃ;REGIÃO CENTRAL;60
2020-02-29;8320.0;IVAIPORÃ;REGIÃO CENTRAL;61
2020-03-31;8166.0;IVAIPORÃ;REGIÃO CENTRAL;62
2020-04-30;4815.0;IVAIPORÃ;REGIÃO CENTRAL;63
2020-05-31;4538.0;IVAIPORÃ;REGIÃO CENTRAL;64
2020-06-30;4552.0;IVAIPORÃ;REGIÃO CENTRAL;65
2020-07-31;4492.0;IVAIPORÃ;REGIÃO CENTRAL;66
2020-08-31;4064.0;IVAIPORÃ;REGIÃO CENTRAL;67
2020-09-30;3859.0;IVAIPORÃ;REGIÃO CENTRAL;68
2020-10-31;3789.0;IVAIPORÃ;REGIÃO CENTRAL;69
2020-11-30;3701.0;IVAIPORÃ;REGIÃO CENTRAL;70
2020-12-31;3509.0;IVAIPORÃ;REGIÃO CENTRAL;71
2021-01-31;3437.0;IVAIPORÃ;REGIÃO CENTRAL;72
2021-02-28;3203.0;IVAIPORÃ;REGIÃO CENTRAL;73
2021-03-31;3840.0;IVAIPORÃ;REGIÃO CENTRAL;74
2021-04-30;3819.0;IVAIPORÃ;REGIÃO CENTRAL;75
2021-05-31;3724.0;IVAIPORÃ;REGIÃO CENTRAL;76
2021-06-30;3674.0;IVAIPORÃ;REGIÃO CENTRAL;77
2021-07-31;3656.0;IVAIPORÃ;REGIÃO CENTRAL;78
2021-08-31;3556.0;IVAIPORÃ;REGIÃO CENTRAL;79
2021-09-30;3588.0;IVAIPORÃ;REGIÃO CENTRAL;80
2021-10-31;4089.0;IVAIPORÃ;REGIÃO CENTRAL;81
2021-11-30;5044.0;IVAIPORÃ;REGIÃO CENTRAL;82
2021-12-31;5839.0;IVAIPORÃ;REGIÃO CENTRAL;83
2022-01-31;6281.0;IVAIPORÃ;REGIÃO CENTRAL;84
2022-02-28;6729.0;IVAIPORÃ;REGIÃO CENTRAL;85
2022-03-31;7408.0;IVAIPORÃ;REGIÃO CENTRAL;86
2022-04-30;8604.0;IVAIPORÃ;REGIÃO CENTRAL;87
2022-05-31;11421.0;IVAIPORÃ;REGIÃO CENTRAL;88
2022-06-30;11666.0;IVAIPORÃ;REGIÃO CENTRAL;89
2022-07-31;8820.0;IVAIPORÃ;REGIÃO CENTRAL;90
2022-08-31;11430.0;IVAIPORÃ;REGIÃO CENTRAL;91
2022-09-30;11819.0;IVAIPORÃ;REGIÃO CENTRAL;92
2022-10-31;9840.0;IVAIPORÃ;REGIÃO CENTRAL;93
2022-11-30;8415.0;IVAIPORÃ;REGIÃO CENTRAL;94
2022-12-31;9365.0;IVAIPORÃ;REGIÃO CENTRAL;95
2023-01-31;7299.0;IVAIPORÃ;REGIÃO CENTRAL;96
2023-02-28;11510.0;IVAIPORÃ;REGIÃO CENTRAL;97
2023-03-31;16979.0;IVAIPORÃ;REGIÃO CENTRAL;98
2023-04-30;11236.0;IVAIPORÃ;REGIÃO CENTRAL;99
2023-05-31;10305.0;IVAIPORÃ;REGIÃO CENTRAL;100
2023-06-30;11014.0;IVAIPORÃ;REGIÃO CENTRAL;101
2023-07-31;7872.0;IVAIPORÃ;REGIÃO CENTRAL;102
2023-08-31;9348.0;IVAIPORÃ;REGIÃO CENTRAL;103
2023-09-30;12159.0;IVAIPORÃ;REGIÃO CENTRAL;104
2023-10-31;12120.0;IVAIPORÃ;REGIÃO CENTRAL;105
2023-11-30;13648.0;IVAIPORÃ;REGIÃO CENTRAL;106
2023-12-31;10986.0;IVAIPORÃ;REGIÃO CENTRAL;107
2024-01-31;7611.0;IVAIPORÃ;REGIÃO CENTRAL;108
2024-02-29;13925.0;IVAIPORÃ;REGIÃO CENTRAL;109
2024-03-31;19255.0;IVAIPORÃ;REGIÃO CENTRAL;110
2024-04-30;14817.0;IVAIPORÃ;REGIÃO CENTRAL;111
2024-05-31;8605.0;IVAIPORÃ;REGIÃO CENTRAL;112
2024-06-30;7386.0;IVAIPORÃ;REGIÃO CENTRAL;113
2024-07-31;10350.0;IVAIPORÃ;REGIÃO CENTRAL;114
2024-08-31;10811.0;IVAIPORÃ;REGIÃO CENTRAL;115
2024-09-30;15284.0;IVAIPORÃ;REGIÃO CENTRAL;116
2024-10-31;15847.0;IVAIPORÃ;REGIÃO CENTRAL;117
