PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-08-31;14254.0;JACAREZINHO;REGIÃO NORTE;1
2017-09-30;15505.0;JACAREZINHO;REGIÃO NORTE;2
2017-10-31;16125.0;JACAREZINHO;REGIÃO NORTE;3
2017-11-30;16523.0;JACAREZINHO;REGIÃO NORTE;4
2017-12-31;13157.0;JACAREZINHO;REGIÃO NORTE;5
2018-01-31;10847.0;JACAREZINHO;REGIÃO NORTE;6
2018-02-28;13183.0;JACAREZINHO;REGIÃO NORTE;7
2018-03-31;17538.0;JACAREZINHO;REGIÃO NORTE;8
2018-04-30;17128.0;JACAREZINHO;REGIÃO NORTE;9
2018-05-31;15879.0;JACAREZINHO;REGIÃO NORTE;10
2018-06-30;14029.0;JACAREZINHO;REGIÃO NORTE;11
2018-07-31;13983.0;JACAREZINHO;REGIÃO NORTE;12
2018-08-31;15078.0;JACAREZINHO;REGIÃO NORTE;13
2018-09-30;15442.0;JACAREZINHO;REGIÃO NORTE;14
2018-10-31;16121.0;JACAREZINHO;REGIÃO NORTE;15
2018-11-30;15357.0;JACAREZINHO;REGIÃO NORTE;16
2018-12-31;13252.0;JACAREZINHO;REGIÃO NORTE;17
2019-01-31;12217.0;JACAREZINHO;REGIÃO NORTE;18
2019-02-28;13682.0;JACAREZINHO;REGIÃO NORTE;19
2019-03-31;18130.0;JACAREZINHO;REGIÃO NORTE;20
2019-04-30;17558.0;JACAREZINHO;REGIÃO NORTE;21
2019-05-31;17162.0;JACAREZINHO;REGIÃO NORTE;22
2019-06-30;14208.0;JACAREZINHO;REGIÃO NORTE;23
2019-07-31;13652.0;JACAREZINHO;REGIÃO NORTE;24
2019-08-31;15400.0;JACAREZINHO;REGIÃO NORTE;25
2019-09-30;15627.0;JACAREZINHO;REGIÃO NORTE;26
2019-10-31;17115.0;JACAREZINHO;REGIÃO NORTE;27
2019-11-30;16234.0;JACAREZINHO;REGIÃO NORTE;28
2019-12-31;11577.0;JACAREZINHO;REGIÃO NORTE;29
2020-01-31;9609.0;JACAREZINHO;REGIÃO NORTE;30
2020-02-29;12597.0;JACAREZINHO;REGIÃO NORTE;31
2020-03-31;12295.0;JACAREZINHO;REGIÃO NORTE;32
2020-04-30;6579.0;JACAREZINHO;REGIÃO NORTE;33
2020-05-31;6401.0;JACAREZINHO;REGIÃO NORTE;34
2020-06-30;6136.0;JACAREZINHO;REGIÃO NORTE;35
2020-07-31;6303.0;JACAREZINHO;REGIÃO NORTE;36
2020-08-31;6250.0;JACAREZINHO;REGIÃO NORTE;37
2020-09-30;6045.0;JACAREZINHO;REGIÃO NORTE;38
2020-10-31;6274.0;JACAREZINHO;REGIÃO NORTE;39
2020-11-30;6116.0;JACAREZINHO;REGIÃO NORTE;40
2020-12-31;5731.0;JACAREZINHO;REGIÃO NORTE;41
2021-01-31;5896.0;JACAREZINHO;REGIÃO NORTE;42
2021-02-28;5283.0;JACAREZINHO;REGIÃO NORTE;43
2021-03-31;5661.0;JACAREZINHO;REGIÃO NORTE;44
2021-04-30;5602.0;JACAREZINHO;REGIÃO NORTE;45
2021-05-31;5526.0;JACAREZINHO;REGIÃO NORTE;46
2021-06-30;5311.0;JACAREZINHO;REGIÃO NORTE;47
2021-07-31;5377.0;JACAREZINHO;REGIÃO NORTE;48
2021-08-31;5652.0;JACAREZINHO;REGIÃO NORTE;49
2021-09-30;5657.0;JACAREZINHO;REGIÃO NORTE;50
2021-10-31;5162.0;JACAREZINHO;REGIÃO NORTE;51
2021-11-30;5332.0;JACAREZINHO;REGIÃO NORTE;52
2021-12-31;5669.0;JACAREZINHO;REGIÃO NORTE;53
2022-01-31;6647.0;JACAREZINHO;REGIÃO NORTE;54
2022-02-28;12146.0;JACAREZINHO;REGIÃO NORTE;55
2022-03-31;18473.0;JACAREZINHO;REGIÃO NORTE;56
2022-04-30;14844.0;JACAREZINHO;REGIÃO NORTE;57
2022-05-31;13578.0;JACAREZINHO;REGIÃO NORTE;58
2022-06-30;12934.0;JACAREZINHO;REGIÃO NORTE;59
2022-07-31;9256.0;JACAREZINHO;REGIÃO NORTE;60
2022-08-31;15227.0;JACAREZINHO;REGIÃO NORTE;61
2022-09-30;14134.0;JACAREZINHO;REGIÃO NORTE;62
2022-10-31;13776.0;JACAREZINHO;REGIÃO NORTE;63
2022-11-30;14712.0;JACAREZINHO;REGIÃO NORTE;64
2022-12-31;13421.0;JACAREZINHO;REGIÃO NORTE;65
2023-01-31;11308.0;JACAREZINHO;REGIÃO NORTE;66
2023-02-28;16954.0;JACAREZINHO;REGIÃO NORTE;67
2023-03-31;24706.0;JACAREZINHO;REGIÃO NORTE;68
2023-04-30;15175.0;JACAREZINHO;REGIÃO NORTE;69
2023-05-31;15837.0;JACAREZINHO;REGIÃO NORTE;70
2023-06-30;12965.0;JACAREZINHO;REGIÃO NORTE;71
2023-07-31;9406.0;JACAREZINHO;REGIÃO NORTE;72
