PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-08-31;2723.0;JAGUARIAÍVA;REGIÃO CENTRAL;1
2015-09-30;2706.0;JAGUARIAÍVA;REGIÃO CENTRAL;2
2015-10-31;2807.0;JAGUARIAÍVA;REGIÃO CENTRAL;3
2015-11-30;2914.0;JAGUARIAÍVA;REGIÃO CENTRAL;4
2015-12-31;2336.0;JAGUARIAÍVA;REGIÃO CENTRAL;5
2016-01-31;2436.0;JAGUARIAÍVA;REGIÃO CENTRAL;6
2016-02-29;3039.0;JAGUARIAÍVA;REGIÃO CENTRAL;7
2016-03-31;3822.0;JAGUARIAÍVA;REGIÃO CENTRAL;8
2016-04-30;3782.0;JAGUARIAÍVA;REGIÃO CENTRAL;9
2016-05-31;4810.0;JAGUARIAÍVA;REGIÃO CENTRAL;10
2016-06-30;4701.0;JAGUARIAÍVA;REGIÃO CENTRAL;11
2016-07-31;4156.0;JAGUARIAÍVA;REGIÃO CENTRAL;12
2016-08-31;4616.0;JAGUARIAÍVA;REGIÃO CENTRAL;13
2016-09-30;4435.0;JAGUARIAÍVA;REGIÃO CENTRAL;14
2016-10-31;4205.0;JAGUARIAÍVA;REGIÃO CENTRAL;15
2016-11-30;4265.0;JAGUARIAÍVA;REGIÃO CENTRAL;16
2016-12-31;3700.0;JAGUARIAÍVA;REGIÃO CENTRAL;17
2017-01-31;3529.0;JAGUARIAÍVA;REGIÃO CENTRAL;18
2017-02-28;3876.0;JAGUARIAÍVA;REGIÃO CENTRAL;19
2017-03-31;5089.0;JAGUARIAÍVA;REGIÃO CENTRAL;20
2017-04-30;4447.0;JAGUARIAÍVA;REGIÃO CENTRAL;21
2017-05-31;4744.0;JAGUARIAÍVA;REGIÃO CENTRAL;22
2017-06-30;4458.0;JAGUARIAÍVA;REGIÃO CENTRAL;23
2017-07-31;3950.0;JAGUARIAÍVA;REGIÃO CENTRAL;24
2017-08-31;4337.0;JAGUARIAÍVA;REGIÃO CENTRAL;25
2017-09-30;4106.0;JAGUARIAÍVA;REGIÃO CENTRAL;26
2017-10-31;4095.0;JAGUARIAÍVA;REGIÃO CENTRAL;27
2017-11-30;4182.0;JAGUARIAÍVA;REGIÃO CENTRAL;28
2017-12-31;3330.0;JAGUARIAÍVA;REGIÃO CENTRAL;29
2018-01-31;3081.0;JAGUARIAÍVA;REGIÃO CENTRAL;30
2018-02-28;3397.0;JAGUARIAÍVA;REGIÃO CENTRAL;31
2018-03-31;4434.0;JAGUARIAÍVA;REGIÃO CENTRAL;32
2018-04-30;4400.0;JAGUARIAÍVA;REGIÃO CENTRAL;33
2018-05-31;4586.0;JAGUARIAÍVA;REGIÃO CENTRAL;34
2018-06-30;4469.0;JAGUARIAÍVA;REGIÃO CENTRAL;35
2018-07-31;4143.0;JAGUARIAÍVA;REGIÃO CENTRAL;36
2018-08-31;4342.0;JAGUARIAÍVA;REGIÃO CENTRAL;37
2018-09-30;4465.0;JAGUARIAÍVA;REGIÃO CENTRAL;38
2018-10-31;4572.0;JAGUARIAÍVA;REGIÃO CENTRAL;39
2018-11-30;4330.0;JAGUARIAÍVA;REGIÃO CENTRAL;40
2018-12-31;3324.0;JAGUARIAÍVA;REGIÃO CENTRAL;41
2019-01-31;2991.0;JAGUARIAÍVA;REGIÃO CENTRAL;42
2019-02-28;3665.0;JAGUARIAÍVA;REGIÃO CENTRAL;43
2019-03-31;4797.0;JAGUARIAÍVA;REGIÃO CENTRAL;44
2019-04-30;4767.0;JAGUARIAÍVA;REGIÃO CENTRAL;45
2019-05-31;4765.0;JAGUARIAÍVA;REGIÃO CENTRAL;46
2019-06-30;4409.0;JAGUARIAÍVA;REGIÃO CENTRAL;47
2019-07-31;3890.0;JAGUARIAÍVA;REGIÃO CENTRAL;48
2019-08-31;4482.0;JAGUARIAÍVA;REGIÃO CENTRAL;49
2019-09-30;4983.0;JAGUARIAÍVA;REGIÃO CENTRAL;50
2019-10-31;5048.0;JAGUARIAÍVA;REGIÃO CENTRAL;51
2019-11-30;4613.0;JAGUARIAÍVA;REGIÃO CENTRAL;52
2019-12-31;3349.0;JAGUARIAÍVA;REGIÃO CENTRAL;53
2020-01-31;3009.0;JAGUARIAÍVA;REGIÃO CENTRAL;54
2020-02-29;3733.0;JAGUARIAÍVA;REGIÃO CENTRAL;55
2020-03-31;2655.0;JAGUARIAÍVA;REGIÃO CENTRAL;56
2020-04-30;1075.0;JAGUARIAÍVA;REGIÃO CENTRAL;57
2020-05-31;750.0;JAGUARIAÍVA;REGIÃO CENTRAL;58
