PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-10-31;6932.0;LONDRINA - CENTRO;REGIÃO NORTE;1
2017-11-30;6926.0;LONDRINA - CENTRO;REGIÃO NORTE;2
2017-12-31;6259.0;LONDRINA - CENTRO;REGIÃO NORTE;3
2018-01-31;6731.0;LONDRINA - CENTRO;REGIÃO NORTE;4
2018-02-28;7062.0;LONDRINA - CENTRO;REGIÃO NORTE;5
2018-03-31;8655.0;LONDRINA - CENTRO;REGIÃO NORTE;6
2018-04-30;7924.0;LONDRINA - CENTRO;REGIÃO NORTE;7
2018-05-31;5512.0;LONDRINA - CENTRO;REGIÃO NORTE;8
2018-06-30;4747.0;LONDRINA - CENTRO;REGIÃO NORTE;9
2018-07-31;4595.0;LONDRINA - CENTRO;REGIÃO NORTE;10
2018-08-31;4778.0;LONDRINA - CENTRO;REGIÃO NORTE;11
2018-09-30;6346.0;LONDRINA - CENTRO;REGIÃO NORTE;12
2018-10-31;6784.0;LONDRINA - CENTRO;REGIÃO NORTE;13
2018-11-30;7974.0;LONDRINA - CENTRO;REGIÃO NORTE;14
2018-12-31;8015.0;LONDRINA - CENTRO;REGIÃO NORTE;15
2019-01-31;8006.0;LONDRINA - CENTRO;REGIÃO NORTE;16
2019-02-28;7762.0;LONDRINA - CENTRO;REGIÃO NORTE;17
2019-03-31;9985.0;LONDRINA - CENTRO;REGIÃO NORTE;18
2019-04-30;9436.0;LONDRINA - CENTRO;REGIÃO NORTE;19
2019-05-31;6933.0;LONDRINA - CENTRO;REGIÃO NORTE;20
2019-06-30;5395.0;LONDRINA - CENTRO;REGIÃO NORTE;21
2019-07-31;5129.0;LONDRINA - CENTRO;REGIÃO NORTE;22
2019-08-31;6194.0;LONDRINA - CENTRO;REGIÃO NORTE;23
2019-09-30;9318.0;LONDRINA - CENTRO;REGIÃO NORTE;24
2019-10-31;10815.0;LONDRINA - CENTRO;REGIÃO NORTE;25
2019-11-30;10317.0;LONDRINA - CENTRO;REGIÃO NORTE;26
2019-12-31;7326.0;LONDRINA - CENTRO;REGIÃO NORTE;27
2020-01-31;6467.0;LONDRINA - CENTRO;REGIÃO NORTE;28
2020-02-29;9005.0;LONDRINA - CENTRO;REGIÃO NORTE;29
2020-03-31;7703.0;LONDRINA - CENTRO;REGIÃO NORTE;30
2020-04-30;3439.0;LONDRINA - CENTRO;REGIÃO NORTE;31
2020-05-31;2154.0;LONDRINA - CENTRO;REGIÃO NORTE;32
2020-06-30;1933.0;LONDRINA - CENTRO;REGIÃO NORTE;33
2020-07-31;2090.0;LONDRINA - CENTRO;REGIÃO NORTE;34
2020-08-31;1952.0;LONDRINA - CENTRO;REGIÃO NORTE;35
2020-09-30;2220.0;LONDRINA - CENTRO;REGIÃO NORTE;36
2020-10-31;2521.0;LONDRINA - CENTRO;REGIÃO NORTE;37
2020-11-30;3763.0;LONDRINA - CENTRO;REGIÃO NORTE;38
2020-12-31;2892.0;LONDRINA - CENTRO;REGIÃO NORTE;39
2021-01-31;2609.0;LONDRINA - CENTRO;REGIÃO NORTE;40
2021-02-28;2302.0;LONDRINA - CENTRO;REGIÃO NORTE;41
2021-03-31;2748.0;LONDRINA - CENTRO;REGIÃO NORTE;42
