PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-09-30;21051.0;PALMAS;REGIÃO SUL;1
2017-10-31;20486.0;PALMAS;REGIÃO SUL;2
2017-11-30;19727.0;PALMAS;REGIÃO SUL;3
2017-12-31;16916.0;PALMAS;REGIÃO SUL;4
2018-01-31;11372.0;PALMAS;REGIÃO SUL;5
2018-02-28;14076.0;PALMAS;REGIÃO SUL;6
2018-03-31;20773.0;PALMAS;REGIÃO SUL;7
2018-04-30;20538.0;PALMAS;REGIÃO SUL;8
2018-05-31;21545.0;PALMAS;REGIÃO SUL;9
2018-06-30;19600.0;PALMAS;REGIÃO SUL;10
2018-07-31;19440.0;PALMAS;REGIÃO SUL;11
2018-08-31;22416.0;PALMAS;REGIÃO SUL;12
2018-09-30;21011.0;PALMAS;REGIÃO SUL;13
2018-10-31;20976.0;PALMAS;REGIÃO SUL;14
2018-11-30;20619.0;PALMAS;REGIÃO SUL;15
2018-12-31;17761.0;PALMAS;REGIÃO SUL;16
2019-01-31;12816.0;PALMAS;REGIÃO SUL;17
2019-02-28;16520.0;PALMAS;REGIÃO SUL;18
2019-03-31;22325.0;PALMAS;REGIÃO SUL;19
2019-04-30;23433.0;PALMAS;REGIÃO SUL;20
2019-05-31;24970.0;PALMAS;REGIÃO SUL;21
2019-06-30;22521.0;PALMAS;REGIÃO SUL;22
2019-07-31;19246.0;PALMAS;REGIÃO SUL;23
2019-08-31;22133.0;PALMAS;REGIÃO SUL;24
2019-09-30;22974.0;PALMAS;REGIÃO SUL;25
2019-10-31;21986.0;PALMAS;REGIÃO SUL;26
2019-11-30;22938.0;PALMAS;REGIÃO SUL;27
2019-12-31;19180.0;PALMAS;REGIÃO SUL;28
2020-01-31;11630.0;PALMAS;REGIÃO SUL;29
2020-02-29;17843.0;PALMAS;REGIÃO SUL;30
2020-03-31;19131.0;PALMAS;REGIÃO SUL;31
2020-04-30;12105.0;PALMAS;REGIÃO SUL;32
2020-05-31;12754.0;PALMAS;REGIÃO SUL;33
2020-06-30;12153.0;PALMAS;REGIÃO SUL;34
2020-07-31;12443.0;PALMAS;REGIÃO SUL;35
2020-08-31;12118.0;PALMAS;REGIÃO SUL;36
2020-09-30;11523.0;PALMAS;REGIÃO SUL;37
2020-10-31;11723.0;PALMAS;REGIÃO SUL;38
2020-11-30;10140.0;PALMAS;REGIÃO SUL;39
2020-12-31;9734.0;PALMAS;REGIÃO SUL;40
2021-01-31;11377.0;PALMAS;REGIÃO SUL;41
2021-02-28;9492.0;PALMAS;REGIÃO SUL;42
2021-03-31;9734.0;PALMAS;REGIÃO SUL;43
2021-04-30;10680.0;PALMAS;REGIÃO SUL;44
2021-05-31;13082.0;PALMAS;REGIÃO SUL;45
2021-06-30;14550.0;PALMAS;REGIÃO SUL;46
2021-07-31;14136.0;PALMAS;REGIÃO SUL;47
2021-08-31;13671.0;PALMAS;REGIÃO SUL;48
2021-09-30;12360.0;PALMAS;REGIÃO SUL;49
2021-10-31;11687.0;PALMAS;REGIÃO SUL;50
2021-11-30;19020.0;PALMAS;REGIÃO SUL;51
2021-12-31;18848.0;PALMAS;REGIÃO SUL;52
2022-01-31;12834.0;PALMAS;REGIÃO SUL;53
2022-02-28;4088.0;PALMAS;REGIÃO SUL;54
2022-03-31;22816.0;PALMAS;REGIÃO SUL;55
2022-04-30;15600.0;PALMAS;REGIÃO SUL;56
2022-05-31;15593.0;PALMAS;REGIÃO SUL;57
2022-06-30;15570.0;PALMAS;REGIÃO SUL;58
2022-07-31;13857.0;PALMAS;REGIÃO SUL;59
2022-08-31;14384.0;PALMAS;REGIÃO SUL;60
2022-09-30;12750.0;PALMAS;REGIÃO SUL;61
2022-10-31;13609.0;PALMAS;REGIÃO SUL;62
2022-11-30;14340.0;PALMAS;REGIÃO SUL;63
2022-12-31;12493.0;PALMAS;REGIÃO SUL;64
2023-01-31;10261.0;PALMAS;REGIÃO SUL;65
2023-02-28;13552.0;PALMAS;REGIÃO SUL;66
2023-03-31;15345.0;PALMAS;REGIÃO SUL;67
2023-04-30;14490.0;PALMAS;REGIÃO SUL;68
2023-05-31;16957.0;PALMAS;REGIÃO SUL;69
2023-06-30;16650.0;PALMAS;REGIÃO SUL;70
2023-07-31;21173.0;PALMAS;REGIÃO SUL;71
2023-08-31;21948.0;PALMAS;REGIÃO SUL;72
2023-09-30;11910.0;PALMAS;REGIÃO SUL;73
2023-10-31;11284.0;PALMAS;REGIÃO SUL;74
2023-11-30;12210.0;PALMAS;REGIÃO SUL;75
2023-12-31;9579.0;PALMAS;REGIÃO SUL;76
2024-01-31;8215.0;PALMAS;REGIÃO SUL;77
2024-02-29;16385.0;PALMAS;REGIÃO SUL;78
2024-03-31;19189.0;PALMAS;REGIÃO SUL;79
2024-04-30;13710.0;PALMAS;REGIÃO SUL;80
2024-05-31;14229.0;PALMAS;REGIÃO SUL;81
2024-06-30;14250.0;PALMAS;REGIÃO SUL;82
2024-07-31;21018.0;PALMAS;REGIÃO SUL;83
2024-08-31;22475.0;PALMAS;REGIÃO SUL;84
2024-09-30;21240.0;PALMAS;REGIÃO SUL;85
2024-10-31;21173.0;PALMAS;REGIÃO SUL;86
