PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2014-01-31;22368.0;PARANAGUÁ;REGIÃO LESTE;1
2014-02-28;32524.0;PARANAGUÁ;REGIÃO LESTE;2
2014-03-31;35080.0;PARANAGUÁ;REGIÃO LESTE;3
2014-04-30;28028.0;PARANAGUÁ;REGIÃO LESTE;4
2014-05-31;27292.0;PARANAGUÁ;REGIÃO LESTE;5
2014-06-30;22079.0;PARANAGUÁ;REGIÃO LESTE;6
2014-07-31;19248.0;PARANAGUÁ;REGIÃO LESTE;7
2014-08-31;23674.0;PARANAGUÁ;REGIÃO LESTE;8
2014-09-30;25195.0;PARANAGUÁ;REGIÃO LESTE;9
2014-10-31;28529.0;PARANAGUÁ;REGIÃO LESTE;10
2014-11-30;32602.0;PARANAGUÁ;REGIÃO LESTE;11
2014-12-31;27332.0;PARANAGUÁ;REGIÃO LESTE;12
2015-01-31;20537.0;PARANAGUÁ;REGIÃO LESTE;13
2015-02-28;30320.0;PARANAGUÁ;REGIÃO LESTE;14
2015-03-31;39422.0;PARANAGUÁ;REGIÃO LESTE;15
2015-04-30;29196.0;PARANAGUÁ;REGIÃO LESTE;16
2015-05-31;26527.0;PARANAGUÁ;REGIÃO LESTE;17
2015-06-30;23423.0;PARANAGUÁ;REGIÃO LESTE;18
2015-07-31;16285.0;PARANAGUÁ;REGIÃO LESTE;19
2015-08-31;15491.0;PARANAGUÁ;REGIÃO LESTE;20
2015-09-30;18394.0;PARANAGUÁ;REGIÃO LESTE;21
2015-10-31;22592.0;PARANAGUÁ;REGIÃO LESTE;22
2015-11-30;24628.0;PARANAGUÁ;REGIÃO LESTE;23
2015-12-31;25462.0;PARANAGUÁ;REGIÃO LESTE;24
2016-01-31;23852.0;PARANAGUÁ;REGIÃO LESTE;25
2016-02-29;25871.0;PARANAGUÁ;REGIÃO LESTE;26
2016-03-31;34892.0;PARANAGUÁ;REGIÃO LESTE;27
2016-04-30;34162.0;PARANAGUÁ;REGIÃO LESTE;28
2016-05-31;20768.0;PARANAGUÁ;REGIÃO LESTE;29
2016-06-30;17580.0;PARANAGUÁ;REGIÃO LESTE;30
2016-07-31;14748.0;PARANAGUÁ;REGIÃO LESTE;31
2016-08-31;17203.0;PARANAGUÁ;REGIÃO LESTE;32
2016-09-30;16602.0;PARANAGUÁ;REGIÃO LESTE;33
2016-10-31;14354.0;PARANAGUÁ;REGIÃO LESTE;34
2016-11-30;12200.0;PARANAGUÁ;REGIÃO LESTE;35
2016-12-31;17719.0;PARANAGUÁ;REGIÃO LESTE;36
2017-01-31;16509.0;PARANAGUÁ;REGIÃO LESTE;37
2017-02-28;26428.0;PARANAGUÁ;REGIÃO LESTE;38
2017-03-31;25359.0;PARANAGUÁ;REGIÃO LESTE;39
2017-04-30;20680.0;PARANAGUÁ;REGIÃO LESTE;40
2017-05-31;19220.0;PARANAGUÁ;REGIÃO LESTE;41
