PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2014-02-28;15100.0;PARANAVAÍ;REGIÃO NORTE;1
2014-03-31;14461.0;PARANAVAÍ;REGIÃO NORTE;2
2014-04-30;13516.0;PARANAVAÍ;REGIÃO NORTE;3
2014-05-31;11853.0;PARANAVAÍ;REGIÃO NORTE;4
2014-06-30;9690.0;PARANAVAÍ;REGIÃO NORTE;5
2014-07-31;10613.0;PARANAVAÍ;REGIÃO NORTE;6
2014-08-31;12986.0;PARANAVAÍ;REGIÃO NORTE;7
2014-09-30;14132.0;PARANAVAÍ;REGIÃO NORTE;8
2014-10-31;15083.0;PARANAVAÍ;REGIÃO NORTE;9
2014-11-30;17599.0;PARANAVAÍ;REGIÃO NORTE;10
2014-12-31;14733.0;PARANAVAÍ;REGIÃO NORTE;11
2015-01-31;11566.0;PARANAVAÍ;REGIÃO NORTE;12
2015-02-28;14467.0;PARANAVAÍ;REGIÃO NORTE;13
2015-03-31;21311.0;PARANAVAÍ;REGIÃO NORTE;14
2015-04-30;17860.0;PARANAVAÍ;REGIÃO NORTE;15
2015-05-31;16314.0;PARANAVAÍ;REGIÃO NORTE;16
2015-06-30;14378.0;PARANAVAÍ;REGIÃO NORTE;17
2015-07-31;12986.0;PARANAVAÍ;REGIÃO NORTE;18
2015-08-31;15489.0;PARANAVAÍ;REGIÃO NORTE;19
2015-09-30;17561.0;PARANAVAÍ;REGIÃO NORTE;20
2015-10-31;20904.0;PARANAVAÍ;REGIÃO NORTE;21
2015-11-30;19919.0;PARANAVAÍ;REGIÃO NORTE;22
2015-12-31;16688.0;PARANAVAÍ;REGIÃO NORTE;23
2016-01-31;12246.0;PARANAVAÍ;REGIÃO NORTE;24
2016-02-29;17639.0;PARANAVAÍ;REGIÃO NORTE;25
2016-03-31;25835.0;PARANAVAÍ;REGIÃO NORTE;26
2016-04-30;25186.0;PARANAVAÍ;REGIÃO NORTE;27
2016-05-31;15668.0;PARANAVAÍ;REGIÃO NORTE;28
2016-06-30;13837.0;PARANAVAÍ;REGIÃO NORTE;29
2016-07-31;13752.0;PARANAVAÍ;REGIÃO NORTE;30
2016-08-31;16269.0;PARANAVAÍ;REGIÃO NORTE;31
2016-09-30;16460.0;PARANAVAÍ;REGIÃO NORTE;32
2016-10-31;20182.0;PARANAVAÍ;REGIÃO NORTE;33
2016-11-30;22615.0;PARANAVAÍ;REGIÃO NORTE;34
2016-12-31;19536.0;PARANAVAÍ;REGIÃO NORTE;35
2017-01-31;16446.0;PARANAVAÍ;REGIÃO NORTE;36
2017-02-28;24317.0;PARANAVAÍ;REGIÃO NORTE;37
2017-03-31;28369.0;PARANAVAÍ;REGIÃO NORTE;38
2017-04-30;23682.0;PARANAVAÍ;REGIÃO NORTE;39
2017-05-31;16732.0;PARANAVAÍ;REGIÃO NORTE;40
2017-06-30;13057.0;PARANAVAÍ;REGIÃO NORTE;41
2017-07-31;11127.0;PARANAVAÍ;REGIÃO NORTE;42
2017-08-31;16436.0;PARANAVAÍ;REGIÃO NORTE;43
2017-09-30;20339.0;PARANAVAÍ;REGIÃO NORTE;44
2017-10-31;17952.0;PARANAVAÍ;REGIÃO NORTE;45
2017-11-30;18270.0;PARANAVAÍ;REGIÃO NORTE;46
2017-12-31;17642.0;PARANAVAÍ;REGIÃO NORTE;47
2018-01-31;10352.0;PARANAVAÍ;REGIÃO NORTE;48
2018-02-28;18294.0;PARANAVAÍ;REGIÃO NORTE;49
2018-03-31;31724.0;PARANAVAÍ;REGIÃO NORTE;50
2018-04-30;24346.0;PARANAVAÍ;REGIÃO NORTE;51
2018-05-31;21076.0;PARANAVAÍ;REGIÃO NORTE;52
2018-06-30;13490.0;PARANAVAÍ;REGIÃO NORTE;53
2018-07-31;14688.0;PARANAVAÍ;REGIÃO NORTE;54
2018-08-31;13999.0;PARANAVAÍ;REGIÃO NORTE;55
2018-09-30;16893.0;PARANAVAÍ;REGIÃO NORTE;56
2018-10-31;23054.0;PARANAVAÍ;REGIÃO NORTE;57
2018-11-30;22761.0;PARANAVAÍ;REGIÃO NORTE;58
2018-12-31;21193.0;PARANAVAÍ;REGIÃO NORTE;59
2019-01-31;14167.0;PARANAVAÍ;REGIÃO NORTE;60
2019-02-28;22309.0;PARANAVAÍ;REGIÃO NORTE;61
2019-03-31;26751.0;PARANAVAÍ;REGIÃO NORTE;62
2019-04-30;24498.0;PARANAVAÍ;REGIÃO NORTE;63
2019-05-31;20978.0;PARANAVAÍ;REGIÃO NORTE;64
2019-06-30;15063.0;PARANAVAÍ;REGIÃO NORTE;65
2019-07-31;13634.0;PARANAVAÍ;REGIÃO NORTE;66
2019-08-31;16331.0;PARANAVAÍ;REGIÃO NORTE;67
2019-09-30;20274.0;PARANAVAÍ;REGIÃO NORTE;68
2019-10-31;21454.0;PARANAVAÍ;REGIÃO NORTE;69
2019-11-30;27309.0;PARANAVAÍ;REGIÃO NORTE;70
2019-12-31;18913.0;PARANAVAÍ;REGIÃO NORTE;71
2020-01-31;14441.0;PARANAVAÍ;REGIÃO NORTE;72
2020-02-29;22049.0;PARANAVAÍ;REGIÃO NORTE;73
2020-03-31;19010.0;PARANAVAÍ;REGIÃO NORTE;74
2020-04-30;7224.0;PARANAVAÍ;REGIÃO NORTE;75
2020-05-31;7458.0;PARANAVAÍ;REGIÃO NORTE;76
2020-06-30;7380.0;PARANAVAÍ;REGIÃO NORTE;77
2020-07-31;7636.0;PARANAVAÍ;REGIÃO NORTE;78
2020-08-31;7527.0;PARANAVAÍ;REGIÃO NORTE;79
2020-09-30;7929.0;PARANAVAÍ;REGIÃO NORTE;80
2020-10-31;9461.0;PARANAVAÍ;REGIÃO NORTE;81
2020-11-30;5790.0;PARANAVAÍ;REGIÃO NORTE;82
2020-12-31;7223.0;PARANAVAÍ;REGIÃO NORTE;83
2021-01-31;7905.0;PARANAVAÍ;REGIÃO NORTE;84
2021-02-28;6608.0;PARANAVAÍ;REGIÃO NORTE;85
2021-03-31;7719.0;PARANAVAÍ;REGIÃO NORTE;86
2021-04-30;7650.0;PARANAVAÍ;REGIÃO NORTE;87
2021-05-31;8277.0;PARANAVAÍ;REGIÃO NORTE;88
2021-06-30;6690.0;PARANAVAÍ;REGIÃO NORTE;89
2021-07-31;6634.0;PARANAVAÍ;REGIÃO NORTE;90
2021-08-31;7068.0;PARANAVAÍ;REGIÃO NORTE;91
2021-09-30;6840.0;PARANAVAÍ;REGIÃO NORTE;92
2021-10-31;6386.0;PARANAVAÍ;REGIÃO NORTE;93
2021-11-30;8250.0;PARANAVAÍ;REGIÃO NORTE;94
2021-12-31;8060.0;PARANAVAÍ;REGIÃO NORTE;95
2022-01-31;12028.0;PARANAVAÍ;REGIÃO NORTE;96
2022-02-28;9996.0;PARANAVAÍ;REGIÃO NORTE;97
2022-03-31;10881.0;PARANAVAÍ;REGIÃO NORTE;98
2022-04-30;15900.0;PARANAVAÍ;REGIÃO NORTE;99
2022-05-31;12617.0;PARANAVAÍ;REGIÃO NORTE;100
2022-06-30;11730.0;PARANAVAÍ;REGIÃO NORTE;101
2022-07-31;13764.0;PARANAVAÍ;REGIÃO NORTE;102
2022-08-31;11160.0;PARANAVAÍ;REGIÃO NORTE;103
2022-09-30;13020.0;PARANAVAÍ;REGIÃO NORTE;104
2022-10-31;14818.0;PARANAVAÍ;REGIÃO NORTE;105
2022-11-30;13920.0;PARANAVAÍ;REGIÃO NORTE;106
2022-12-31;13516.0;PARANAVAÍ;REGIÃO NORTE;107
2023-01-31;9300.0;PARANAVAÍ;REGIÃO NORTE;108
2023-02-28;16884.0;PARANAVAÍ;REGIÃO NORTE;109
2023-03-31;30380.0;PARANAVAÍ;REGIÃO NORTE;110
2023-04-30;18870.0;PARANAVAÍ;REGIÃO NORTE;111
2023-05-31;18135.0;PARANAVAÍ;REGIÃO NORTE;112
2023-06-30;13980.0;PARANAVAÍ;REGIÃO NORTE;113
2023-07-31;9765.0;PARANAVAÍ;REGIÃO NORTE;114
2023-08-31;18848.0;PARANAVAÍ;REGIÃO NORTE;115
2023-09-30;26430.0;PARANAVAÍ;REGIÃO NORTE;116
2023-10-31;32054.0;PARANAVAÍ;REGIÃO NORTE;117
2023-11-30;30330.0;PARANAVAÍ;REGIÃO NORTE;118
2023-12-31;20584.0;PARANAVAÍ;REGIÃO NORTE;119
2024-01-31;10881.0;PARANAVAÍ;REGIÃO NORTE;120
2024-02-29;22968.0;PARANAVAÍ;REGIÃO NORTE;121
2024-03-31;31279.0;PARANAVAÍ;REGIÃO NORTE;122
2024-04-30;11010.0;PARANAVAÍ;REGIÃO NORTE;123
2024-05-31;9672.0;PARANAVAÍ;REGIÃO NORTE;124
2024-06-30;8130.0;PARANAVAÍ;REGIÃO NORTE;125
2024-07-31;14384.0;PARANAVAÍ;REGIÃO NORTE;126
2024-08-31;16461.0;PARANAVAÍ;REGIÃO NORTE;127
2024-09-30;21810.0;PARANAVAÍ;REGIÃO NORTE;128
2024-10-31;32457.0;PARANAVAÍ;REGIÃO NORTE;129
