PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2016-01-31;4840.0;PINHAIS;REGIÃO LESTE;1
2016-02-29;4769.0;PINHAIS;REGIÃO LESTE;2
2016-03-31;5413.0;PINHAIS;REGIÃO LESTE;3
2016-04-30;4830.0;PINHAIS;REGIÃO LESTE;4
2016-05-31;5123.0;PINHAIS;REGIÃO LESTE;5
2016-06-30;5286.0;PINHAIS;REGIÃO LESTE;6
2016-07-31;5253.0;PINHAIS;REGIÃO LESTE;7
2016-08-31;4787.0;PINHAIS;REGIÃO LESTE;8
2016-09-30;4501.0;PINHAIS;REGIÃO LESTE;9
2016-10-31;3276.0;PINHAIS;REGIÃO LESTE;10
2016-11-30;2277.0;PINHAIS;REGIÃO LESTE;11
2016-12-31;2518.0;PINHAIS;REGIÃO LESTE;12
2017-01-31;3212.0;PINHAIS;REGIÃO LESTE;13
2017-02-28;4094.0;PINHAIS;REGIÃO LESTE;14
2017-03-31;4958.0;PINHAIS;REGIÃO LESTE;15
2017-04-30;4833.0;PINHAIS;REGIÃO LESTE;16
2017-05-31;5611.0;PINHAIS;REGIÃO LESTE;17
2017-06-30;5312.0;PINHAIS;REGIÃO LESTE;18
2017-07-31;4504.0;PINHAIS;REGIÃO LESTE;19
2017-08-31;5064.0;PINHAIS;REGIÃO LESTE;20
2017-09-30;5716.0;PINHAIS;REGIÃO LESTE;21
2017-10-31;5469.0;PINHAIS;REGIÃO LESTE;22
2017-11-30;4978.0;PINHAIS;REGIÃO LESTE;23
2017-12-31;3953.0;PINHAIS;REGIÃO LESTE;24
2018-01-31;3837.0;PINHAIS;REGIÃO LESTE;25
2018-02-28;4306.0;PINHAIS;REGIÃO LESTE;26
2018-03-31;5333.0;PINHAIS;REGIÃO LESTE;27
2018-04-30;5664.0;PINHAIS;REGIÃO LESTE;28
2018-05-31;5429.0;PINHAIS;REGIÃO LESTE;29
2018-06-30;5877.0;PINHAIS;REGIÃO LESTE;30
2018-07-31;5728.0;PINHAIS;REGIÃO LESTE;31
2018-08-31;5655.0;PINHAIS;REGIÃO LESTE;32
2018-09-30;5979.0;PINHAIS;REGIÃO LESTE;33
2018-10-31;5779.0;PINHAIS;REGIÃO LESTE;34
2018-11-30;5058.0;PINHAIS;REGIÃO LESTE;35
2018-12-31;3856.0;PINHAIS;REGIÃO LESTE;36
2019-01-31;3628.0;PINHAIS;REGIÃO LESTE;37
2019-02-28;4095.0;PINHAIS;REGIÃO LESTE;38
2019-03-31;5452.0;PINHAIS;REGIÃO LESTE;39
2019-04-30;5553.0;PINHAIS;REGIÃO LESTE;40
2019-05-31;5462.0;PINHAIS;REGIÃO LESTE;41
2019-06-30;5059.0;PINHAIS;REGIÃO LESTE;42
2019-07-31;4590.0;PINHAIS;REGIÃO LESTE;43
2019-08-31;5033.0;PINHAIS;REGIÃO LESTE;44
2019-09-30;5268.0;PINHAIS;REGIÃO LESTE;45
2019-10-31;4934.0;PINHAIS;REGIÃO LESTE;46
2019-11-30;4555.0;PINHAIS;REGIÃO LESTE;47
2019-12-31;3984.0;PINHAIS;REGIÃO LESTE;48
2020-01-31;5622.0;PINHAIS;REGIÃO LESTE;49
2020-02-29;5710.0;PINHAIS;REGIÃO LESTE;50
2020-03-31;4795.0;PINHAIS;REGIÃO LESTE;51
2020-04-30;3361.0;PINHAIS;REGIÃO LESTE;52
2020-05-31;3097.0;PINHAIS;REGIÃO LESTE;53
2020-06-30;2999.0;PINHAIS;REGIÃO LESTE;54
2020-07-31;3200.0;PINHAIS;REGIÃO LESTE;55
2020-08-31;3108.0;PINHAIS;REGIÃO LESTE;56
2020-09-30;3619.0;PINHAIS;REGIÃO LESTE;57
2020-10-31;3775.0;PINHAIS;REGIÃO LESTE;58
2020-11-30;3403.0;PINHAIS;REGIÃO LESTE;59
2020-12-31;3647.0;PINHAIS;REGIÃO LESTE;60
2021-01-31;3107.0;PINHAIS;REGIÃO LESTE;61
2021-02-28;2918.0;PINHAIS;REGIÃO LESTE;62
2021-03-31;2135.0;PINHAIS;REGIÃO LESTE;63
2021-04-30;2317.0;PINHAIS;REGIÃO LESTE;64
2021-05-31;2431.0;PINHAIS;REGIÃO LESTE;65
2021-06-30;3024.0;PINHAIS;REGIÃO LESTE;66
2021-07-31;2699.0;PINHAIS;REGIÃO LESTE;67
2021-08-31;2783.0;PINHAIS;REGIÃO LESTE;68
2021-09-30;2555.0;PINHAIS;REGIÃO LESTE;69
2021-10-31;2940.0;PINHAIS;REGIÃO LESTE;70
2021-11-30;2820.0;PINHAIS;REGIÃO LESTE;71
2021-12-31;3202.0;PINHAIS;REGIÃO LESTE;72
2022-01-31;3560.0;PINHAIS;REGIÃO LESTE;73
2022-02-28;3202.0;PINHAIS;REGIÃO LESTE;74
2022-03-31;6321.0;PINHAIS;REGIÃO LESTE;75
2022-04-30;6050.0;PINHAIS;REGIÃO LESTE;76
2022-05-31;7388.0;PINHAIS;REGIÃO LESTE;77
2022-06-30;7573.0;PINHAIS;REGIÃO LESTE;78
2022-07-31;5827.0;PINHAIS;REGIÃO LESTE;79
2022-08-31;7468.0;PINHAIS;REGIÃO LESTE;80
2022-09-30;6976.0;PINHAIS;REGIÃO LESTE;81
2022-10-31;6280.0;PINHAIS;REGIÃO LESTE;82
2022-11-30;5935.0;PINHAIS;REGIÃO LESTE;83
2022-12-31;4789.0;PINHAIS;REGIÃO LESTE;84
2023-01-31;3850.0;PINHAIS;REGIÃO LESTE;85
2023-02-28;5197.0;PINHAIS;REGIÃO LESTE;86
2023-03-31;6640.0;PINHAIS;REGIÃO LESTE;87
2023-04-30;5665.0;PINHAIS;REGIÃO LESTE;88
2023-05-31;6360.0;PINHAIS;REGIÃO LESTE;89
2023-06-30;6372.0;PINHAIS;REGIÃO LESTE;90
2023-07-31;4780.0;PINHAIS;REGIÃO LESTE;91
2023-08-31;6529.0;PINHAIS;REGIÃO LESTE;92
2023-09-30;5566.0;PINHAIS;REGIÃO LESTE;93
2023-10-31;5793.0;PINHAIS;REGIÃO LESTE;94
2023-11-30;5597.0;PINHAIS;REGIÃO LESTE;95
2023-12-31;5164.0;PINHAIS;REGIÃO LESTE;96
2024-01-31;4380.0;PINHAIS;REGIÃO LESTE;97
2024-02-29;5868.0;PINHAIS;REGIÃO LESTE;98
2024-03-31;6650.0;PINHAIS;REGIÃO LESTE;99
2024-04-30;3890.0;PINHAIS;REGIÃO LESTE;100
2024-05-31;3083.0;PINHAIS;REGIÃO LESTE;101
2024-06-30;2960.0;PINHAIS;REGIÃO LESTE;102
2024-07-31;4575.0;PINHAIS;REGIÃO LESTE;103
2024-08-31;4801.0;PINHAIS;REGIÃO LESTE;104
2024-09-30;4558.0;PINHAIS;REGIÃO LESTE;105
2024-10-31;4772.0;PINHAIS;REGIÃO LESTE;106
