PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-10-31;3800.0;PITANGA;REGIÃO CENTRAL;1
2017-11-30;3387.0;PITANGA;REGIÃO CENTRAL;2
2017-12-31;2913.0;PITANGA;REGIÃO CENTRAL;3
2018-01-31;2377.0;PITANGA;REGIÃO CENTRAL;4
2018-02-28;3233.0;PITANGA;REGIÃO CENTRAL;5
2018-03-31;4959.0;PITANGA;REGIÃO CENTRAL;6
2018-04-30;4538.0;PITANGA;REGIÃO CENTRAL;7
2018-05-31;4638.0;PITANGA;REGIÃO CENTRAL;8
2018-06-30;4382.0;PITANGA;REGIÃO CENTRAL;9
2018-07-31;4479.0;PITANGA;REGIÃO CENTRAL;10
2018-08-31;4998.0;PITANGA;REGIÃO CENTRAL;11
2018-09-30;5293.0;PITANGA;REGIÃO CENTRAL;12
2018-10-31;5020.0;PITANGA;REGIÃO CENTRAL;13
2018-11-30;4512.0;PITANGA;REGIÃO CENTRAL;14
2018-12-31;4142.0;PITANGA;REGIÃO CENTRAL;15
2019-01-31;3461.0;PITANGA;REGIÃO CENTRAL;16
2019-02-28;4224.0;PITANGA;REGIÃO CENTRAL;17
2019-03-31;6250.0;PITANGA;REGIÃO CENTRAL;18
2019-04-30;6994.0;PITANGA;REGIÃO CENTRAL;19
2019-05-31;6553.0;PITANGA;REGIÃO CENTRAL;20
2019-06-30;5075.0;PITANGA;REGIÃO CENTRAL;21
2019-07-31;3992.0;PITANGA;REGIÃO CENTRAL;22
2019-08-31;4474.0;PITANGA;REGIÃO CENTRAL;23
2019-09-30;5010.0;PITANGA;REGIÃO CENTRAL;24
2019-10-31;5477.0;PITANGA;REGIÃO CENTRAL;25
2019-11-30;5738.0;PITANGA;REGIÃO CENTRAL;26
2019-12-31;4558.0;PITANGA;REGIÃO CENTRAL;27
2020-01-31;3541.0;PITANGA;REGIÃO CENTRAL;28
2020-02-29;5100.0;PITANGA;REGIÃO CENTRAL;29
2020-03-31;4189.0;PITANGA;REGIÃO CENTRAL;30
2020-04-30;1590.0;PITANGA;REGIÃO CENTRAL;31
2020-05-31;1607.0;PITANGA;REGIÃO CENTRAL;32
2020-06-30;1566.0;PITANGA;REGIÃO CENTRAL;33
2020-07-31;1724.0;PITANGA;REGIÃO CENTRAL;34
2020-08-31;1561.0;PITANGA;REGIÃO CENTRAL;35
2020-09-30;1950.0;PITANGA;REGIÃO CENTRAL;36
2020-10-31;1550.0;PITANGA;REGIÃO CENTRAL;37
2020-11-30;1590.0;PITANGA;REGIÃO CENTRAL;38
2020-12-31;1643.0;PITANGA;REGIÃO CENTRAL;39
2021-01-31;1581.0;PITANGA;REGIÃO CENTRAL;40
2021-02-28;1512.0;PITANGA;REGIÃO CENTRAL;41
2021-03-31;1581.0;PITANGA;REGIÃO CENTRAL;42
2021-04-30;1440.0;PITANGA;REGIÃO CENTRAL;43
2021-05-31;1395.0;PITANGA;REGIÃO CENTRAL;44
2021-06-30;1380.0;PITANGA;REGIÃO CENTRAL;45
2021-07-31;1581.0;PITANGA;REGIÃO CENTRAL;46
2021-08-31;1705.0;PITANGA;REGIÃO CENTRAL;47
2021-09-30;1710.0;PITANGA;REGIÃO CENTRAL;48
2021-10-31;1798.0;PITANGA;REGIÃO CENTRAL;49
2021-11-30;3510.0;PITANGA;REGIÃO CENTRAL;50
2021-12-31;3689.0;PITANGA;REGIÃO CENTRAL;51
2022-01-31;3193.0;PITANGA;REGIÃO CENTRAL;52
2022-02-28;4984.0;PITANGA;REGIÃO CENTRAL;53
2022-03-31;5270.0;PITANGA;REGIÃO CENTRAL;54
2022-04-30;4440.0;PITANGA;REGIÃO CENTRAL;55
2022-05-31;5456.0;PITANGA;REGIÃO CENTRAL;56
2022-06-30;4920.0;PITANGA;REGIÃO CENTRAL;57
2022-07-31;4991.0;PITANGA;REGIÃO CENTRAL;58
2022-08-31;5704.0;PITANGA;REGIÃO CENTRAL;59
2022-09-30;5430.0;PITANGA;REGIÃO CENTRAL;60
2022-10-31;4495.0;PITANGA;REGIÃO CENTRAL;61
2022-11-30;4620.0;PITANGA;REGIÃO CENTRAL;62
2022-12-31;4588.0;PITANGA;REGIÃO CENTRAL;63
2023-01-31;3255.0;PITANGA;REGIÃO CENTRAL;64
2023-02-28;4508.0;PITANGA;REGIÃO CENTRAL;65
2023-03-31;5952.0;PITANGA;REGIÃO CENTRAL;66
2023-04-30;3780.0;PITANGA;REGIÃO CENTRAL;67
2023-05-31;5022.0;PITANGA;REGIÃO CENTRAL;68
2023-06-30;6060.0;PITANGA;REGIÃO CENTRAL;69
2023-07-31;3813.0;PITANGA;REGIÃO CENTRAL;70
2023-08-31;4805.0;PITANGA;REGIÃO CENTRAL;71
2023-09-30;5040.0;PITANGA;REGIÃO CENTRAL;72
2023-10-31;5084.0;PITANGA;REGIÃO CENTRAL;73
2023-11-30;5940.0;PITANGA;REGIÃO CENTRAL;74
2023-12-31;5735.0;PITANGA;REGIÃO CENTRAL;75
2024-01-31;4309.0;PITANGA;REGIÃO CENTRAL;76
2024-02-29;7279.0;PITANGA;REGIÃO CENTRAL;77
