PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2017-10-31;15168.0;TELÊMACO BORBA;REGIÃO CENTRAL;1
2017-11-30;15206.0;TELÊMACO BORBA;REGIÃO CENTRAL;2
2017-12-31;13033.0;TELÊMACO BORBA;REGIÃO CENTRAL;3
2018-01-31;9080.0;TELÊMACO BORBA;REGIÃO CENTRAL;4
2018-02-28;13392.0;TELÊMACO BORBA;REGIÃO CENTRAL;5
2018-03-31;17654.0;TELÊMACO BORBA;REGIÃO CENTRAL;6
2018-04-30;16378.0;TELÊMACO BORBA;REGIÃO CENTRAL;7
2018-05-31;14422.0;TELÊMACO BORBA;REGIÃO CENTRAL;8
2018-06-30;15882.0;TELÊMACO BORBA;REGIÃO CENTRAL;9
2018-07-31;13018.0;TELÊMACO BORBA;REGIÃO CENTRAL;10
2018-08-31;15297.0;TELÊMACO BORBA;REGIÃO CENTRAL;11
2018-09-30;16042.0;TELÊMACO BORBA;REGIÃO CENTRAL;12
2018-10-31;16466.0;TELÊMACO BORBA;REGIÃO CENTRAL;13
2018-11-30;17798.0;TELÊMACO BORBA;REGIÃO CENTRAL;14
2018-12-31;14400.0;TELÊMACO BORBA;REGIÃO CENTRAL;15
2019-01-31;10767.0;TELÊMACO BORBA;REGIÃO CENTRAL;16
2019-02-28;16380.0;TELÊMACO BORBA;REGIÃO CENTRAL;17
2019-03-31;19329.0;TELÊMACO BORBA;REGIÃO CENTRAL;18
2019-04-30;19210.0;TELÊMACO BORBA;REGIÃO CENTRAL;19
2019-05-31;17935.0;TELÊMACO BORBA;REGIÃO CENTRAL;20
2019-06-30;15614.0;TELÊMACO BORBA;REGIÃO CENTRAL;21
2019-07-31;12231.0;TELÊMACO BORBA;REGIÃO CENTRAL;22
2019-08-31;15683.0;TELÊMACO BORBA;REGIÃO CENTRAL;23
2019-09-30;18610.0;TELÊMACO BORBA;REGIÃO CENTRAL;24
2019-10-31;18578.0;TELÊMACO BORBA;REGIÃO CENTRAL;25
2019-11-30;20290.0;TELÊMACO BORBA;REGIÃO CENTRAL;26
2019-12-31;13151.0;TELÊMACO BORBA;REGIÃO CENTRAL;27
2020-01-31;11341.0;TELÊMACO BORBA;REGIÃO CENTRAL;28
2020-02-29;18627.0;TELÊMACO BORBA;REGIÃO CENTRAL;29
2020-03-31;14655.0;TELÊMACO BORBA;REGIÃO CENTRAL;30
2020-04-30;7926.0;TELÊMACO BORBA;REGIÃO CENTRAL;31
2020-05-31;6888.0;TELÊMACO BORBA;REGIÃO CENTRAL;32
2020-06-30;6782.0;TELÊMACO BORBA;REGIÃO CENTRAL;33
2020-07-31;7006.0;TELÊMACO BORBA;REGIÃO CENTRAL;34
2020-08-31;7440.0;TELÊMACO BORBA;REGIÃO CENTRAL;35
2020-09-30;6900.0;TELÊMACO BORBA;REGIÃO CENTRAL;36
2020-10-31;6355.0;TELÊMACO BORBA;REGIÃO CENTRAL;37
2020-11-30;6180.0;TELÊMACO BORBA;REGIÃO CENTRAL;38
2020-12-31;6944.0;TELÊMACO BORBA;REGIÃO CENTRAL;39
2021-01-31;7564.0;TELÊMACO BORBA;REGIÃO CENTRAL;40
2021-02-28;6272.0;TELÊMACO BORBA;REGIÃO CENTRAL;41
2021-03-31;7068.0;TELÊMACO BORBA;REGIÃO CENTRAL;42
2021-04-30;6660.0;TELÊMACO BORBA;REGIÃO CENTRAL;43
2021-05-31;6944.0;TELÊMACO BORBA;REGIÃO CENTRAL;44
2021-06-30;7200.0;TELÊMACO BORBA;REGIÃO CENTRAL;45
2021-07-31;7626.0;TELÊMACO BORBA;REGIÃO CENTRAL;46
2021-08-31;7688.0;TELÊMACO BORBA;REGIÃO CENTRAL;47
2021-09-30;9300.0;TELÊMACO BORBA;REGIÃO CENTRAL;48
2021-10-31;9331.0;TELÊMACO BORBA;REGIÃO CENTRAL;49
