PERIODO;CONSUMO;CAMPUS;REGIÃO;ORDEM
2015-11-30;17856.0;UMUARAMA;REGIÃO OESTE;1
2015-12-31;14840.0;UMUARAMA;REGIÃO OESTE;2
2016-01-31;15396.0;UMUARAMA;REGIÃO OESTE;3
2016-02-29;18155.0;UMUARAMA;REGIÃO OESTE;4
2016-03-31;23177.0;UMUARAMA;REGIÃO OESTE;5
2016-04-30;21751.0;UMUARAMA;REGIÃO OESTE;6
2016-05-31;17612.0;UMUARAMA;REGIÃO OESTE;7
2016-06-30;15491.0;UMUARAMA;REGIÃO OESTE;8
2016-07-31;14372.0;UMUARAMA;REGIÃO OESTE;9
2016-08-31;14159.0;UMUARAMA;REGIÃO OESTE;10
2016-09-30;15241.0;UMUARAMA;REGIÃO OESTE;11
2016-10-31;18546.0;UMUARAMA;REGIÃO OESTE;12
2016-11-30;19891.0;UMUARAMA;REGIÃO OESTE;13
2016-12-31;16945.0;UMUARAMA;REGIÃO OESTE;14
2017-01-31;15155.0;UMUARAMA;REGIÃO OESTE;15
2017-02-28;20022.0;UMUARAMA;REGIÃO OESTE;16
2017-03-31;25788.0;UMUARAMA;REGIÃO OESTE;17
2017-04-30;19412.0;UMUARAMA;REGIÃO OESTE;18
2017-05-31;16986.0;UMUARAMA;REGIÃO OESTE;19
2017-06-30;14074.0;UMUARAMA;REGIÃO OESTE;20
2017-07-31;15069.0;UMUARAMA;REGIÃO OESTE;21
2017-08-31;17823.0;UMUARAMA;REGIÃO OESTE;22
2017-09-30;22130.0;UMUARAMA;REGIÃO OESTE;23
2017-10-31;21565.0;UMUARAMA;REGIÃO OESTE;24
2017-11-30;23007.0;UMUARAMA;REGIÃO OESTE;25
2017-12-31;19830.0;UMUARAMA;REGIÃO OESTE;26
2018-01-31;16016.0;UMUARAMA;REGIÃO OESTE;27
2018-02-28;20733.0;UMUARAMA;REGIÃO OESTE;28
2018-03-31;30996.0;UMUARAMA;REGIÃO OESTE;29
2018-04-30;29235.0;UMUARAMA;REGIÃO OESTE;30
2018-05-31;20890.0;UMUARAMA;REGIÃO OESTE;31
2018-06-30;16204.0;UMUARAMA;REGIÃO OESTE;32
2018-07-31;15845.0;UMUARAMA;REGIÃO OESTE;33
2018-08-31;16872.0;UMUARAMA;REGIÃO OESTE;34
2018-09-30;19325.0;UMUARAMA;REGIÃO OESTE;35
2018-10-31;20842.0;UMUARAMA;REGIÃO OESTE;36
2018-11-30;26400.0;UMUARAMA;REGIÃO OESTE;37
2018-12-31;23852.0;UMUARAMA;REGIÃO OESTE;38
2019-01-31;19308.0;UMUARAMA;REGIÃO OESTE;39
2019-02-28;22641.0;UMUARAMA;REGIÃO OESTE;40
2019-03-31;30890.0;UMUARAMA;REGIÃO OESTE;41
2019-04-30;29231.0;UMUARAMA;REGIÃO OESTE;42
2019-05-31;22524.0;UMUARAMA;REGIÃO OESTE;43
2019-06-30;14858.0;UMUARAMA;REGIÃO OESTE;44
2019-07-31;13298.0;UMUARAMA;REGIÃO OESTE;45
2019-08-31;16007.0;UMUARAMA;REGIÃO OESTE;46
2019-09-30;20829.0;UMUARAMA;REGIÃO OESTE;47
2019-10-31;27646.0;UMUARAMA;REGIÃO OESTE;48
2019-11-30;30450.0;UMUARAMA;REGIÃO OESTE;49
2019-12-31;20667.0;UMUARAMA;REGIÃO OESTE;50
2020-01-31;16474.0;UMUARAMA;REGIÃO OESTE;51
2020-02-29;24256.0;UMUARAMA;REGIÃO OESTE;52
2020-03-31;21069.0;UMUARAMA;REGIÃO OESTE;53
2020-04-30;10983.0;UMUARAMA;REGIÃO OESTE;54
2020-05-31;8664.0;UMUARAMA;REGIÃO OESTE;55
2020-06-30;7857.0;UMUARAMA;REGIÃO OESTE;56
2020-07-31;8198.0;UMUARAMA;REGIÃO OESTE;57
2020-08-31;8114.0;UMUARAMA;REGIÃO OESTE;58
2020-09-30;9737.0;UMUARAMA;REGIÃO OESTE;59
2020-10-31;10936.0;UMUARAMA;REGIÃO OESTE;60
2020-11-30;9275.0;UMUARAMA;REGIÃO OESTE;61
2020-12-31;10628.0;UMUARAMA;REGIÃO OESTE;62
2021-01-31;10803.0;UMUARAMA;REGIÃO OESTE;63
2021-02-28;9335.0;UMUARAMA;REGIÃO OESTE;64
2021-03-31;9852.0;UMUARAMA;REGIÃO OESTE;65
2021-04-30;9855.0;UMUARAMA;REGIÃO OESTE;66
2021-05-31;10400.0;UMUARAMA;REGIÃO OESTE;67
2021-06-30;9307.0;UMUARAMA;REGIÃO OESTE;68
2021-07-31;9296.0;UMUARAMA;REGIÃO OESTE;69
2021-08-31;10185.0;UMUARAMA;REGIÃO OESTE;70
2021-09-30;11859.0;UMUARAMA;REGIÃO OESTE;71
2021-10-31;11531.0;UMUARAMA;REGIÃO OESTE;72
2021-11-30;22298.0;UMUARAMA;REGIÃO OESTE;73
