;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;2;34;259;sigmoid;False;0.8634545432406036
1;2;34;259;sigmoid;False;0.8634545432406036
2;2;34;259;sigmoid;False;0.8634545432406036
3;249;82;2;sigmoid;True;0.5061363467244779
4;249;82;2;sigmoid;True;0.5061363467244779
5;249;82;2;sigmoid;True;0.5061363467244779
6;85;82;2;sigmoid;True;0.47382980991546975
7;85;82;2;sigmoid;True;0.47382980991546975
8;85;10;2;sigmoid;False;0.4340151364292472
9;85;10;2;sigmoid;False;0.4340151364292472
10;85;10;2;sigmoid;False;0.4340151364292472
11;85;10;2;sigmoid;False;0.4340151364292472
12;85;10;2;sigmoid;False;0.4340151364292472
13;85;10;2;sigmoid;False;0.4340151364292472
14;85;10;2;sigmoid;False;0.4340151364292472
