;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness;Base Seed
0;173,0;294,0;12,0;5,0;0,323423061970474;10000,0
1;173,0;294,0;12,0;5,0;0,323423061970474;10000,0
2;173,0;294,0;12,0;5,0;0,323423061970474;10000,0
3;173,0;294,0;12,0;5,0;0,323423061970474;10000,0
4;173,0;294,0;12,0;5,0;0,323423061970474;10000,0
5;231,0;49,0;10,0;5,0;0,3140899599890802;10000,0
6;231,0;49,0;10,0;5,0;0,3140899599890802;10000,0
7;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
8;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
9;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
10;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
11;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
12;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
13;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
14;162,0;49,0;10,0;5,0;0,3124498124636156;10000,0
