;Reservoirs;Sparsity;Spectral Radius;Noise;Fitness
0;180.0;0.0;2.0;0.0;0.33717467354564307
1;180.0;0.0;2.0;0.0;0.33717467354564307
2;242.0;0.0;1.0;1.0;0.3144580438765474
3;242.0;0.0;1.0;1.0;0.3144580438765474
4;215.0;0.0;1.0;1.0;0.30818189785646466
5;108.0;0.0;1.0;1.0;0.28009868900026863
6;108.0;0.0;1.0;1.0;0.28009868900026863
7;108.0;0.0;1.0;1.0;0.28009868900026863
8;108.0;0.0;1.0;1.0;0.28009868900026863
9;108.0;0.0;1.0;1.0;0.28009868900026863
10;108.0;0.0;1.0;1.0;0.28009868900026863
11;108.0;0.0;1.0;1.0;0.28009868900026863
12;108.0;0.0;1.0;1.0;0.28009868900026863
13;108.0;0.0;1.0;1.0;0.28009868900026863
14;108.0;0.0;1.0;1.0;0.28009868900026863
15;108.0;0.0;1.0;1.0;0.28009868900026863
16;108.0;0.0;1.0;1.0;0.28009868900026863
17;108.0;0.0;1.0;1.0;0.28009868900026863
18;108.0;0.0;1.0;1.0;0.28009868900026863
19;108.0;0.0;1.0;1.0;0.28009868900026863
