;Units;Epochs;Batch Size;Activation;Bias;Fitness
0;252;14;244;linear;True;0.2769295468408405
1;252;14;244;linear;True;0.2769295468408405
2;252;14;244;linear;True;0.2769295468408405
3;252;14;244;linear;True;0.2769295468408405
4;252;14;244;linear;True;0.2769295468408405
5;252;14;244;linear;True;0.2769295468408405
6;226;25;247;linear;True;0.2579079861561543
7;226;25;247;linear;True;0.2579079861561543
8;226;25;247;linear;True;0.2579079861561543
9;226;25;247;linear;True;0.2579079861561543
10;226;25;247;linear;True;0.2579079861561543
11;226;25;247;linear;True;0.2579079861561543
12;226;25;247;linear;True;0.2579079861561543
13;247;26;245;linear;True;0.2566275702536846
14;247;26;245;linear;True;0.2566275702536846
15;247;26;245;linear;True;0.2566275702536846
16;247;26;245;linear;True;0.2566275702536846
17;247;26;245;linear;True;0.2566275702536846
