;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;292,0;224,0;24,0;11,0;0,33091241688523004
1;197,0;137,0;9,0;12,0;0,3248821573618836
2;190,0;195,0;18,0;11,0;0,3233792989257669
3;190,0;195,0;18,0;11,0;0,3233792989257669
4;190,0;195,0;18,0;11,0;0,3233792989257669
5;227,0;171,0;18,0;11,0;0,32209833084987544
6;227,0;171,0;18,0;11,0;0,32209833084987544
7;227,0;171,0;18,0;11,0;0,32209833084987544
8;227,0;171,0;18,0;11,0;0,32209833084987544
9;222,0;172,0;18,0;11,0;0,3220063838511611
10;223,0;180,0;18,0;11,0;0,3220014211278056
11;223,0;180,0;18,0;11,0;0,3220014211278056
12;223,0;180,0;18,0;11,0;0,3220014211278056
13;223,0;180,0;18,0;11,0;0,3220014211278056
14;223,0;180,0;18,0;11,0;0,3220014211278056
