;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness;Base Seed
0;252;39;dart;6.0;70.0;0.20907131270690868;10000
1;86;79;dart;10.0;37.0;0.20840868055761042;10000
2;86;79;dart;10.0;37.0;0.20840868055761042;10000
3;86;79;dart;10.0;37.0;0.20840868055761042;10000
4;86;79;dart;10.0;37.0;0.20840868055761042;10000
5;92;71;dart;7.0;38.0;0.19891177925373635;10000
6;92;71;dart;7.0;38.0;0.19891177925373635;10000
7;92;71;dart;7.0;38.0;0.19891177925373635;10000
8;92;71;dart;7.0;38.0;0.19891177925373635;10000
9;92;71;dart;7.0;38.0;0.19891177925373635;10000
10;92;71;dart;7.0;38.0;0.19891177925373635;10000
11;91;71;dart;7.0;38.0;0.19890432121356164;10000
12;91;71;dart;7.0;38.0;0.19890432121356164;10000
13;91;71;dart;7.0;38.0;0.19890432121356164;10000
14;91;71;dart;7.0;38.0;0.19890432121356164;10000
15;91;71;dart;7.0;38.0;0.19890432121356164;10000
16;91;71;dart;7.0;38.0;0.19890432121356164;10000
17;91;71;dart;7.0;38.0;0.19890432121356164;10000
18;143;64;dart;7.0;38.0;0.19888165297171662;10000
19;111;70;dart;7.0;38.0;0.19887685979554884;10000
