CAMPUS;TIPO_TREINAMENTO;WEIGHT_G
ASSIS CHATEAUBRIAND;local;-0.9971492541325988
ASTORGA;local;-0.993090052811514
BARRACÃO;local;-0.9740746487617249
CAMPO LARGO;local;-1.0074555506295941
CAPANEMA;local;-1.009111812729744
CASCAVEL;local;-0.9858497196794062
CORONEL VIVIDA;local;-0.9914391699961298
CURITIBA;local;-1.012235502421377
FOZ DO IGUAÇU;local;-1.0133415768849396
GOIOERÊ;local;-0.9700209104362831
IRATI;local;-0.9822727167674177
IVAIPORÃ;local;-0.9874139858696701
JACAREZINHO;local;-0.9686049014246563
JAGUARIAÍVA;local;-0.9886348922043304
LONDRINA - CENTRO;local;-0.9915451133165916
PALMAS;local;-1.0054156390430988
PARANAGUÁ;local;-0.9821023232980266
PARANAVAÍ;local;-0.9597573209061541
PINHAIS;local;-1.0103198718352089
PITANGA;local;-0.9965007438428741
QUEDAS DO IGUAÇU;local;-0.9881043409922361
TELÊMACO BORBA;local;-0.9864517659339931
UMUARAMA;local;-0.9727941302229187
UNIÃO DA VITÓRIA;local;-0.9910762249938201
ASSIS CHATEAUBRIAND;global;-0.986414325178494
ASTORGA;global;-0.9509802825920574
BARRACÃO;global;-0.8591659027522965
CAMPO LARGO;global;-1.1869519241585085
CAPANEMA;global;-1.0163950233267873
CASCAVEL;global;-0.9701191645782152
CORONEL VIVIDA;global;-1.0248058219521305
CURITIBA;global;-1.1229686480518124
FOZ DO IGUAÇU;global;-1.2267661580170266
GOIOERÊ;global;-0.9021368707336757
IRATI;global;-0.8566826990611256
IVAIPORÃ;global;-0.8919207004278735
JACAREZINHO;global;-1.0072535907817204
JAGUARIAÍVA;global;-0.8999204401561822
LONDRINA - CENTRO;global;-1.0193169122465877
PALMAS;global;-1.1367128141865006
PARANAGUÁ;global;-0.900345792402479
PARANAVAÍ;global;-1.184323826618805
PINHAIS;global;-1.0671742123910337
PITANGA;global;-0.882800079086484
QUEDAS DO IGUAÇU;global;-1.1682485993959553
TELÊMACO BORBA;global;-0.9930040931284075
UMUARAMA;global;-0.8986055452713093
UNIÃO DA VITÓRIA;global;-0.8904527468728763
