FEATURE;ASSIS CHATEAUBRIAND;BARRACÃO;CAMPO LARGO;FOZ DO IGUAÇU;IRATI;IVAIPORÃ;PARANAGUÁ;PARANAVAÍ;MÉDIA;TODOS;MÉDIA FINAL
LAG_01;0.091386779239397;0.089581099414636;0.214134648603313;0.023493659771637;0.087407678318775;0.10647299105701;0.115497998088598;0.084035347447754;0.10150127524264;0.137971813682931;0.11973654446278549
COVID;0.022841525764822;0.008456686600941;0.003821796148639;0.088604684142025;0.029223361771017;0.014762415538555;0.019486261760564;0.011583132097202;0.024847482977970625;0.032463126228522;0.028655304603246314
LAG_12;0.033025412956475;0.005673653377514;0.023925029387559;0.039413738642961;0.003197744965449;0.005786881138818;0.009276319558516;0.028750321324103;0.018631137668924377;0.017849060750434;0.018240099209679186
ORDEM;0.043129792451202;0.011287404830833;0.004598787642713;0.004126975225005;0.018250768355012;0.020448277658806;0.003922813486514;0.010005588177396;0.014471300978435124;0.004083017191222;0.009277159084828561
FÉRIAS;0.00341976820469;0.006775959289009;0.064756548215116;7.918624676e-05;0.001076900734539;0.008981717256088;0.001612609261201;0.002031863478321;0.011091819085715502;0.018082147516198;0.01458698330095675
TEMP_MIN_ACC_MENS;0.010652347651283;0.004118556647254;0.001591817988231;0.00796322918833;0.002134353554109;0.002221742769952;0.011302831674286;0.021583246184053;0.00769601570718725;0.001569348755714;0.004632682231450625
TEMP_MÉD_ACC_MENS;0.013762912535463;0.002671211956994;0.001521589047118;0.005499796573995;0.007613890614853;0.001873678081808;0.006466111273031;0.010045981397845;0.006181896435138375;0.002248954643097;0.004215425539117688
LAG_06;0.003196187747508;0.002764820674399;0.005356474246824;0.002008859579872;0.002384049023983;0.008642457290462;0.002365722692895;0.019020570487303;0.00571739271790575;0.002391337075912;0.004054364896908875
TEMP_MAX_ACC_MENS;0.004582479121795;0.002777857721233;0.008239831596691;0.015278043222767;0.00453932062252;0.002427234813135;0.003184210820837;0.004666465810041;0.005711930466127375;0.002208755385205;0.003960342925666187
LAG_02;0.003386065558223;0.00395764479408;0.003433705236671;0.005804638255259;0.003606625949603;0.00258482703971;0.004025730040406;0.013558146795352;0.005044672958663;0.003746519213289;0.004395596085976
LAG_03;0.00113151422826;0.00664511343247;0.002996862282572;0.001584344882659;0.003508282503887;0.00718352973891;0.001820453920372;0.011479198815406;0.004543662475566999;0.004138334717483;0.004340998596525
LAG_05;0.007011027972986;0.002406275628523;0.004283712075626;0.000633397185104;0.004440897279226;0.007281417596445;0.003359925466696;0.00531860620936;0.004341907426745751;0.008716688499386;0.006529297963065875
TEMP_MIN_MAX_MENS;0.000533392206357;0.004981626552572;0.002586212952627;0.002255400126813;0.000815989309479;0.000909815395736;0.020233502444175;0.001750411249639;0.00425829377967475;0.000909836146885;0.0025840649632798748
LAG_11;0.006761519832803;0.007505235398437;0.007999509398606;0.00106745009316;0.001917389150025;0.002292829109037;0.001342836552012;0.003291249831012;0.004022252420636501;0.014300892032695;0.00916157222666575
LAG_08;0.001288268891803;0.00708352955187;0.004071580343384;0.00538641426324;0.002989688092481;0.00171987733633;0.004986615690107;0.002515294492225;0.0037551585826799995;0.002081985917153;0.0029185722499164997
LAG_09;0.000790399221676;0.00267298464626;0.001518340229494;0.001454322470402;0.001612753674396;0.002510610591881;0.003222643257135;0.012583584795195;0.0032957048608048753;0.001404987614601;0.0023503462377029377
MÊS_mar;0.000754588724696;0.000385351880662;0.000150508382548;0.002176673536476;0.003024339777535;0.004004576297132;0.008199587429514;0.006020979394372;0.003089575677866875;0.011828047830946;0.007458811754406438
LAG_04;0.001821780133005;0.00202859892271;0.001793340868799;0.003412729711422;0.001286589069997;0.008881654181697;0.001866379024969;0.002111983824973;0.0029003819671965;0.002251275948698;0.00257582895794725
LAG_10;0.000954991827882;0.001763309444071;0.001159509552594;0.004863225873729;0.001128644735522;0.001065816713521;0.002709113953031;0.004284586669578;0.002241149846241;0.002320233722199;0.00228069178422
TEMP_MÉD_MIN_MENS;0.002191009158566;0.003410929043639;0.00169246950559;0.001129479360289;0.000765039330144;0.001499711879207;0.001240621649489;0.00540641709516;0.0021669596277605;0.000893256959429;0.00153010829359475
LAG_07;0.001236524302705;0.002378417502796;0.001047782667862;0.00107769180451;0.002632976173874;0.001656907343169;0.003369446462024;0.0024684890107;0.001983529408455;0.002508599405513;0.002246064406984
PRECIPITAÇÃO_MAX_MENS;0.001103808864636;0.001959468534073;0.004430210002875;0.00148253596596;0.000578605443366;0.003287317823058;0.001649802831285;0.000937416218752;0.001928645710500625;0.001132025999881;0.0015303358551908126
TEMP_MÉD_MÉD_MENS;0.004049066675722;0.000836053029044;0.001033299635351;0.002568772025109;0.000402522364692;0.00050310612623;0.003270554486289;0.001769780260896;0.0018041443254166248;0.001010429573739;0.0014072869495778124
PRECIPITAÇÃO_ACC_MENS;0.001847950395064;0.002097818959009;0.00164737117155;0.00135848674402;0.001599105871961;0.00277223287131;0.000952280632336;0.002040467141966;0.001789464223402;0.001416398677798;0.0016029314506
TEMP_MIN_MIN_MENS;0.001659769478361;0.000845678143117;0.001583535206112;0.002766688002227;0.000639852506772;0.000854798532795;0.001739296712692;0.001636006595166;0.00146570314715525;0.000698296971584;0.0010820000593696252
TEMP_MIN_MÉD_MENS;0.001225669924858;0.000988747234989;0.001172064161262;0.003314605341855;0.000858905697219;0.001099468938889;0.001232528954778;0.000655007433571;0.001318374710927625;0.00052614045957;0.0009222575852488124
TEMP_MÉD_MAX_MENS;0.000519411149949;0.002747937894395;0.00124669788339;0.001457963502889;0.000519897497374;0.000974918528704;0.001647466421077;0.000384796298227;0.001187386147000625;0.001193267147776;0.0011903266473883125
CURSOS_TEC_INTEGRADO;0.000541806304228;0.000240376617994;0.00719223650708;0.000330220481058;0.0;0.0;5.0734313272e-05;0.000333901427848;0.001086159456435;0.001096048864902;0.0010911041606685
MÊS_fev;5.0021028374e-05;0.000764185101203;0.001315020492316;0.00012957382116;0.000130327941465;0.000493488432984;0.005550034812741;0.000144595141712;0.001072155846494375;0.001001848794664;0.0010370023205791875
DIA_DA_SEMANA_sex;0.000384386507799;0.000605681336435;0.00131277405164;0.0036811160418;0.000133424309005;0.000359564989734;0.000492890876553;0.000914341042886;0.0009855223944815;0.000533560793971;0.00075954159422625
FERIADO;0.000435400989178;0.000498006653747;0.000585957558215;0.001009498693976;0.001521600816291;0.000953251966127;0.001356057952207;0.001152363797607;0.0009390173034185001;0.001642762014905;0.00129088965916175
ANO_2023;0.000114095853277;0.001551961581122;0.000255575342971;0.000437888927045;0.004142371927541;0.000231107331184;0.000131319070376;0.000578340717264;0.0009303325938475;0.00069592970056;0.00081313114720375
MÊS_jan;0.000957589570114;0.001065044499621;0.000376273727887;0.000281641780656;0.000540731901694;0.000889871714017;0.000663054563564;0.001827781203327;0.0008252486201099999;0.000507643883669;0.0006664462518894999
TEMP_MAX_MAX_MENS;0.000825425143942;0.000847267199154;0.000659088826815;0.001606763420831;0.001067807928254;0.000280214105754;0.000508142771637;0.000659512935561;0.0008067777914935;0.001022226294294;0.00091450204289375
PRECIPITAÇÃO_MÉD_MENS;0.000723714147364;0.001429737824058;0.000397529423427;0.00046508754085;0.000337046445758;0.001577001903083;0.001010040574832;0.000505580633325;0.0008057173115871251;0.000461287976125;0.0006335026438560625
ANO_2019;0.003134162022203;4.7710086369e-05;0.000191568082299;0.000808754528189;0.001150228204553;0.00050321122579;4.7918091032e-05;0.000103560707141;0.0007483891184470001;0.000121493649126;0.0004349413837865
DIA_DA_SEMANA_dom;0.000835967777463;0.000308951799413;0.000744272711258;0.000394766538922;0.000306198340447;0.00135670136605;0.000575035697037;0.001166929218459;0.000711102931131125;0.004594113175493;0.0026526080533120625
DIA_DA_SEMANA_sáb;0.000396643675222;0.000725299656673;0.001280617397399;0.00058381116505;0.000223887998064;0.0013132515911;0.000531869434538;0.000261547295283;0.000664616026666125;0.000644213123507;0.0006544145750865624
TEMP_MAX_MÉD_MENS;0.000868788390424;0.000769285345299;0.000654433573659;0.000748219530156;0.000710582961807;0.00019188363335;0.000433267836153;0.000889756653456;0.000658277240538;0.00085909999627;0.000758688618404
TEMP_MAX_MIN_MENS;0.000943224680898;0.000693182737045;0.000425597303447;0.00109549466923;0.000431777699037;0.000558775011292;0.000310147257993;0.000490609297177;0.0006186010820148751;0.000923516145216;0.0007710586136154376
ANO_2020;0.000287466947116;0.00019223789193;0.001847418688727;9.4805931325e-05;2.8800552562e-05;0.000417872730851;0.000593875519778;0.001186472311519;0.000581118821726;0.001077068284938;0.000829093553332
CURSOS_GRAD_NOTURNO;0.002782517624188;0.0;0.001275051171015;7.8714238054e-05;7.1657111674e-05;0.000158298957086;0.000118283270134;0.0;0.000560565296518875;0.001511388472634;0.0010359768845764376
DIA_DA_SEMANA_seg;0.000313753490535;0.000316675771611;0.000662988833738;0.000872276925144;0.000234539983508;0.000551187063417;0.000400799566163;0.000452844534358;0.00047563327105925007;0.00088171886875;0.0006786760699046251
DIA_DA_SEMANA_qui;0.000632716129418;0.000228232312163;0.001346684873281;0.000419484406213;0.000178096945178;0.000305868538863;0.000297980076595;9.8454068383e-05;0.0004384396687617501;0.000671836710769;0.000555138189765375
DIA_DA_SEMANA_qua;7.2610766291e-05;0.001156879639097;0.000302074503951;0.000495786399311;0.000490292799792;0.000516104435745;0.00021801283382;0.000170466695034;0.00042777850913012496;0.000850768873721;0.0006392736914255625
DIA_DA_SEMANA_ter;0.000455972918164;0.000507944324033;0.000185735135449;0.001117477392775;0.000183777875961;0.000455554923152;0.000186632959385;0.000259717092334;0.000419101577656625;0.000680702380554;0.0005499019791053126
ANO_2022;0.000467404528468;4.9082083423e-05;5.8109654441e-05;0.000935682164297;0.000161454952832;0.000227754801359;0.000148380787313;0.00112108481503;0.000396119223395375;0.000257727363311;0.0003269232933531875
ANO_2021;8.1646604702e-05;0.002060757529013;0.000205102647885;8.2119972053e-05;0.000342289495667;2.1988436603e-05;0.000135468641136;0.00015185721127;0.000385153817291125;0.000156138821001;0.0002706463191460625
CURSOS_GRAD_MATUTINO;0.0;0.0;8.2018799986e-05;0.00017253856163;0.002309559690805;0.000312663016957;0.0;0.000114148403047;0.000373866059053125;0.000449855954824;0.0004118610069385625
ANO_2017;4.4161058283e-05;0.000488577269098;7.8888640458e-05;4.1123622423e-05;0.000381956507265;0.001143569404029;0.000541472309705;0.00011716785926;0.00035461458381512504;8.2144395868e-05;0.00021837948984156254
MÊS_dez;5.5608304356e-05;0.000334010445723;0.000796915650244;5.343725311e-05;0.000419486774491;0.001056756971806;3.7535225084e-05;3.7880688147e-05;0.000348953914120125;0.001284620243055;0.0008167870785875625
MÊS_ago;0.000418401010896;0.0005582682858;0.000705060155336;4.5345178657e-05;3.3881698343e-05;0.000255020212356;0.000144107743768;0.000151942192319;0.000289003309684375;0.000906939908884;0.0005979716092841875
CURSOS_GRAD_VESPERTINO;0.0;0.0;0.00010849393142;9.9036776853e-05;0.001110090334881;0.00019192104901;0.0;0.000626302138307;0.000266980528808875;0.000453358284398;0.00036016940660343747
CURSOS_TEC_SUBSEQUENTE;0.000123201485836;0.0;0.000344244435273;0.000252552635132;0.00111811745882;0.000119464117735;4.5633830487e-05;3.3257376274e-05;0.000254558917444625;0.001410568434174;0.0008325636758093125
MÊS_out;0.000224362241749;0.001432864190461;6.5963819944e-05;2.7452275699e-05;9.8168451493e-05;2.3017602475e-05;6.3369372911e-05;8.0596191642e-05;0.00025197426829674997;0.000681267329443;0.00046662079886987493
ANO_2018;6.1373486268e-05;0.000240546695498;0.000338896857914;0.000195925130792;0.000103058620837;0.000507035911;8.849038599e-05;0.000237568421575;0.00022161193873425;9.9023843878e-05;0.000160317891306125
ANO_2016;0.000164723728025;8.0429820635e-05;0.000598058868475;0.000126000758469;4.9632040796e-05;0.000224119075296;0.000446718575663;3.9878459469e-05;0.0002161951658535;4.8938345371e-05;0.00013256675561225
MÊS_jul;6.7274232899e-05;8.1864591679e-05;0.000224720625773;0.000223552453557;0.000319642493139;0.000282659305035;0.000440954071553;1.5188280107e-05;0.00020698200671775;7.7476997691e-05;0.000142229502204375
CURSOS_POS;4.628042022e-05;0.0;0.000183376256281;4.5209778128e-05;0.0;0.0;0.001116640782538;0.000234141804629;0.00020320613022449999;0.000561112214453;0.00038215917233874996
MÊS_abr;0.000301857429023;0.000216999587204;2.6452351995e-05;4.6488713564e-05;0.000191925840947;0.000280709773501;0.000145448896477;0.000281948494068;0.00018647888584737499;0.002034707211186;0.0011105930485166874
MÊS_set;5.8776492929e-05;3.3359915221e-05;0.000121975896379;0.00034167540568;3.9902263378e-05;0.000129471167913;0.000400380515693;3.5331677817e-05;0.00014510916687625;0.000157497748379;0.00015130345762762502
MÊS_jun;7.2554817259e-05;0.000728796531081;3.0300815811e-05;5.8487023246e-05;2.8098549621e-05;7.9539571058e-05;3.2919997926e-05;9.205858738e-05;0.00014034448667275002;0.00021881047365;0.000179577480161375
MÊS_mai;0.000144737122376;8.7764675331e-05;0.000112979317691;0.000368119110405;0.00012684734955;0.000161685927582;6.7738005016e-05;2.6532459617e-05;0.00013705049594599998;0.000124155723246;0.000130603109596
MÊS_nov;0.000173476517141;3.1367383654e-05;7.6910082361e-05;0.000253019723751;4.3520912082e-05;0.000170041844963;8.5490079156e-05;2.7615039728e-05;0.00010768019785450001;0.000637376232143;0.00037252821499875
CURSOS_TEC_CONCOMITANTE;0.0;0.0;0.0;0.0;0.0;0.000449550620712;0.0;0.0;5.6193827589e-05;3.2582079893e-05;4.4387953741e-05
ANO_2015;0.0;0.0;0.0;0.0;0.0;0.0;2.5972096765e-05;0.000355703997243;4.7709511751e-05;6.803308151e-06;2.7256409951e-05
GREVE;0.0;0.0;0.0;0.0;0.0;0.0;0.000104138525806;0.0;1.301731572575e-05;0.003959663931061;0.001986340623393375
PRECIPITAÇÃO_MIN_MENS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.809095142e-06;2.904547571e-06
CAMPUS_PALMAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000253022094166;0.000126511047083
CAMPUS_JACAREZINHO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7130250088e-05;3.8565125044e-05
CAMPUS_LONDRINA - NORTE;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAMPUS_LONDRINA - CENTRO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.9400219131e-05;2.97001095655e-05
CAMPUS_JAGUARIAÍVA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000110295328593;5.51476642965e-05
CAMPUS_FOZ DO IGUAÇU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.7200081285e-05;4.36000406425e-05
CAMPUS_CURITIBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1883655327e-05;1.59418276635e-05
CAMPUS_CORONEL VIVIDA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000379371997137;0.0001896859985685
CAMPUS_COLOMBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
CAMPUS_CASCAVEL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000144496759018;7.2248379509e-05
CAMPUS_CAPANEMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.3344204047e-05;3.16721020235e-05
CAMPUS_CAMPO LARGO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001023143213556;0.000511571606778
CAMPUS_BARRACÃO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00082618475266;0.00041309237633
CAMPUS_ASTORGA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0978713045e-05;1.54893565225e-05
CAMPUS_ASSIS CHATEAUBRIAND;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.3331021713e-05;3.66655108565e-05
CAMPUS_ARAPONGAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANO_2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ANO_2024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000510674392722;0.000255337196361
CAMPUS_IVAIPORÃ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.3530807587e-05;4.67654037935e-05
CAMPUS_IRATI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.4933939472e-05;3.7466969736e-05
CAMPUS_GOIOERÊ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.6044198632e-05;2.8022099316e-05
CAMPUS_PARANAGUÁ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.8492443119e-05;3.92462215595e-05
CAMPUS_PARANAVAÍ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.7317930177e-05;3.86589650885e-05
CAMPUS_PINHAIS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000327317451333;0.0001636587256665
CAMPUS_PITANGA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.594956828e-05;4.797478414e-05
CAMPUS_QUEDAS DO IGUAÇU;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000168480425314;8.4240212657e-05
CAMPUS_TELÊMACO BORBA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.000125733927115;6.28669635575e-05
CAMPUS_UMUARAMA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.7613857876e-05;4.8806928938e-05
CAMPUS_UNIÃO DA VITÓRIA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.8532351587e-05;3.42661757935e-05
