FEATURE;ASSIS CHATEAUBRIAND;ASTORGA;BARRACÃO;CAMPO LARGO;CAPANEMA;CASCAVEL;CORONEL VIVIDA;CURITIBA;FOZ DO IGUAÇU;GOIOERÊ;IRATI;IVAIPORÃ;JACAREZINHO;JAGUARIAÍVA;LONDRINA - CENTRO;PALMAS;PARANAGUÁ;PARANAVAÍ;PINHAIS;PITANGA;QUEDAS DO IGUAÇU;TELÊMACO BORBA;UMUARAMA;UNIÃO DA VITÓRIA;MÉDIA;TODOS;MÉDIA FINAL
LAG_01;0.110516986218741;0.12018704219161;0.074060643691754;0.185319984849081;0.057223475817732;0.066427728139016;0.105635445187894;0.021972688630085;0.056318054371024;0.147057073080245;0.086026515242764;0.10766481305233;0.155520872587606;0.13489882322355;0.146070729046682;0.102358950852709;0.114564880044603;0.103571757279171;0.148728399968592;0.057038600940052;0.049102866707133;0.081451017904128;0.09608890807868;0.026636348071195;0.09810177521568238;0.137471966594917;0.11778687090529968
COVID;0.032421595950243;0.039166581884037;0.004475624896033;0.010822567873427;0.113508038063406;0.096974970919777;0.030055801723068;0.000959063680025;0.056953914759805;0.025730008566164;0.022109942558847;0.01389844499208;0.016322274408523;0.003230547883897;0.00379918053303;0.007668045873982;0.016281483947261;0.011031023353668;0.011794411194194;0.12283007847516;0.084071952013027;0.100549679629373;0.044092591858341;0.04577069957315;0.03810493852543825;0.033890362088528;0.035997650306983126
ORDEM;0.010104830552291;0.01778688119108;0.081455502050477;0.006721868045939;0.004482165529125;0.00747557644952;0.008900088097937;0.065700663308187;0.012431471903231;0.015116268646702;0.043656395844484;0.007906633724218;0.013033675772815;0.044014542673275;0.059519222319184;0.019578748132746;0.008513593413688;0.005452521949186;0.004155951786142;0.003553123215937;0.004125822417418;0.008858768328075;0.013789015303202;0.176452851523276;0.02678275759075562;0.003932032119316;0.01535739485503581
LAG_12;0.034887870082377;0.043385930607309;0.003611071379894;0.027193796458939;0.009840479656679;0.04067976501932;0.004366696100614;0.013399577067091;0.018468877585776;0.013989415174003;0.006090055362376;0.012608532477296;0.019990440725227;0.00442036248122;0.010244976952322;0.012720987892588;0.011956591614269;0.022908539147381;0.012702209875359;0.020784968119502;0.003139654854568;0.010696152055617;0.030186504779966;0.01880373424962;0.016961549571638045;0.018831100855252;0.017896325213445023
LAG_06;0.010105638634784;0.002425411256281;0.002559531351007;0.002572748044239;0.002435516157439;0.007314292616194;0.003482892137814;0.003415911835897;0.003578168677097;0.003996204865706;0.010167078371082;0.011676794588555;0.003542210790981;0.007460648976112;0.004568436734753;0.003555360490724;0.002128805294401;0.018275491209594;0.003390860585672;0.011763614887548;0.01079782541051;0.019528145959124;0.010551359338283;0.013577356483295;0.007202929362378835;0.002216463183699;0.004709696273038917
TEMP_MAX_ACC_MENS;0.005438642928077;0.001138414780439;0.003546799737077;0.005754276927172;0.014683070352951;0.001403108490699;0.003711311659743;0.002808340467757;0.021334157137636;0.008280680025653;0.003303229786187;0.003687694139726;0.016028192936679;0.001579036279522;0.003667350002431;0.007008513019154;0.001484313826082;0.007418124182609;0.003317085876993;0.00258834050961;0.001270618120187;0.003271191391837;0.025394227175884;0.002524931810678;0.006276735481865958;0.002251737912175;0.004264236697020479
LAG_11;0.009974151070102;0.005890925608729;0.005094974756444;0.006803869285954;0.001047805124561;0.00519552096207;0.008449056332758;0.007943905326284;0.001709791420739;0.010157315303644;0.004064539788722;0.00335600320387;0.002513608260771;0.004782452952965;0.002370193962451;0.001940326895006;0.002245066648186;0.006515871445873;0.003124177915606;0.003437531551477;0.006806592098664;0.025767555404062;0.004072138792558;0.006678510395934;0.00583091185447625;0.013783358865821;0.009807135360148626
TEMP_MIN_ACC_MENS;0.009637106686113;0.001551265975799;0.005903902741307;0.002672217676315;0.002030523307069;0.004026080796493;0.00241526140413;0.00175440247101;0.004915380152805;0.00645866506365;0.002010415658018;0.00198723480289;0.002288550799841;0.001359709205761;0.00605597223991;0.009451315707962;0.039830581766804;0.013625111552595;0.001529956501195;0.004733701478472;0.001133515946124;0.001556860512486;0.005693720129903;0.002501584844418;0.005630126559211249;0.002072456356561;0.0038512914578861246
FÉRIAS;0.002621666162764;0.000838420158312;0.003311477625031;0.06163467083652;0.001864954727404;0.008375475644434;0.002534832280807;0.002293719137722;6.721506653e-05;0.005077723437212;0.001416182730438;0.009697191377028;0.001347405295075;0.002546175182243;5.1446977454e-05;0.001110505035131;0.00153904523559;0.002415520090091;0.000879879779064;0.014268048681739;0.000575186598677;0.007819298009121;0.001852477950022;0.000419981479632;0.005606604145751708;0.017585977723471;0.011596290934611354
LAG_05;0.011751210509337;0.002320947483453;0.003616846124444;0.005705023631555;0.001475876333484;0.003903942773085;0.008800906299664;0.013640483564927;0.000931395629731;0.011935047399138;0.009603325434639;0.009959788122284;0.001198419313216;0.005312616279823;0.003691749813392;0.001077489347187;0.002621285198556;0.003722580572749;0.008665748069104;0.001818624772693;0.003058959898423;0.010851467500998;0.002132434933971;0.002639401598711;0.005434815441856835;0.009309668111823;0.007372241776839918
LAG_08;0.001625191802509;0.001170764276008;0.009841011857334;0.003541445619244;0.002499352378366;0.001495315193241;0.001980219399572;0.005833822453355;0.006928809630986;0.001461407632098;0.002921264143774;0.001533913529685;0.00301244428026;0.003242786943012;0.001112714624775;0.001473020343035;0.007299976519814;0.002352054281227;0.004310106573403;0.003496673100965;0.047718125506045;0.001989635143013;0.00325164217953;0.001553898122576;0.005068566480576125;0.002587503768095;0.0038280351243355623
LAG_02;0.004217753853421;0.006913937787292;0.004424550517849;0.005679283632754;0.004056190281964;0.00426568738892;0.005333044500754;0.002197567309171;0.008552202319021;0.005763873984197;0.00321281510357;0.002166660757245;0.002078034501564;0.00622588867936;0.004273118709343;0.001961879013287;0.004712830832325;0.017532383652352;0.004805118797908;0.007585890988029;0.001016095491317;0.005996417158668;0.00240018677661;0.004457486222573;0.004992870760812249;0.004101077502645;0.004546974131728625
LAG_03;0.001230546454401;0.003047241089802;0.007749777813807;0.00273803512774;0.001964567992464;0.002383885955536;0.002993256129572;0.002501745123236;0.007790360142641;0.011068313549608;0.002349672638973;0.009060953808748;0.001722677178467;0.001910754584304;0.003187258700156;0.006266978894912;0.001694494035728;0.005540405314671;0.001761694908317;0.010738897319709;0.005786782169459;0.003666532663971;0.004756493268909;0.003866401768488;0.004407405276400792;0.003739352787376;0.004073379031888396
TEMP_MÉD_ACC_MENS;0.021967844269904;0.000674294173628;0.003573004156961;0.001279494999468;0.002485543360844;0.001895276585384;0.002768722719284;0.001523722087871;0.005963530866243;0.005122064936065;0.007440048022203;0.001458443888859;0.002121100020808;0.001504977865653;0.003961518590112;0.003614012131284;0.001900582457187;0.00818585281054;0.002959977469338;0.002460506915337;0.000780078511083;0.001872824435203;0.012910238762252;0.002944605153116;0.004223677716192791;0.002584547482943;0.0034041125995678953
LAG_04;0.001523036856758;0.001984696242666;0.002366496064444;0.008318003647695;0.006850284424245;0.002949963644684;0.018344677021494;0.007532860007493;0.003120924500192;0.000918872195747;0.001868596151484;0.008064229752302;0.005239061123078;0.002744414420139;0.001917562544264;0.003682170305467;0.001360330758419;0.00259802199697;0.002687740151433;0.003813111625448;0.002079483474643;0.001341486229777;0.001858590912839;0.001217107415541;0.003932571727800917;0.002050663886831;0.0029916178073159582
LAG_09;0.003067009410718;0.002123690429455;0.00338294228621;0.001292456074987;0.001687555481612;0.0009744951101;0.004692367972539;0.004567188454386;0.003689082708989;0.002301497902813;0.002381626996699;0.001196551787895;0.001408981610339;0.001857402430518;0.001806398593733;0.002272293904934;0.002454411225186;0.007562186615209;0.005575987163881;0.001553849642926;0.003152688708807;0.00221855761948;0.004589660129138;0.001848626757744;0.0028190628757624164;0.001521292604148;0.002170177739955208
LAG_07;0.001571972999803;0.001635354967077;0.002160811722859;0.001709465561268;0.002897788181559;0.002766885651426;0.00418502827325;0.007278853760945;0.000980803004569;0.001663515806597;0.004066660237383;0.001520304086736;0.001149089913719;0.007180620014381;0.001837604674326;0.001377145336058;0.002642929923618;0.002725349693349;0.004955883925807;0.002389214247104;0.001452749514848;0.001357524806011;0.002938650255977;0.004502160772373;0.002789431972126791;0.002706311183268;0.002747871577697396
LAG_10;0.00157783159681;0.001204597894507;0.00198828443658;0.001050910317469;0.002711996528331;0.002683779431958;0.003505240039931;0.001618300732854;0.003155231498009;0.001332052250081;0.00351750747814;0.001678883207558;0.002145106132981;0.006025909465027;0.003970338951485;0.001106226120875;0.001291909124975;0.00413150376953;0.002182889796773;0.00162010725525;0.00329096063714;0.00232574848794;0.002901146627904;0.002563603431519;0.0024825027172344586;0.001812263360284;0.0021473830387592294
