FEATURE;ASSIS CHATEAUBRIAND;ASTORGA;BARRACÃO;CAMPO LARGO;CAPANEMA;CASCAVEL;CORONEL VIVIDA;CURITIBA;FOZ DO IGUAÇU;GOIOERÊ;IRATI;IVAIPORÃ;JACAREZINHO;JAGUARIAÍVA;LONDRINA - CENTRO;PALMAS;PARANAGUÁ;PARANAVAÍ;PINHAIS;PITANGA;QUEDAS DO IGUAÇU;TELÊMACO BORBA;UMUARAMA;UNIÃO DA VITÓRIA;_TODOS_;MÉDIA
LAG_01;0.117967456607522;0.106535465656349;0.074443642557472;0.19313650398982;0.055788038521942;0.075764633806995;0.103866055491529;0.0222403321397;0.061807199204102;0.136863706336978;0.091325541434241;0.114507985300792;0.163997708432703;0.127800745991207;0.146639867038242;0.099699377239762;0.121299661839704;0.104260248096676;0.15035467495611;0.062865958478097;0.056954122767794;0.080596063636037;0.105343609848828;0.033420606656241;0.137769240497548;0.10180993786105563
COVID;0.033382889234392;0.050028736448897;0.008773102977809;0.00553639063596;0.112540607142136;0.087609757869902;0.018539287665865;0.000656322347035;0.051517154000169;0.038224184604047;0.018492464987453;0.010412122528001;0.003416906899796;0.003183074234417;0.004017148959693;0.009006556569628;0.012416378885029;0.008509974829161;0.008303370292761;0.121097934521856;0.068331638456615;0.08699501665802;0.034797234046415;0.048442866875316;0.03385145227804;0.03512330295793651
ORDEM;0.004137788414557;0.011852977390971;0.078336233600613;0.005297158721376;0.005058024254874;0.00415502056925;0.016988513620116;0.073495791564054;0.00775810571323;0.014384035060147;0.040602133018635;0.006209180055028;0.012391690378845;0.042790284572533;0.059633264953808;0.01158929855701;0.008434930850502;0.003667373691148;0.003697877584124;0.004000211333841;0.003811484276885;0.010683368074057;0.010398175503694;0.161859439570938;0.004022451284267;0.02421019250458012
LAG_12;0.029500429801849;0.049581379299518;0.003433781015512;0.026622816388163;0.012036494643803;0.037261934762764;0.003691014167595;0.0121154798944;0.016589277436888;0.013985202242015;0.005259079593365;0.013891681944114;0.024126411066185;0.004338926850423;0.010672178176963;0.015495797865151;0.012376749585141;0.025832991989165;0.011414848285518;0.019828646505825;0.002522193898773;0.011095586891694;0.026982124752018;0.016313981474973;0.018118484197403;0.016923499709168715
TEMP_MAX_ACC_MENS;0.003685731485794;0.000807651408757;0.003850279683511;0.007577714525687;0.015897941861985;0.001649777232442;0.004662932180586;0.002208568393368;0.016416254154401;0.00648727762403;0.003993087987277;0.002370736105359;0.017185647800812;0.00318904171804;0.00589074921269;0.009231063671159;0.00216483092064;0.008707939394531;0.002425266853644;0.003319231622677;0.001618049581988;0.00381296385156;0.035166496457017;0.003110966026841;0.002327993519626;0.006710327730976881
LAG_11;0.010526510279468;0.004893138935483;0.00484313686178;0.007336398697961;0.001717062829582;0.004776878915702;0.007309758227071;0.00881328738159;0.001071177551931;0.010167162236018;0.004401869617562;0.00292611362904;0.002482652410355;0.004482626727553;0.005418732070764;0.002734663408561;0.002080297845734;0.004382533444962;0.004591251305878;0.002757564674484;0.009432748569163;0.027596789528396;0.002341307381465;0.006677511878438;0.014723389507964;0.006339382556676202
LAG_06;0.008772815089643;0.002521679487995;0.002531370739612;0.003103341012279;0.002484770121031;0.004003001175493;0.003202657534745;0.003384816014426;0.00335781594158;0.003222591666738;0.010708207264123;0.009328379055454;0.003147689968172;0.006978159492384;0.00401712435177;0.003136557474394;0.001879152405651;0.016473829668341;0.002631338157883;0.008809858381743;0.008370564525479;0.020096255416728;0.012069575305127;0.011665916485269;0.002224703741085;0.0063248868190858
FÉRIAS;0.002549298330761;0.001246774296056;0.00299829063279;0.057781605919881;0.002467228179493;0.011361368645244;0.003194707208302;0.004066734765141;0.000380968448427;0.004157584314609;0.000866576166822;0.00916909174978;0.001776726670645;0.001494905805848;2.4888984017e-05;0.00096101216207;0.001499163712417;0.004802790689364;0.000401026489844;0.01516254980568;0.000643966333757;0.005659367771729;0.002569692564462;0.000320272705921;0.018164702813337;0.006148851806655877
LAG_02;0.003975487484318;0.010328098614589;0.003465275626607;0.004005050832886;0.0016030679695;0.004663245962222;0.005054549258415;0.001360139158238;0.010437172807392;0.005297456212449;0.001955780302122;0.003705275016715;0.003775093355681;0.010157786498096;0.004577951299075;0.002056110223306;0.004507017193603;0.019598661773916;0.007810266633075;0.003750574422935;0.003590319268636;0.011655575877747;0.002688468002807;0.006359329885374;0.003890142770249;0.00561071585799812
LAG_05;0.012753614700957;0.002301394995518;0.004349938846084;0.008031581941889;0.001756945489859;0.00288575265294;0.012211922690348;0.008230366432992;0.00100836640993;0.008728769539595;0.008311698542785;0.011079430356028;0.001033382393612;0.006014004569871;0.003361769381868;0.001256813031275;0.002616308795853;0.005657461627048;0.008229125251057;0.002463452595545;0.003649347569716;0.00761595966313;0.00112389549705;0.005722576830356;0.008515249341086;0.0055563651658556805
