;Reservoirs;Sparsity;Spectral Radius;Fitness
0;328.0;0.2202;0.0505;-0.14166666666666666
1;202.0;0.0579;0.7348;-0.15833333333333335
2;202.0;0.0579;0.7348;-0.15833333333333335
3;202.0;0.0579;0.7348;-0.15833333333333335
4;202.0;0.0579;0.7348;-0.15833333333333335
5;231.0;0.0639;0.4472;-0.16666666666666669
6;220.0;0.0741;0.682;-0.18333333333333332
7;223.0;0.1349;0.5483;-0.19166666666666665
8;223.0;0.1349;0.5483;-0.19166666666666665
9;223.0;0.1349;0.5483;-0.19166666666666665
10;225.0;0.117;0.6201;-0.20833333333333331
11;225.0;0.117;0.6201;-0.20833333333333331
12;225.0;0.117;0.6201;-0.20833333333333331
13;225.0;0.117;0.6201;-0.20833333333333331
14;225.0;0.117;0.6201;-0.20833333333333331
