;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;91.0;365.0;35.0;23.0;-0.12500000000000003
1;91.0;365.0;35.0;23.0;-0.12500000000000003
2;91.0;365.0;35.0;23.0;-0.12500000000000003
3;91.0;365.0;35.0;23.0;-0.12500000000000003
4;91.0;365.0;35.0;23.0;-0.12500000000000003
5;93.0;360.0;32.0;12.0;-0.13333333333333333
6;93.0;360.0;32.0;12.0;-0.13333333333333333
7;47.0;278.0;2.0;13.0;-0.15
8;47.0;278.0;2.0;13.0;-0.15
9;52.0;300.0;4.0;12.0;-0.175
10;52.0;300.0;4.0;12.0;-0.175
11;53.0;303.0;7.0;13.0;-0.18333333333333335
12;53.0;303.0;7.0;13.0;-0.18333333333333335
13;53.0;303.0;7.0;13.0;-0.18333333333333335
14;53.0;303.0;7.0;13.0;-0.18333333333333335
