;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;38;258;gbtree;0.4261;0.9634;-0.225
1;248;182;gbtree;0.888;0.6397;-0.24166666666666664
2;248;182;gbtree;0.888;0.6397;-0.24166666666666664
3;248;182;gbtree;0.888;0.6397;-0.24166666666666664
4;248;182;gbtree;0.888;0.6397;-0.24166666666666664
5;257;130;gbtree;0.8326;0.723;-0.25
6;257;130;gbtree;0.8326;0.723;-0.25
7;257;130;gbtree;0.8326;0.723;-0.25
8;257;130;gbtree;0.8326;0.723;-0.25
9;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
10;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
11;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
12;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
13;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
14;252;148;gbtree;0.8478;0.7135;-0.25833333333333336
