;Reservoirs;Sparsity;Spectral Radius;Fitness
0;305.0;0.362;0.051;-0.175
1;305.0;0.362;0.051;-0.175
2;305.0;0.362;0.051;-0.175
3;305.0;0.362;0.051;-0.175
4;305.0;0.362;0.051;-0.175
5;305.0;0.362;0.051;-0.175
6;305.0;0.362;0.051;-0.175
7;305.0;0.362;0.051;-0.175
8;305.0;0.362;0.051;-0.175
9;305.0;0.362;0.051;-0.175
10;305.0;0.362;0.051;-0.175
11;305.0;0.362;0.051;-0.175
12;305.0;0.362;0.051;-0.175
13;305.0;0.362;0.051;-0.175
14;305.0;0.362;0.051;-0.175
15;305.0;0.362;0.051;-0.175
16;305.0;0.362;0.051;-0.175
17;305.0;0.362;0.051;-0.175
18;305.0;0.362;0.051;-0.175
19;305.0;0.362;0.051;-0.175
20;305.0;0.362;0.051;-0.175
21;305.0;0.362;0.051;-0.175
22;305.0;0.362;0.051;-0.175
23;305.0;0.362;0.051;-0.175
24;305.0;0.362;0.051;-0.175
25;305.0;0.362;0.051;-0.175
26;305.0;0.362;0.051;-0.175
27;305.0;0.362;0.051;-0.175
28;305.0;0.362;0.051;-0.175
29;305.0;0.362;0.051;-0.175
30;305.0;0.362;0.051;-0.175
31;305.0;0.362;0.051;-0.175
32;305.0;0.362;0.051;-0.175
33;305.0;0.362;0.051;-0.175
34;305.0;0.362;0.051;-0.175
35;305.0;0.362;0.051;-0.175
36;305.0;0.362;0.051;-0.175
37;305.0;0.362;0.051;-0.175
38;305.0;0.362;0.051;-0.175
39;305.0;0.362;0.051;-0.175
40;305.0;0.362;0.051;-0.175
41;305.0;0.362;0.051;-0.175
42;305.0;0.362;0.051;-0.175
43;305.0;0.362;0.051;-0.175
44;305.0;0.362;0.051;-0.175
45;305.0;0.362;0.051;-0.175
46;305.0;0.362;0.051;-0.175
47;305.0;0.362;0.051;-0.175
48;305.0;0.362;0.051;-0.175
49;305.0;0.362;0.051;-0.175
50;305.0;0.362;0.051;-0.175
51;305.0;0.362;0.051;-0.175
52;305.0;0.362;0.051;-0.175
53;305.0;0.362;0.051;-0.175
54;305.0;0.362;0.051;-0.175
55;305.0;0.362;0.051;-0.175
56;305.0;0.362;0.051;-0.175
57;305.0;0.362;0.051;-0.175
58;305.0;0.362;0.051;-0.175
59;305.0;0.362;0.051;-0.175
60;305.0;0.362;0.051;-0.175
61;305.0;0.362;0.051;-0.175
62;305.0;0.362;0.051;-0.175
63;305.0;0.362;0.051;-0.175
64;305.0;0.362;0.051;-0.175
65;305.0;0.362;0.051;-0.175
66;305.0;0.362;0.051;-0.175
67;305.0;0.362;0.051;-0.175
68;305.0;0.362;0.051;-0.175
69;305.0;0.362;0.051;-0.175
70;305.0;0.362;0.051;-0.175
71;305.0;0.362;0.051;-0.175
72;305.0;0.362;0.051;-0.175
73;305.0;0.362;0.051;-0.175
74;305.0;0.362;0.051;-0.175
75;305.0;0.362;0.051;-0.175
76;305.0;0.362;0.051;-0.175
77;305.0;0.362;0.051;-0.175
78;305.0;0.362;0.051;-0.175
79;305.0;0.362;0.051;-0.175
80;305.0;0.362;0.051;-0.175
81;305.0;0.362;0.051;-0.175
82;305.0;0.362;0.051;-0.175
83;305.0;0.362;0.051;-0.175
84;305.0;0.362;0.051;-0.175
85;305.0;0.362;0.051;-0.175
86;305.0;0.362;0.051;-0.175
87;305.0;0.362;0.051;-0.175
88;305.0;0.362;0.051;-0.175
89;305.0;0.362;0.051;-0.175
90;305.0;0.362;0.051;-0.175
91;305.0;0.362;0.051;-0.175
92;305.0;0.362;0.051;-0.175
93;305.0;0.362;0.051;-0.175
94;305.0;0.362;0.051;-0.175
95;305.0;0.362;0.051;-0.175
96;305.0;0.362;0.051;-0.175
97;305.0;0.362;0.051;-0.175
98;305.0;0.362;0.051;-0.175
99;305.0;0.362;0.051;-0.175
100;305.0;0.362;0.051;-0.175
101;305.0;0.362;0.051;-0.175
102;305.0;0.362;0.051;-0.175
103;305.0;0.362;0.051;-0.175
104;305.0;0.362;0.051;-0.175
105;305.0;0.362;0.051;-0.175
106;305.0;0.362;0.051;-0.175
107;305.0;0.362;0.051;-0.175
108;305.0;0.362;0.051;-0.175
109;305.0;0.362;0.051;-0.175
110;305.0;0.362;0.051;-0.175
111;305.0;0.362;0.051;-0.175
112;305.0;0.362;0.051;-0.175
113;305.0;0.362;0.051;-0.175
114;305.0;0.362;0.051;-0.175
115;305.0;0.362;0.051;-0.175
116;305.0;0.362;0.051;-0.175
117;305.0;0.362;0.051;-0.175
118;305.0;0.362;0.051;-0.175
119;305.0;0.362;0.051;-0.175
120;305.0;0.362;0.051;-0.175
121;305.0;0.362;0.051;-0.175
122;305.0;0.362;0.051;-0.175
123;305.0;0.362;0.051;-0.175
124;305.0;0.362;0.051;-0.175
125;305.0;0.362;0.051;-0.175
126;305.0;0.362;0.051;-0.175
127;305.0;0.362;0.051;-0.175
128;305.0;0.362;0.051;-0.175
129;305.0;0.362;0.051;-0.175
130;305.0;0.362;0.051;-0.175
131;305.0;0.362;0.051;-0.175
132;305.0;0.362;0.051;-0.175
133;305.0;0.362;0.051;-0.175
134;305.0;0.362;0.051;-0.175
135;305.0;0.362;0.051;-0.175
136;305.0;0.362;0.051;-0.175
137;305.0;0.362;0.051;-0.175
138;305.0;0.362;0.051;-0.175
139;305.0;0.362;0.051;-0.175
140;305.0;0.362;0.051;-0.175
141;305.0;0.362;0.051;-0.175
142;305.0;0.362;0.051;-0.175
143;305.0;0.362;0.051;-0.175
144;305.0;0.362;0.051;-0.175
145;305.0;0.362;0.051;-0.175
146;305.0;0.362;0.051;-0.175
147;305.0;0.362;0.051;-0.175
148;305.0;0.362;0.051;-0.175
149;305.0;0.362;0.051;-0.175
150;305.0;0.362;0.051;-0.175
151;305.0;0.362;0.051;-0.175
152;305.0;0.362;0.051;-0.175
153;305.0;0.362;0.051;-0.175
154;305.0;0.362;0.051;-0.175
155;305.0;0.362;0.051;-0.175
156;305.0;0.362;0.051;-0.175
157;305.0;0.362;0.051;-0.175
158;305.0;0.362;0.051;-0.175
159;305.0;0.362;0.051;-0.175
160;305.0;0.362;0.051;-0.175
161;305.0;0.362;0.051;-0.175
162;305.0;0.362;0.051;-0.175
163;305.0;0.362;0.051;-0.175
164;305.0;0.362;0.051;-0.175
165;305.0;0.362;0.051;-0.175
166;305.0;0.362;0.051;-0.175
167;305.0;0.362;0.051;-0.175
168;305.0;0.362;0.051;-0.175
169;305.0;0.362;0.051;-0.175
170;305.0;0.362;0.051;-0.175
171;305.0;0.362;0.051;-0.175
172;305.0;0.362;0.051;-0.175
173;305.0;0.362;0.051;-0.175
174;305.0;0.362;0.051;-0.175
175;305.0;0.362;0.051;-0.175
176;305.0;0.362;0.051;-0.175
177;305.0;0.362;0.051;-0.175
178;305.0;0.362;0.051;-0.175
179;305.0;0.362;0.051;-0.175
180;305.0;0.362;0.051;-0.175
181;305.0;0.362;0.051;-0.175
182;305.0;0.362;0.051;-0.175
183;305.0;0.362;0.051;-0.175
184;305.0;0.362;0.051;-0.175
185;305.0;0.362;0.051;-0.175
186;305.0;0.362;0.051;-0.175
187;305.0;0.362;0.051;-0.175
188;305.0;0.362;0.051;-0.175
189;305.0;0.362;0.051;-0.175
190;305.0;0.362;0.051;-0.175
191;305.0;0.362;0.051;-0.175
192;305.0;0.362;0.051;-0.175
193;305.0;0.362;0.051;-0.175
194;305.0;0.362;0.051;-0.175
195;305.0;0.362;0.051;-0.175
196;305.0;0.362;0.051;-0.175
197;305.0;0.362;0.051;-0.175
198;305.0;0.362;0.051;-0.175
199;305.0;0.362;0.051;-0.175
200;305.0;0.362;0.051;-0.175
201;305.0;0.362;0.051;-0.175
202;305.0;0.362;0.051;-0.175
203;305.0;0.362;0.051;-0.175
204;305.0;0.362;0.051;-0.175
205;305.0;0.362;0.051;-0.175
206;305.0;0.362;0.051;-0.175
207;305.0;0.362;0.051;-0.175
208;305.0;0.362;0.051;-0.175
209;305.0;0.362;0.051;-0.175
210;305.0;0.362;0.051;-0.175
211;305.0;0.362;0.051;-0.175
212;305.0;0.362;0.051;-0.175
213;305.0;0.362;0.051;-0.175
214;305.0;0.362;0.051;-0.175
