;Units;Epochs;Batch Size;Activation;Fitness
0;129;197;213;softmax;-0.06666666666666668
1;32;268;185;softmax;-0.075
2;42;43;260;softsign;-0.15
3;23;329;347;mish;-0.175
4;23;329;347;mish;-0.175
5;23;329;347;mish;-0.175
6;23;329;347;mish;-0.175
7;23;329;347;mish;-0.175
8;23;329;347;mish;-0.175
9;23;329;347;mish;-0.175
10;23;329;347;mish;-0.175
11;23;329;347;mish;-0.175
12;23;329;347;mish;-0.175
13;23;329;347;mish;-0.175
14;23;329;347;mish;-0.175
15;23;329;347;mish;-0.175
16;23;329;347;mish;-0.175
17;23;329;347;mish;-0.175
18;23;329;347;mish;-0.175
19;23;329;347;mish;-0.175
20;23;329;347;mish;-0.175
21;23;329;347;mish;-0.175
22;23;329;347;mish;-0.175
23;23;329;347;mish;-0.175
24;23;329;347;mish;-0.175
25;23;329;347;mish;-0.175
26;23;329;347;mish;-0.175
27;55;344;42;mish;-0.19166666666666668
28;55;344;42;mish;-0.19166666666666668
29;55;344;42;mish;-0.19166666666666668
30;55;344;42;mish;-0.19166666666666668
31;55;344;42;mish;-0.19166666666666668
32;55;344;42;mish;-0.19166666666666668
33;55;344;42;mish;-0.19166666666666668
34;55;344;42;mish;-0.19166666666666668
35;55;344;42;mish;-0.19166666666666668
36;55;344;42;mish;-0.19166666666666668
37;55;344;42;mish;-0.19166666666666668
38;55;344;42;mish;-0.19166666666666668
39;55;344;42;mish;-0.19166666666666668
40;55;344;42;mish;-0.19166666666666668
41;55;344;42;mish;-0.19166666666666668
42;55;344;42;mish;-0.19166666666666668
43;55;344;42;mish;-0.19166666666666668
44;55;344;42;mish;-0.19166666666666668
45;55;344;42;mish;-0.19166666666666668
46;55;344;42;mish;-0.19166666666666668
47;55;344;42;mish;-0.19166666666666668
48;55;344;42;mish;-0.19166666666666668
49;55;344;42;mish;-0.19166666666666668
50;55;344;42;mish;-0.19166666666666668
51;55;344;42;mish;-0.19166666666666668
52;55;344;42;mish;-0.19166666666666668
53;55;344;42;mish;-0.19166666666666668
54;55;344;42;mish;-0.19166666666666668
55;55;344;42;mish;-0.19166666666666668
56;55;344;42;mish;-0.19166666666666668
57;55;344;42;mish;-0.19166666666666668
