;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;337.0;74.0;21.0;7.0;-0.10833333333333332
1;337.0;74.0;21.0;7.0;-0.10833333333333332
2;337.0;74.0;21.0;7.0;-0.10833333333333332
3;337.0;74.0;21.0;7.0;-0.10833333333333332
4;337.0;74.0;21.0;7.0;-0.10833333333333332
5;337.0;74.0;21.0;7.0;-0.10833333333333332
6;337.0;74.0;21.0;7.0;-0.10833333333333332
7;337.0;74.0;21.0;7.0;-0.10833333333333332
8;337.0;74.0;21.0;7.0;-0.10833333333333332
9;337.0;74.0;21.0;7.0;-0.10833333333333332
10;295.0;228.0;30.0;9.0;-0.11666666666666667
11;295.0;228.0;30.0;9.0;-0.11666666666666667
12;295.0;228.0;30.0;9.0;-0.11666666666666667
13;295.0;228.0;30.0;9.0;-0.11666666666666667
14;295.0;228.0;30.0;9.0;-0.11666666666666667
15;295.0;228.0;30.0;9.0;-0.11666666666666667
16;295.0;228.0;30.0;9.0;-0.11666666666666667
17;295.0;228.0;30.0;9.0;-0.11666666666666667
18;295.0;228.0;30.0;9.0;-0.11666666666666667
19;295.0;228.0;30.0;9.0;-0.11666666666666667
20;295.0;228.0;30.0;9.0;-0.11666666666666667
21;295.0;228.0;30.0;9.0;-0.11666666666666667
22;295.0;228.0;30.0;9.0;-0.11666666666666667
23;44.0;66.0;46.0;2.0;-0.14166666666666666
24;44.0;66.0;46.0;2.0;-0.14166666666666666
25;44.0;66.0;46.0;2.0;-0.14166666666666666
26;44.0;66.0;46.0;2.0;-0.14166666666666666
27;44.0;66.0;46.0;2.0;-0.14166666666666666
28;44.0;66.0;46.0;2.0;-0.14166666666666666
29;44.0;66.0;46.0;2.0;-0.14166666666666666
30;44.0;66.0;46.0;2.0;-0.14166666666666666
31;44.0;66.0;46.0;2.0;-0.14166666666666666
32;44.0;66.0;46.0;2.0;-0.14166666666666666
33;44.0;66.0;46.0;2.0;-0.14166666666666666
34;44.0;66.0;46.0;2.0;-0.14166666666666666
35;44.0;66.0;46.0;2.0;-0.14166666666666666
36;44.0;66.0;46.0;2.0;-0.14166666666666666
37;44.0;66.0;46.0;2.0;-0.14166666666666666
38;44.0;66.0;46.0;2.0;-0.14166666666666666
39;44.0;66.0;46.0;2.0;-0.14166666666666666
40;44.0;66.0;46.0;2.0;-0.14166666666666666
41;44.0;66.0;46.0;2.0;-0.14166666666666666
42;44.0;66.0;46.0;2.0;-0.14166666666666666
43;44.0;66.0;46.0;2.0;-0.14166666666666666
44;44.0;66.0;46.0;2.0;-0.14166666666666666
45;44.0;66.0;46.0;2.0;-0.14166666666666666
46;44.0;66.0;46.0;2.0;-0.14166666666666666
47;44.0;66.0;46.0;2.0;-0.14166666666666666
48;44.0;66.0;46.0;2.0;-0.14166666666666666
49;44.0;66.0;46.0;2.0;-0.14166666666666666
50;44.0;66.0;46.0;2.0;-0.14166666666666666
51;44.0;66.0;46.0;2.0;-0.14166666666666666
52;44.0;66.0;46.0;2.0;-0.14166666666666666
53;44.0;66.0;46.0;2.0;-0.14166666666666666
54;44.0;66.0;46.0;2.0;-0.14166666666666666
55;44.0;66.0;46.0;2.0;-0.14166666666666666
56;44.0;66.0;46.0;2.0;-0.14166666666666666
57;44.0;66.0;46.0;2.0;-0.14166666666666666
58;44.0;66.0;46.0;2.0;-0.14166666666666666
59;44.0;66.0;46.0;2.0;-0.14166666666666666
60;44.0;66.0;46.0;2.0;-0.14166666666666666
61;44.0;66.0;46.0;2.0;-0.14166666666666666
62;44.0;66.0;46.0;2.0;-0.14166666666666666
63;44.0;66.0;46.0;2.0;-0.14166666666666666
64;44.0;66.0;46.0;2.0;-0.14166666666666666
65;44.0;66.0;46.0;2.0;-0.14166666666666666
66;44.0;66.0;46.0;2.0;-0.14166666666666666
67;44.0;66.0;46.0;2.0;-0.14166666666666666
68;44.0;66.0;46.0;2.0;-0.14166666666666666
69;44.0;66.0;46.0;2.0;-0.14166666666666666
70;44.0;66.0;46.0;2.0;-0.14166666666666666
71;44.0;66.0;46.0;2.0;-0.14166666666666666
72;44.0;66.0;46.0;2.0;-0.14166666666666666
73;44.0;66.0;46.0;2.0;-0.14166666666666666
74;44.0;66.0;46.0;2.0;-0.14166666666666666
75;44.0;66.0;46.0;2.0;-0.14166666666666666
76;44.0;66.0;46.0;2.0;-0.14166666666666666
77;44.0;66.0;46.0;2.0;-0.14166666666666666
78;44.0;66.0;46.0;2.0;-0.14166666666666666
79;44.0;66.0;46.0;2.0;-0.14166666666666666
80;44.0;66.0;46.0;2.0;-0.14166666666666666
81;44.0;66.0;46.0;2.0;-0.14166666666666666
82;44.0;66.0;46.0;2.0;-0.14166666666666666
83;44.0;66.0;46.0;2.0;-0.14166666666666666
84;195.0;343.0;4.0;4.0;-0.15
85;195.0;343.0;4.0;4.0;-0.15
86;195.0;343.0;4.0;4.0;-0.15
87;195.0;343.0;4.0;4.0;-0.15
88;195.0;343.0;4.0;4.0;-0.15
89;195.0;343.0;4.0;4.0;-0.15
90;195.0;343.0;4.0;4.0;-0.15
91;195.0;343.0;4.0;4.0;-0.15
92;195.0;343.0;4.0;4.0;-0.15
93;195.0;343.0;4.0;4.0;-0.15
94;195.0;343.0;4.0;4.0;-0.15
95;195.0;343.0;4.0;4.0;-0.15
96;195.0;343.0;4.0;4.0;-0.15
97;195.0;343.0;4.0;4.0;-0.15
98;195.0;343.0;4.0;4.0;-0.15
99;195.0;343.0;4.0;4.0;-0.15
100;195.0;343.0;4.0;4.0;-0.15
101;195.0;343.0;4.0;4.0;-0.15
102;195.0;343.0;4.0;4.0;-0.15
103;195.0;343.0;4.0;4.0;-0.15
104;195.0;343.0;4.0;4.0;-0.15
105;195.0;343.0;4.0;4.0;-0.15
106;195.0;343.0;4.0;4.0;-0.15
107;195.0;343.0;4.0;4.0;-0.15
108;195.0;343.0;4.0;4.0;-0.15
109;195.0;343.0;4.0;4.0;-0.15
110;195.0;343.0;4.0;4.0;-0.15
111;195.0;343.0;4.0;4.0;-0.15
112;195.0;343.0;4.0;4.0;-0.15
113;195.0;343.0;4.0;4.0;-0.15
114;195.0;343.0;4.0;4.0;-0.15
115;195.0;343.0;4.0;4.0;-0.15
116;195.0;343.0;4.0;4.0;-0.15
117;195.0;343.0;4.0;4.0;-0.15
118;195.0;343.0;4.0;4.0;-0.15
119;195.0;343.0;4.0;4.0;-0.15
120;195.0;343.0;4.0;4.0;-0.15
121;195.0;343.0;4.0;4.0;-0.15
122;195.0;343.0;4.0;4.0;-0.15
123;195.0;343.0;4.0;4.0;-0.15
124;195.0;343.0;4.0;4.0;-0.15
125;195.0;343.0;4.0;4.0;-0.15
126;195.0;343.0;4.0;4.0;-0.15
127;195.0;343.0;4.0;4.0;-0.15
128;195.0;343.0;4.0;4.0;-0.15
129;195.0;343.0;4.0;4.0;-0.15
130;195.0;343.0;4.0;4.0;-0.15
131;195.0;343.0;4.0;4.0;-0.15
132;195.0;343.0;4.0;4.0;-0.15
133;195.0;343.0;4.0;4.0;-0.15
134;195.0;343.0;4.0;4.0;-0.15
135;195.0;343.0;4.0;4.0;-0.15
136;195.0;343.0;4.0;4.0;-0.15
137;195.0;343.0;4.0;4.0;-0.15
138;195.0;343.0;4.0;4.0;-0.15
139;195.0;343.0;4.0;4.0;-0.15
140;195.0;343.0;4.0;4.0;-0.15
141;195.0;343.0;4.0;4.0;-0.15
142;195.0;343.0;4.0;4.0;-0.15
143;195.0;343.0;4.0;4.0;-0.15
144;195.0;343.0;4.0;4.0;-0.15
145;195.0;343.0;4.0;4.0;-0.15
146;195.0;343.0;4.0;4.0;-0.15
147;195.0;343.0;4.0;4.0;-0.15
148;195.0;343.0;4.0;4.0;-0.15
149;195.0;343.0;4.0;4.0;-0.15
150;195.0;343.0;4.0;4.0;-0.15
151;195.0;343.0;4.0;4.0;-0.15
152;195.0;343.0;4.0;4.0;-0.15
153;195.0;343.0;4.0;4.0;-0.15
154;195.0;343.0;4.0;4.0;-0.15
155;195.0;343.0;4.0;4.0;-0.15
156;195.0;343.0;4.0;4.0;-0.15
157;195.0;343.0;4.0;4.0;-0.15
158;195.0;343.0;4.0;4.0;-0.15
159;195.0;343.0;4.0;4.0;-0.15
160;195.0;343.0;4.0;4.0;-0.15
161;195.0;343.0;4.0;4.0;-0.15
162;195.0;343.0;4.0;4.0;-0.15
163;195.0;343.0;4.0;4.0;-0.15
164;195.0;343.0;4.0;4.0;-0.15
165;195.0;343.0;4.0;4.0;-0.15
166;195.0;343.0;4.0;4.0;-0.15
167;195.0;343.0;4.0;4.0;-0.15
168;195.0;343.0;4.0;4.0;-0.15
169;195.0;343.0;4.0;4.0;-0.15
170;195.0;343.0;4.0;4.0;-0.15
171;195.0;343.0;4.0;4.0;-0.15
172;195.0;343.0;4.0;4.0;-0.15
173;195.0;343.0;4.0;4.0;-0.15
174;195.0;343.0;4.0;4.0;-0.15
175;195.0;343.0;4.0;4.0;-0.15
176;195.0;343.0;4.0;4.0;-0.15
177;195.0;343.0;4.0;4.0;-0.15
178;195.0;343.0;4.0;4.0;-0.15
179;195.0;343.0;4.0;4.0;-0.15
180;195.0;343.0;4.0;4.0;-0.15
181;195.0;343.0;4.0;4.0;-0.15
182;195.0;343.0;4.0;4.0;-0.15
183;195.0;343.0;4.0;4.0;-0.15
184;195.0;343.0;4.0;4.0;-0.15
185;195.0;343.0;4.0;4.0;-0.15
186;195.0;343.0;4.0;4.0;-0.15
187;195.0;343.0;4.0;4.0;-0.15
188;195.0;343.0;4.0;4.0;-0.15
189;195.0;343.0;4.0;4.0;-0.15
190;195.0;343.0;4.0;4.0;-0.15
191;195.0;343.0;4.0;4.0;-0.15
192;195.0;343.0;4.0;4.0;-0.15
193;195.0;343.0;4.0;4.0;-0.15
194;195.0;343.0;4.0;4.0;-0.15
195;195.0;343.0;4.0;4.0;-0.15
196;195.0;343.0;4.0;4.0;-0.15
197;195.0;343.0;4.0;4.0;-0.15
198;195.0;343.0;4.0;4.0;-0.15
199;195.0;343.0;4.0;4.0;-0.15
200;195.0;343.0;4.0;4.0;-0.15
201;195.0;343.0;4.0;4.0;-0.15
202;195.0;343.0;4.0;4.0;-0.15
203;195.0;343.0;4.0;4.0;-0.15
204;195.0;343.0;4.0;4.0;-0.15
205;195.0;343.0;4.0;4.0;-0.15
206;195.0;343.0;4.0;4.0;-0.15
207;195.0;343.0;4.0;4.0;-0.15
208;195.0;343.0;4.0;4.0;-0.15
209;195.0;343.0;4.0;4.0;-0.15
210;195.0;343.0;4.0;4.0;-0.15
211;195.0;343.0;4.0;4.0;-0.15
212;195.0;343.0;4.0;4.0;-0.15
213;195.0;343.0;4.0;4.0;-0.15
214;195.0;343.0;4.0;4.0;-0.15
215;195.0;343.0;4.0;4.0;-0.15
216;195.0;343.0;4.0;4.0;-0.15
217;195.0;343.0;4.0;4.0;-0.15
218;195.0;343.0;4.0;4.0;-0.15
219;195.0;343.0;4.0;4.0;-0.15
220;195.0;343.0;4.0;4.0;-0.15
221;195.0;343.0;4.0;4.0;-0.15
222;195.0;343.0;4.0;4.0;-0.15
223;195.0;343.0;4.0;4.0;-0.15
224;195.0;343.0;4.0;4.0;-0.15
225;195.0;343.0;4.0;4.0;-0.15
