;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;305;162;gbtree;0.88;0.15;-0.18333333333333335
1;305;162;gbtree;0.88;0.15;-0.18333333333333335
2;178;99;gbtree;0.865;0.725;-0.22500000000000003
3;178;99;gbtree;0.865;0.725;-0.22500000000000003
4;178;99;gbtree;0.865;0.725;-0.22500000000000003
5;178;99;gbtree;0.865;0.725;-0.22500000000000003
6;178;99;gbtree;0.865;0.725;-0.22500000000000003
7;178;99;gbtree;0.865;0.725;-0.22500000000000003
8;178;99;gbtree;0.865;0.725;-0.22500000000000003
9;178;99;gbtree;0.865;0.725;-0.22500000000000003
10;178;99;gbtree;0.865;0.725;-0.22500000000000003
11;178;99;gbtree;0.865;0.725;-0.22500000000000003
12;178;99;gbtree;0.865;0.725;-0.22500000000000003
13;26;281;gbtree;0.745;0.77;-0.23333333333333334
14;26;281;gbtree;0.745;0.77;-0.23333333333333334
15;26;281;gbtree;0.745;0.77;-0.23333333333333334
16;26;281;gbtree;0.745;0.77;-0.23333333333333334
17;26;281;gbtree;0.745;0.77;-0.23333333333333334
18;26;281;gbtree;0.745;0.77;-0.23333333333333334
19;26;281;gbtree;0.745;0.77;-0.23333333333333334
20;26;281;gbtree;0.745;0.77;-0.23333333333333334
21;26;281;gbtree;0.745;0.77;-0.23333333333333334
22;26;281;gbtree;0.745;0.77;-0.23333333333333334
23;26;281;gbtree;0.745;0.77;-0.23333333333333334
24;26;281;gbtree;0.745;0.77;-0.23333333333333334
25;170;340;gbtree;0.59;0.505;-0.25
26;170;340;gbtree;0.59;0.505;-0.25
27;170;340;gbtree;0.59;0.505;-0.25
28;170;340;gbtree;0.59;0.505;-0.25
29;170;340;gbtree;0.59;0.505;-0.25
30;170;340;gbtree;0.59;0.505;-0.25
31;170;340;gbtree;0.59;0.505;-0.25
32;170;340;gbtree;0.59;0.505;-0.25
33;170;340;gbtree;0.59;0.505;-0.25
34;170;340;gbtree;0.59;0.505;-0.25
35;170;340;gbtree;0.59;0.505;-0.25
36;170;340;gbtree;0.59;0.505;-0.25
37;170;340;gbtree;0.59;0.505;-0.25
38;170;340;gbtree;0.59;0.505;-0.25
39;170;340;gbtree;0.59;0.505;-0.25
40;170;340;gbtree;0.59;0.505;-0.25
41;170;340;gbtree;0.59;0.505;-0.25
42;170;340;gbtree;0.59;0.505;-0.25
43;170;340;gbtree;0.59;0.505;-0.25
44;170;340;gbtree;0.59;0.505;-0.25
45;170;340;gbtree;0.59;0.505;-0.25
46;170;340;gbtree;0.59;0.505;-0.25
47;170;340;gbtree;0.59;0.505;-0.25
48;170;340;gbtree;0.59;0.505;-0.25
49;170;340;gbtree;0.59;0.505;-0.25
50;170;340;gbtree;0.59;0.505;-0.25
51;170;340;gbtree;0.59;0.505;-0.25
52;170;340;gbtree;0.59;0.505;-0.25
53;170;340;gbtree;0.59;0.505;-0.25
54;170;340;gbtree;0.59;0.505;-0.25
55;170;340;gbtree;0.59;0.505;-0.25
56;170;340;gbtree;0.59;0.505;-0.25
57;170;340;gbtree;0.59;0.505;-0.25
58;170;340;gbtree;0.59;0.505;-0.25
59;170;340;gbtree;0.59;0.505;-0.25
60;170;340;gbtree;0.59;0.505;-0.25
61;170;340;gbtree;0.59;0.505;-0.25
62;170;340;gbtree;0.59;0.505;-0.25
63;170;340;gbtree;0.59;0.505;-0.25
64;170;340;gbtree;0.59;0.505;-0.25
65;170;340;gbtree;0.59;0.505;-0.25
66;170;340;gbtree;0.59;0.505;-0.25
67;170;340;gbtree;0.59;0.505;-0.25
68;170;340;gbtree;0.59;0.505;-0.25
69;170;340;gbtree;0.59;0.505;-0.25
70;170;340;gbtree;0.59;0.505;-0.25
71;170;340;gbtree;0.59;0.505;-0.25
72;170;340;gbtree;0.59;0.505;-0.25
73;170;340;gbtree;0.59;0.505;-0.25
74;170;340;gbtree;0.59;0.505;-0.25
75;170;340;gbtree;0.59;0.505;-0.25
76;170;340;gbtree;0.59;0.505;-0.25
77;170;340;gbtree;0.59;0.505;-0.25
78;170;340;gbtree;0.59;0.505;-0.25
79;170;340;gbtree;0.59;0.505;-0.25
80;170;340;gbtree;0.59;0.505;-0.25
81;170;340;gbtree;0.59;0.505;-0.25
82;170;340;gbtree;0.59;0.505;-0.25
83;170;340;gbtree;0.59;0.505;-0.25
84;170;340;gbtree;0.59;0.505;-0.25
85;170;340;gbtree;0.59;0.505;-0.25
86;170;340;gbtree;0.59;0.505;-0.25
87;170;340;gbtree;0.59;0.505;-0.25
88;170;340;gbtree;0.59;0.505;-0.25
89;170;340;gbtree;0.59;0.505;-0.25
90;170;340;gbtree;0.59;0.505;-0.25
91;170;340;gbtree;0.59;0.505;-0.25
92;170;340;gbtree;0.59;0.505;-0.25
93;170;340;gbtree;0.59;0.505;-0.25
94;170;340;gbtree;0.59;0.505;-0.25
95;170;340;gbtree;0.59;0.505;-0.25
96;170;340;gbtree;0.59;0.505;-0.25
97;170;340;gbtree;0.59;0.505;-0.25
98;170;340;gbtree;0.59;0.505;-0.25
99;170;340;gbtree;0.59;0.505;-0.25
100;170;340;gbtree;0.59;0.505;-0.25
101;170;340;gbtree;0.59;0.505;-0.25
102;170;340;gbtree;0.59;0.505;-0.25
103;170;340;gbtree;0.59;0.505;-0.25
104;170;340;gbtree;0.59;0.505;-0.25
105;170;340;gbtree;0.59;0.505;-0.25
106;170;340;gbtree;0.59;0.505;-0.25
107;170;340;gbtree;0.59;0.505;-0.25
108;170;340;gbtree;0.59;0.505;-0.25
109;170;340;gbtree;0.59;0.505;-0.25
110;170;340;gbtree;0.59;0.505;-0.25
111;170;340;gbtree;0.59;0.505;-0.25
112;170;340;gbtree;0.59;0.505;-0.25
113;170;340;gbtree;0.59;0.505;-0.25
114;170;340;gbtree;0.59;0.505;-0.25
115;170;340;gbtree;0.59;0.505;-0.25
116;170;340;gbtree;0.59;0.505;-0.25
117;170;340;gbtree;0.59;0.505;-0.25
118;170;340;gbtree;0.59;0.505;-0.25
119;170;340;gbtree;0.59;0.505;-0.25
120;170;340;gbtree;0.59;0.505;-0.25
121;170;340;gbtree;0.59;0.505;-0.25
122;170;340;gbtree;0.59;0.505;-0.25
123;170;340;gbtree;0.59;0.505;-0.25
124;170;340;gbtree;0.59;0.505;-0.25
125;170;340;gbtree;0.59;0.505;-0.25
126;170;340;gbtree;0.59;0.505;-0.25
127;170;340;gbtree;0.59;0.505;-0.25
128;170;340;gbtree;0.59;0.505;-0.25
129;170;340;gbtree;0.59;0.505;-0.25
130;170;340;gbtree;0.59;0.505;-0.25
