;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
225;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
226;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
227;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
228;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
229;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
230;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
231;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
232;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
233;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
234;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
235;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
236;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
237;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
238;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
239;PSO;XGBoost;10;2000;357;31;gbtree;0.736;0.1;-0.125
240;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
241;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
242;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
243;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
244;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
245;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
246;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
247;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
248;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
249;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
250;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
251;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
252;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
253;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
254;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
255;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
256;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
257;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
258;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
259;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
260;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
261;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
262;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
263;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
264;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
265;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
266;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
267;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
268;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
269;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
270;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
271;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
272;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
273;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
274;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
275;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
276;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
277;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
278;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
279;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
280;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
281;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
282;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
283;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
284;PSO;XGBoost;10;2000;248;392;gbtree;0.631;0.031;-0.175
285;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
286;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
287;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
288;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
289;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
290;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
291;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
292;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
293;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
294;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
295;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
296;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
297;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
298;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
299;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
300;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
301;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
302;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
303;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
304;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
305;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
306;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
307;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
308;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
309;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
310;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
311;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
312;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
313;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
314;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
315;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
316;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
317;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
318;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
319;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
320;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
321;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
322;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
323;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
324;PSO;XGBoost;10;2000;206;324;gbtree;0.755;0.016;-0.2
