;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;SA;RF;10;1000;229.0;352.0;8.0;27.0;-0.0
1;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
2;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
3;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
4;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
5;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
6;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
7;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
8;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
9;SA;RF;10;1000;190.0;42.0;31.0;12.0;-0.05
10;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
11;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
12;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
13;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
14;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
15;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
16;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
17;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
18;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
19;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
20;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
21;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
22;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
23;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
24;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
25;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
26;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
27;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
28;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
29;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
30;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
31;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
32;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
33;SA;RF;10;1000;92.0;254.0;7.0;2.0;-0.1
34;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
35;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
36;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
37;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
38;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
39;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
40;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
41;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
42;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
43;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
44;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
45;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
46;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
47;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
48;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
49;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
50;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
51;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
52;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
53;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
54;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
55;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
56;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
57;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
58;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
59;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
60;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
61;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
62;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
63;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
64;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
65;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
66;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
67;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
68;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
69;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
70;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
71;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
72;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
73;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
74;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
75;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
76;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
77;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
78;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
79;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
80;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
81;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
82;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
83;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
84;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
85;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
86;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
87;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
88;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
89;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
90;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
91;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
92;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
93;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
94;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
95;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
96;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
97;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
98;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
99;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
100;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
101;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
102;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
103;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
104;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
105;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
106;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
107;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
108;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
109;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
110;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
111;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
112;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
113;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
114;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
115;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
116;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
117;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
118;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
119;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
120;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
121;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
122;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
123;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
124;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
125;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
126;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
127;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
128;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
129;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
130;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
131;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
132;SA;RF;10;1000;37.0;156.0;21.0;2.0;-0.15
