;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
225;PSO;MLP;3;2000;384;0.177;relu;-0.6
226;PSO;MLP;3;2000;384;0.177;relu;-0.6
227;PSO;MLP;3;2000;384;0.177;relu;-0.6
228;PSO;MLP;3;2000;384;0.177;relu;-0.6
229;PSO;MLP;3;2000;384;0.177;relu;-0.6
230;PSO;MLP;3;2000;384;0.177;relu;-0.6
231;PSO;MLP;3;2000;384;0.177;relu;-0.6
232;PSO;MLP;3;2000;384;0.177;relu;-0.6
233;PSO;MLP;3;2000;384;0.177;relu;-0.6
234;PSO;MLP;3;2000;384;0.177;relu;-0.6
235;PSO;MLP;3;2000;384;0.177;relu;-0.6
236;PSO;MLP;3;2000;384;0.177;relu;-0.6
237;PSO;MLP;3;2000;384;0.177;relu;-0.6
238;PSO;MLP;3;2000;384;0.177;relu;-0.6
239;PSO;MLP;3;2000;384;0.177;relu;-0.6
240;PSO;MLP;3;2000;384;0.177;relu;-0.6
241;PSO;MLP;3;2000;384;0.177;relu;-0.6
242;PSO;MLP;3;2000;384;0.177;relu;-0.6
243;PSO;MLP;3;2000;384;0.177;relu;-0.6
244;PSO;MLP;3;2000;384;0.177;relu;-0.6
245;PSO;MLP;3;2000;384;0.177;relu;-0.6
246;PSO;MLP;3;2000;384;0.177;relu;-0.6
247;PSO;MLP;3;2000;384;0.177;relu;-0.6
248;PSO;MLP;3;2000;384;0.177;relu;-0.6
249;PSO;MLP;3;2000;384;0.177;relu;-0.6
250;PSO;MLP;3;2000;384;0.177;relu;-0.6
251;PSO;MLP;3;2000;384;0.177;relu;-0.6
252;PSO;MLP;3;2000;384;0.177;relu;-0.6
253;PSO;MLP;3;2000;384;0.177;relu;-0.6
254;PSO;MLP;3;2000;384;0.177;relu;-0.6
255;PSO;MLP;3;2000;384;0.177;relu;-0.6
256;PSO;MLP;3;2000;384;0.177;relu;-0.6
257;PSO;MLP;3;2000;384;0.177;relu;-0.6
258;PSO;MLP;3;2000;384;0.177;relu;-0.6
259;PSO;MLP;3;2000;384;0.177;relu;-0.6
260;PSO;MLP;3;2000;384;0.177;relu;-0.6
261;PSO;MLP;3;2000;384;0.177;relu;-0.6
262;PSO;MLP;3;2000;384;0.177;relu;-0.6
263;PSO;MLP;3;2000;384;0.177;relu;-0.6
264;PSO;MLP;3;2000;384;0.177;relu;-0.6
265;PSO;MLP;3;2000;384;0.177;relu;-0.6
266;PSO;MLP;3;2000;384;0.177;relu;-0.6
267;PSO;MLP;3;2000;384;0.177;relu;-0.6
268;PSO;MLP;3;2000;384;0.177;relu;-0.6
269;PSO;MLP;3;2000;384;0.177;relu;-0.6
270;PSO;MLP;3;2000;384;0.177;relu;-0.6
271;PSO;MLP;3;2000;384;0.177;relu;-0.6
272;PSO;MLP;3;2000;384;0.177;relu;-0.6
273;PSO;MLP;3;2000;384;0.177;relu;-0.6
274;PSO;MLP;3;2000;384;0.177;relu;-0.6
275;PSO;MLP;3;2000;384;0.177;relu;-0.6
276;PSO;MLP;3;2000;384;0.177;relu;-0.6
277;PSO;MLP;3;2000;384;0.177;relu;-0.6
278;PSO;MLP;3;2000;384;0.177;relu;-0.6
279;PSO;MLP;3;2000;384;0.177;relu;-0.6
280;PSO;MLP;3;2000;384;0.177;relu;-0.6
281;PSO;MLP;3;2000;384;0.177;relu;-0.6
282;PSO;MLP;3;2000;384;0.177;relu;-0.6
283;PSO;MLP;3;2000;384;0.177;relu;-0.6
284;PSO;MLP;3;2000;384;0.177;relu;-0.6
285;PSO;MLP;3;2000;384;0.177;relu;-0.6
286;PSO;MLP;3;2000;384;0.177;relu;-0.6
287;PSO;MLP;3;2000;384;0.177;relu;-0.6
288;PSO;MLP;3;2000;384;0.177;relu;-0.6
289;PSO;MLP;3;2000;384;0.177;relu;-0.6
290;PSO;MLP;3;2000;384;0.177;relu;-0.6
291;PSO;MLP;3;2000;384;0.177;relu;-0.6
292;PSO;MLP;3;2000;384;0.177;relu;-0.6
293;PSO;MLP;3;2000;384;0.177;relu;-0.6
294;PSO;MLP;3;2000;384;0.177;relu;-0.6
295;PSO;MLP;3;2000;384;0.177;relu;-0.6
296;PSO;MLP;3;2000;384;0.177;relu;-0.6
297;PSO;MLP;3;2000;384;0.177;relu;-0.6
298;PSO;MLP;3;2000;384;0.177;relu;-0.6
299;PSO;MLP;3;2000;384;0.177;relu;-0.6
300;PSO;MLP;3;2000;382;0.07;relu;-0.625
301;PSO;MLP;3;2000;382;0.07;relu;-0.625
302;PSO;MLP;3;2000;382;0.07;relu;-0.625
303;PSO;MLP;3;2000;382;0.07;relu;-0.625
304;PSO;MLP;3;2000;382;0.07;relu;-0.625
305;PSO;MLP;3;2000;382;0.07;relu;-0.625
306;PSO;MLP;3;2000;382;0.07;relu;-0.625
