;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;290.0;154.0;39.0;3.0;-0.15000000000000002
1;149.0;201.0;24.0;26.0;-0.17500000000000002
2;149.0;201.0;24.0;26.0;-0.17500000000000002
3;149.0;201.0;24.0;26.0;-0.17500000000000002
4;149.0;201.0;24.0;26.0;-0.17500000000000002
5;149.0;201.0;24.0;26.0;-0.17500000000000002
6;149.0;201.0;24.0;26.0;-0.17500000000000002
7;149.0;201.0;24.0;26.0;-0.17500000000000002
8;149.0;201.0;24.0;26.0;-0.17500000000000002
9;149.0;201.0;24.0;26.0;-0.17500000000000002
10;149.0;201.0;24.0;26.0;-0.17500000000000002
11;171.0;182.0;27.0;28.0;-0.2
12;171.0;182.0;27.0;28.0;-0.2
13;171.0;182.0;27.0;28.0;-0.2
14;171.0;182.0;27.0;28.0;-0.2
