;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
1;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
2;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
3;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
4;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
5;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
6;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
7;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
8;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
9;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
10;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
11;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
12;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
13;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
14;391;76;gbtree;0.2908;0.8102;-0.45000000000000007
