;OTIMIZADOR;MODELO;CLASSES;SEED;Hidden Layers;Alpha;Activation;Fitness
452;SA;MLP;8;3000;337;0.16;tanh;-0.2
453;SA;MLP;8;3000;337;0.16;tanh;-0.2
454;SA;MLP;8;3000;337;0.16;tanh;-0.2
455;SA;MLP;8;3000;318;0.86;tanh;-0.225
456;SA;MLP;8;3000;318;0.86;tanh;-0.225
457;SA;MLP;8;3000;318;0.86;tanh;-0.225
458;SA;MLP;8;3000;118;0.89;tanh;-0.225
459;SA;MLP;8;3000;118;0.89;tanh;-0.225
460;SA;MLP;8;3000;118;0.89;tanh;-0.225
461;SA;MLP;8;3000;118;0.89;tanh;-0.225
462;SA;MLP;8;3000;316;0.32;tanh;-0.25
463;SA;MLP;8;3000;316;0.32;tanh;-0.25
464;SA;MLP;8;3000;316;0.32;tanh;-0.25
465;SA;MLP;8;3000;316;0.32;tanh;-0.25
466;SA;MLP;8;3000;316;0.32;tanh;-0.25
467;SA;MLP;8;3000;316;0.32;tanh;-0.25
468;SA;MLP;8;3000;316;0.32;tanh;-0.25
469;SA;MLP;8;3000;316;0.32;tanh;-0.25
470;SA;MLP;8;3000;316;0.32;tanh;-0.25
471;SA;MLP;8;3000;316;0.32;tanh;-0.25
472;SA;MLP;8;3000;316;0.32;tanh;-0.25
473;SA;MLP;8;3000;107;0.4;identity;-0.275
474;SA;MLP;8;3000;107;0.4;identity;-0.275
475;SA;MLP;8;3000;107;0.4;identity;-0.275
476;SA;MLP;8;3000;107;0.4;identity;-0.275
477;SA;MLP;8;3000;107;0.4;identity;-0.275
478;SA;MLP;8;3000;107;0.4;identity;-0.275
479;SA;MLP;8;3000;107;0.4;identity;-0.275
480;SA;MLP;8;3000;107;0.4;identity;-0.275
481;SA;MLP;8;3000;107;0.4;identity;-0.275
482;SA;MLP;8;3000;107;0.4;identity;-0.275
483;SA;MLP;8;3000;107;0.4;identity;-0.275
484;SA;MLP;8;3000;107;0.4;identity;-0.275
485;SA;MLP;8;3000;107;0.4;identity;-0.275
486;SA;MLP;8;3000;107;0.4;identity;-0.275
487;SA;MLP;8;3000;107;0.4;identity;-0.275
488;SA;MLP;8;3000;107;0.4;identity;-0.275
489;SA;MLP;8;3000;107;0.4;identity;-0.275
490;SA;MLP;8;3000;107;0.4;identity;-0.275
491;SA;MLP;8;3000;107;0.4;identity;-0.275
492;SA;MLP;8;3000;107;0.4;identity;-0.275
493;SA;MLP;8;3000;107;0.4;identity;-0.275
