;Hidden Layers;Alpha;Activation;Fitness
0;229;0.85;identity;-0.125
1;211;0.45;identity;-0.225
2;249;0.21;tanh;-0.275
3;249;0.21;tanh;-0.275
4;249;0.21;tanh;-0.275
5;249;0.21;tanh;-0.275
6;249;0.21;tanh;-0.275
7;249;0.21;tanh;-0.275
8;249;0.21;tanh;-0.275
9;249;0.21;tanh;-0.275
10;249;0.21;tanh;-0.275
11;249;0.21;tanh;-0.275
12;249;0.21;tanh;-0.275
13;249;0.21;tanh;-0.275
14;249;0.21;tanh;-0.275
15;249;0.21;tanh;-0.275
16;249;0.21;tanh;-0.275
17;249;0.21;tanh;-0.275
18;249;0.21;tanh;-0.275
19;249;0.21;tanh;-0.275
20;249;0.21;tanh;-0.275
21;249;0.21;tanh;-0.275
22;249;0.21;tanh;-0.275
23;249;0.21;tanh;-0.275
24;249;0.21;tanh;-0.275
25;249;0.21;tanh;-0.275
26;249;0.21;tanh;-0.275
27;249;0.21;tanh;-0.275
28;249;0.21;tanh;-0.275
29;249;0.21;tanh;-0.275
30;249;0.21;tanh;-0.275
31;249;0.21;tanh;-0.275
32;249;0.21;tanh;-0.275
33;249;0.21;tanh;-0.275
34;249;0.21;tanh;-0.275
35;249;0.21;tanh;-0.275
36;249;0.21;tanh;-0.275
37;249;0.21;tanh;-0.275
38;249;0.21;tanh;-0.275
39;249;0.21;tanh;-0.275
40;249;0.21;tanh;-0.275
41;249;0.21;tanh;-0.275
42;249;0.21;tanh;-0.275
43;249;0.21;tanh;-0.275
44;249;0.21;tanh;-0.275
45;249;0.21;tanh;-0.275
46;249;0.21;tanh;-0.275
47;249;0.21;tanh;-0.275
48;249;0.21;tanh;-0.275
49;249;0.21;tanh;-0.275
50;249;0.21;tanh;-0.275
51;249;0.21;tanh;-0.275
52;249;0.21;tanh;-0.275
53;249;0.21;tanh;-0.275
54;249;0.21;tanh;-0.275
55;249;0.21;tanh;-0.275
56;249;0.21;tanh;-0.275
57;249;0.21;tanh;-0.275
58;249;0.21;tanh;-0.275
59;249;0.21;tanh;-0.275
60;249;0.21;tanh;-0.275
61;249;0.21;tanh;-0.275
62;249;0.21;tanh;-0.275
63;249;0.21;tanh;-0.275
64;249;0.21;tanh;-0.275
65;249;0.21;tanh;-0.275
66;249;0.21;tanh;-0.275
67;249;0.21;tanh;-0.275
68;249;0.21;tanh;-0.275
69;249;0.21;tanh;-0.275
70;249;0.21;tanh;-0.275
71;249;0.21;tanh;-0.275
72;249;0.21;tanh;-0.275
73;249;0.21;tanh;-0.275
74;249;0.21;tanh;-0.275
75;249;0.21;tanh;-0.275
76;249;0.21;tanh;-0.275
77;249;0.21;tanh;-0.275
78;249;0.21;tanh;-0.275
79;249;0.21;tanh;-0.275
80;249;0.21;tanh;-0.275
81;249;0.21;tanh;-0.275
82;249;0.21;tanh;-0.275
83;249;0.21;tanh;-0.275
84;249;0.21;tanh;-0.275
85;249;0.21;tanh;-0.275
86;249;0.21;tanh;-0.275
87;249;0.21;tanh;-0.275
88;249;0.21;tanh;-0.275
89;249;0.21;tanh;-0.275
90;249;0.21;tanh;-0.275
91;249;0.21;tanh;-0.275
92;249;0.21;tanh;-0.275
93;249;0.21;tanh;-0.275
94;249;0.21;tanh;-0.275
95;249;0.21;tanh;-0.275
96;249;0.21;tanh;-0.275
97;249;0.21;tanh;-0.275
98;249;0.21;tanh;-0.275
99;249;0.21;tanh;-0.275
100;249;0.21;tanh;-0.275
101;249;0.21;tanh;-0.275
102;249;0.21;tanh;-0.275
103;249;0.21;tanh;-0.275
104;249;0.21;tanh;-0.275
105;249;0.21;tanh;-0.275
106;249;0.21;tanh;-0.275
107;249;0.21;tanh;-0.275
108;249;0.21;tanh;-0.275
109;249;0.21;tanh;-0.275
110;249;0.21;tanh;-0.275
111;249;0.21;tanh;-0.275
112;249;0.21;tanh;-0.275
113;249;0.21;tanh;-0.275
114;249;0.21;tanh;-0.275
115;249;0.21;tanh;-0.275
116;249;0.21;tanh;-0.275
117;249;0.21;tanh;-0.275
118;249;0.21;tanh;-0.275
119;249;0.21;tanh;-0.275
120;249;0.21;tanh;-0.275
121;249;0.21;tanh;-0.275
122;249;0.21;tanh;-0.275
123;249;0.21;tanh;-0.275
124;249;0.21;tanh;-0.275
125;249;0.21;tanh;-0.275
126;249;0.21;tanh;-0.275
127;249;0.21;tanh;-0.275
128;249;0.21;tanh;-0.275
129;249;0.21;tanh;-0.275
130;249;0.21;tanh;-0.275
131;249;0.21;tanh;-0.275
132;249;0.21;tanh;-0.275
133;249;0.21;tanh;-0.275
134;249;0.21;tanh;-0.275
135;249;0.21;tanh;-0.275
136;249;0.21;tanh;-0.275
137;249;0.21;tanh;-0.275
138;249;0.21;tanh;-0.275
139;249;0.21;tanh;-0.275
140;249;0.21;tanh;-0.275
141;249;0.21;tanh;-0.275
142;249;0.21;tanh;-0.275
143;249;0.21;tanh;-0.275
144;249;0.21;tanh;-0.275
145;249;0.21;tanh;-0.275
146;249;0.21;tanh;-0.275
147;249;0.21;tanh;-0.275
148;249;0.21;tanh;-0.275
149;249;0.21;tanh;-0.275
150;249;0.21;tanh;-0.275
151;249;0.21;tanh;-0.275
152;249;0.21;tanh;-0.275
153;249;0.21;tanh;-0.275
154;249;0.21;tanh;-0.275
155;249;0.21;tanh;-0.275
156;249;0.21;tanh;-0.275
157;249;0.21;tanh;-0.275
158;249;0.21;tanh;-0.275
159;249;0.21;tanh;-0.275
160;249;0.21;tanh;-0.275
161;249;0.21;tanh;-0.275
162;249;0.21;tanh;-0.275
163;249;0.21;tanh;-0.275
164;249;0.21;tanh;-0.275
165;249;0.21;tanh;-0.275
166;249;0.21;tanh;-0.275
167;249;0.21;tanh;-0.275
168;249;0.21;tanh;-0.275
169;249;0.21;tanh;-0.275
170;249;0.21;tanh;-0.275
171;249;0.21;tanh;-0.275
172;249;0.21;tanh;-0.275
173;249;0.21;tanh;-0.275
174;249;0.21;tanh;-0.275
175;249;0.21;tanh;-0.275
176;249;0.21;tanh;-0.275
177;249;0.21;tanh;-0.275
178;249;0.21;tanh;-0.275
179;249;0.21;tanh;-0.275
180;249;0.21;tanh;-0.275
181;249;0.21;tanh;-0.275
182;249;0.21;tanh;-0.275
183;249;0.21;tanh;-0.275
184;249;0.21;tanh;-0.275
185;249;0.21;tanh;-0.275
186;249;0.21;tanh;-0.275
187;249;0.21;tanh;-0.275
188;249;0.21;tanh;-0.275
189;249;0.21;tanh;-0.275
190;249;0.21;tanh;-0.275
191;249;0.21;tanh;-0.275
192;249;0.21;tanh;-0.275
193;249;0.21;tanh;-0.275
194;249;0.21;tanh;-0.275
195;249;0.21;tanh;-0.275
196;249;0.21;tanh;-0.275
197;249;0.21;tanh;-0.275
198;249;0.21;tanh;-0.275
199;249;0.21;tanh;-0.275
200;249;0.21;tanh;-0.275
201;249;0.21;tanh;-0.275
202;249;0.21;tanh;-0.275
203;249;0.21;tanh;-0.275
204;249;0.21;tanh;-0.275
205;249;0.21;tanh;-0.275
206;249;0.21;tanh;-0.275
207;249;0.21;tanh;-0.275
208;249;0.21;tanh;-0.275
209;249;0.21;tanh;-0.275
210;249;0.21;tanh;-0.275
211;249;0.21;tanh;-0.275
212;249;0.21;tanh;-0.275
213;249;0.21;tanh;-0.275
214;249;0.21;tanh;-0.275
215;249;0.21;tanh;-0.275
216;249;0.21;tanh;-0.275
217;249;0.21;tanh;-0.275
218;249;0.21;tanh;-0.275
219;249;0.21;tanh;-0.275
220;249;0.21;tanh;-0.275
221;249;0.21;tanh;-0.275
222;249;0.21;tanh;-0.275
223;249;0.21;tanh;-0.275
224;249;0.21;tanh;-0.275
225;249;0.21;tanh;-0.275
