;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;175.0;32.0;23.0;38.0;-0.0
1;124.0;221.0;35.0;5.0;-0.07500000000000001
2;124.0;221.0;35.0;5.0;-0.07500000000000001
3;124.0;221.0;35.0;5.0;-0.07500000000000001
4;124.0;221.0;35.0;5.0;-0.07500000000000001
5;124.0;221.0;35.0;5.0;-0.07500000000000001
6;124.0;221.0;35.0;5.0;-0.07500000000000001
7;124.0;221.0;35.0;5.0;-0.07500000000000001
8;124.0;221.0;35.0;5.0;-0.07500000000000001
9;124.0;221.0;35.0;5.0;-0.07500000000000001
10;124.0;221.0;35.0;5.0;-0.07500000000000001
11;124.0;221.0;35.0;5.0;-0.07500000000000001
12;124.0;221.0;35.0;5.0;-0.07500000000000001
13;67.0;352.0;9.0;2.0;-0.125
14;67.0;352.0;9.0;2.0;-0.125
15;67.0;352.0;9.0;2.0;-0.125
16;67.0;352.0;9.0;2.0;-0.125
17;67.0;352.0;9.0;2.0;-0.125
18;67.0;352.0;9.0;2.0;-0.125
19;67.0;352.0;9.0;2.0;-0.125
20;67.0;352.0;9.0;2.0;-0.125
21;67.0;352.0;9.0;2.0;-0.125
22;67.0;352.0;9.0;2.0;-0.125
23;67.0;352.0;9.0;2.0;-0.125
24;67.0;352.0;9.0;2.0;-0.125
25;67.0;352.0;9.0;2.0;-0.125
26;67.0;352.0;9.0;2.0;-0.125
27;67.0;352.0;9.0;2.0;-0.125
28;67.0;352.0;9.0;2.0;-0.125
29;67.0;352.0;9.0;2.0;-0.125
30;67.0;352.0;9.0;2.0;-0.125
31;67.0;352.0;9.0;2.0;-0.125
32;67.0;352.0;9.0;2.0;-0.125
33;67.0;352.0;9.0;2.0;-0.125
34;67.0;352.0;9.0;2.0;-0.125
35;67.0;352.0;9.0;2.0;-0.125
36;67.0;352.0;9.0;2.0;-0.125
37;67.0;352.0;9.0;2.0;-0.125
38;67.0;352.0;9.0;2.0;-0.125
39;67.0;352.0;9.0;2.0;-0.125
40;67.0;352.0;9.0;2.0;-0.125
41;67.0;352.0;9.0;2.0;-0.125
42;67.0;352.0;9.0;2.0;-0.125
43;67.0;352.0;9.0;2.0;-0.125
44;67.0;352.0;9.0;2.0;-0.125
45;67.0;352.0;9.0;2.0;-0.125
46;67.0;352.0;9.0;2.0;-0.125
47;67.0;352.0;9.0;2.0;-0.125
48;67.0;352.0;9.0;2.0;-0.125
49;67.0;352.0;9.0;2.0;-0.125
50;67.0;352.0;9.0;2.0;-0.125
51;67.0;352.0;9.0;2.0;-0.125
52;67.0;352.0;9.0;2.0;-0.125
53;67.0;352.0;9.0;2.0;-0.125
54;67.0;352.0;9.0;2.0;-0.125
55;67.0;352.0;9.0;2.0;-0.125
56;67.0;352.0;9.0;2.0;-0.125
57;67.0;352.0;9.0;2.0;-0.125
58;67.0;352.0;9.0;2.0;-0.125
59;67.0;352.0;9.0;2.0;-0.125
60;67.0;352.0;9.0;2.0;-0.125
61;67.0;352.0;9.0;2.0;-0.125
62;67.0;352.0;9.0;2.0;-0.125
63;67.0;352.0;9.0;2.0;-0.125
64;67.0;352.0;9.0;2.0;-0.125
65;67.0;352.0;9.0;2.0;-0.125
66;67.0;352.0;9.0;2.0;-0.125
67;67.0;352.0;9.0;2.0;-0.125
68;67.0;352.0;9.0;2.0;-0.125
69;67.0;352.0;9.0;2.0;-0.125
70;67.0;352.0;9.0;2.0;-0.125
71;67.0;352.0;9.0;2.0;-0.125
72;67.0;352.0;9.0;2.0;-0.125
73;67.0;352.0;9.0;2.0;-0.125
74;67.0;352.0;9.0;2.0;-0.125
75;67.0;352.0;9.0;2.0;-0.125
76;341.0;152.0;8.0;2.0;-0.17500000000000002
77;341.0;152.0;8.0;2.0;-0.17500000000000002
78;341.0;152.0;8.0;2.0;-0.17500000000000002
79;341.0;152.0;8.0;2.0;-0.17500000000000002
80;341.0;152.0;8.0;2.0;-0.17500000000000002
81;341.0;152.0;8.0;2.0;-0.17500000000000002
82;341.0;152.0;8.0;2.0;-0.17500000000000002
83;341.0;152.0;8.0;2.0;-0.17500000000000002
84;341.0;152.0;8.0;2.0;-0.17500000000000002
85;341.0;152.0;8.0;2.0;-0.17500000000000002
86;341.0;152.0;8.0;2.0;-0.17500000000000002
87;341.0;152.0;8.0;2.0;-0.17500000000000002
88;341.0;152.0;8.0;2.0;-0.17500000000000002
89;341.0;152.0;8.0;2.0;-0.17500000000000002
90;341.0;152.0;8.0;2.0;-0.17500000000000002
91;341.0;152.0;8.0;2.0;-0.17500000000000002
92;341.0;152.0;8.0;2.0;-0.17500000000000002
93;341.0;152.0;8.0;2.0;-0.17500000000000002
94;341.0;152.0;8.0;2.0;-0.17500000000000002
95;341.0;152.0;8.0;2.0;-0.17500000000000002
96;341.0;152.0;8.0;2.0;-0.17500000000000002
97;341.0;152.0;8.0;2.0;-0.17500000000000002
98;341.0;152.0;8.0;2.0;-0.17500000000000002
99;341.0;152.0;8.0;2.0;-0.17500000000000002
100;341.0;152.0;8.0;2.0;-0.17500000000000002
101;341.0;152.0;8.0;2.0;-0.17500000000000002
102;341.0;152.0;8.0;2.0;-0.17500000000000002
103;341.0;152.0;8.0;2.0;-0.17500000000000002
104;341.0;152.0;8.0;2.0;-0.17500000000000002
105;341.0;152.0;8.0;2.0;-0.17500000000000002
106;341.0;152.0;8.0;2.0;-0.17500000000000002
107;341.0;152.0;8.0;2.0;-0.17500000000000002
108;341.0;152.0;8.0;2.0;-0.17500000000000002
109;341.0;152.0;8.0;2.0;-0.17500000000000002
110;341.0;152.0;8.0;2.0;-0.17500000000000002
111;341.0;152.0;8.0;2.0;-0.17500000000000002
112;341.0;152.0;8.0;2.0;-0.17500000000000002
113;341.0;152.0;8.0;2.0;-0.17500000000000002
114;341.0;152.0;8.0;2.0;-0.17500000000000002
115;341.0;152.0;8.0;2.0;-0.17500000000000002
116;341.0;152.0;8.0;2.0;-0.17500000000000002
117;341.0;152.0;8.0;2.0;-0.17500000000000002
118;341.0;152.0;8.0;2.0;-0.17500000000000002
119;341.0;152.0;8.0;2.0;-0.17500000000000002
120;341.0;152.0;8.0;2.0;-0.17500000000000002
121;341.0;152.0;8.0;2.0;-0.17500000000000002
122;341.0;152.0;8.0;2.0;-0.17500000000000002
123;341.0;152.0;8.0;2.0;-0.17500000000000002
124;341.0;152.0;8.0;2.0;-0.17500000000000002
125;341.0;152.0;8.0;2.0;-0.17500000000000002
126;341.0;152.0;8.0;2.0;-0.17500000000000002
127;341.0;152.0;8.0;2.0;-0.17500000000000002
128;341.0;152.0;8.0;2.0;-0.17500000000000002
129;341.0;152.0;8.0;2.0;-0.17500000000000002
130;341.0;152.0;8.0;2.0;-0.17500000000000002
131;341.0;152.0;8.0;2.0;-0.17500000000000002
132;341.0;152.0;8.0;2.0;-0.17500000000000002
133;341.0;152.0;8.0;2.0;-0.17500000000000002
134;341.0;152.0;8.0;2.0;-0.17500000000000002
135;341.0;152.0;8.0;2.0;-0.17500000000000002
136;341.0;152.0;8.0;2.0;-0.17500000000000002
137;341.0;152.0;8.0;2.0;-0.17500000000000002
138;341.0;152.0;8.0;2.0;-0.17500000000000002
139;341.0;152.0;8.0;2.0;-0.17500000000000002
140;341.0;152.0;8.0;2.0;-0.17500000000000002
141;341.0;152.0;8.0;2.0;-0.17500000000000002
142;341.0;152.0;8.0;2.0;-0.17500000000000002
143;341.0;152.0;8.0;2.0;-0.17500000000000002
144;341.0;152.0;8.0;2.0;-0.17500000000000002
145;341.0;152.0;8.0;2.0;-0.17500000000000002
146;341.0;152.0;8.0;2.0;-0.17500000000000002
147;341.0;152.0;8.0;2.0;-0.17500000000000002
148;341.0;152.0;8.0;2.0;-0.17500000000000002
149;341.0;152.0;8.0;2.0;-0.17500000000000002
150;341.0;152.0;8.0;2.0;-0.17500000000000002
151;341.0;152.0;8.0;2.0;-0.17500000000000002
152;341.0;152.0;8.0;2.0;-0.17500000000000002
153;341.0;152.0;8.0;2.0;-0.17500000000000002
154;341.0;152.0;8.0;2.0;-0.17500000000000002
155;341.0;152.0;8.0;2.0;-0.17500000000000002
156;341.0;152.0;8.0;2.0;-0.17500000000000002
157;341.0;152.0;8.0;2.0;-0.17500000000000002
158;341.0;152.0;8.0;2.0;-0.17500000000000002
159;341.0;152.0;8.0;2.0;-0.17500000000000002
160;341.0;152.0;8.0;2.0;-0.17500000000000002
161;341.0;152.0;8.0;2.0;-0.17500000000000002
162;341.0;152.0;8.0;2.0;-0.17500000000000002
163;341.0;152.0;8.0;2.0;-0.17500000000000002
164;341.0;152.0;8.0;2.0;-0.17500000000000002
165;341.0;152.0;8.0;2.0;-0.17500000000000002
166;341.0;152.0;8.0;2.0;-0.17500000000000002
167;341.0;152.0;8.0;2.0;-0.17500000000000002
168;341.0;152.0;8.0;2.0;-0.17500000000000002
169;341.0;152.0;8.0;2.0;-0.17500000000000002
170;341.0;152.0;8.0;2.0;-0.17500000000000002
171;341.0;152.0;8.0;2.0;-0.17500000000000002
172;341.0;152.0;8.0;2.0;-0.17500000000000002
173;341.0;152.0;8.0;2.0;-0.17500000000000002
174;341.0;152.0;8.0;2.0;-0.17500000000000002
175;341.0;152.0;8.0;2.0;-0.17500000000000002
176;341.0;152.0;8.0;2.0;-0.17500000000000002
177;341.0;152.0;8.0;2.0;-0.17500000000000002
178;341.0;152.0;8.0;2.0;-0.17500000000000002
179;341.0;152.0;8.0;2.0;-0.17500000000000002
180;341.0;152.0;8.0;2.0;-0.17500000000000002
181;341.0;152.0;8.0;2.0;-0.17500000000000002
182;341.0;152.0;8.0;2.0;-0.17500000000000002
183;341.0;152.0;8.0;2.0;-0.17500000000000002
184;341.0;152.0;8.0;2.0;-0.17500000000000002
