;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;186;181;gbtree;0.6900000000000001;0.185;-0.2
1;231;246;gbtree;0.58;0.46;-0.22500000000000003
2;231;246;gbtree;0.58;0.46;-0.22500000000000003
3;231;246;gbtree;0.58;0.46;-0.22500000000000003
4;231;246;gbtree;0.58;0.46;-0.22500000000000003
5;231;246;gbtree;0.58;0.46;-0.22500000000000003
6;231;246;gbtree;0.58;0.46;-0.22500000000000003
7;231;246;gbtree;0.58;0.46;-0.22500000000000003
8;231;246;gbtree;0.58;0.46;-0.22500000000000003
9;231;246;gbtree;0.58;0.46;-0.22500000000000003
10;231;246;gbtree;0.58;0.46;-0.22500000000000003
11;231;246;gbtree;0.58;0.46;-0.22500000000000003
12;231;246;gbtree;0.58;0.46;-0.22500000000000003
13;231;246;gbtree;0.58;0.46;-0.22500000000000003
14;231;246;gbtree;0.58;0.46;-0.22500000000000003
15;231;246;gbtree;0.58;0.46;-0.22500000000000003
16;231;246;gbtree;0.58;0.46;-0.22500000000000003
17;231;246;gbtree;0.58;0.46;-0.22500000000000003
18;231;246;gbtree;0.58;0.46;-0.22500000000000003
19;131;296;gbtree;0.455;0.555;-0.25
20;131;296;gbtree;0.455;0.555;-0.25
21;131;296;gbtree;0.455;0.555;-0.25
22;131;296;gbtree;0.455;0.555;-0.25
23;131;296;gbtree;0.455;0.555;-0.25
24;131;296;gbtree;0.455;0.555;-0.25
25;131;296;gbtree;0.455;0.555;-0.25
26;131;296;gbtree;0.455;0.555;-0.25
27;131;296;gbtree;0.455;0.555;-0.25
28;131;296;gbtree;0.455;0.555;-0.25
29;131;296;gbtree;0.455;0.555;-0.25
30;131;296;gbtree;0.455;0.555;-0.25
31;131;296;gbtree;0.455;0.555;-0.25
32;131;296;gbtree;0.455;0.555;-0.25
33;131;296;gbtree;0.455;0.555;-0.25
34;131;296;gbtree;0.455;0.555;-0.25
35;131;296;gbtree;0.455;0.555;-0.25
36;131;296;gbtree;0.455;0.555;-0.25
37;131;296;gbtree;0.455;0.555;-0.25
38;131;296;gbtree;0.455;0.555;-0.25
39;131;296;gbtree;0.455;0.555;-0.25
40;131;296;gbtree;0.455;0.555;-0.25
41;131;296;gbtree;0.455;0.555;-0.25
42;131;296;gbtree;0.455;0.555;-0.25
43;131;296;gbtree;0.455;0.555;-0.25
44;131;296;gbtree;0.455;0.555;-0.25
45;131;296;gbtree;0.455;0.555;-0.25
46;131;296;gbtree;0.455;0.555;-0.25
47;131;296;gbtree;0.455;0.555;-0.25
48;131;296;gbtree;0.455;0.555;-0.25
49;131;296;gbtree;0.455;0.555;-0.25
50;131;296;gbtree;0.455;0.555;-0.25
51;131;296;gbtree;0.455;0.555;-0.25
52;131;296;gbtree;0.455;0.555;-0.25
53;131;296;gbtree;0.455;0.555;-0.25
54;131;296;gbtree;0.455;0.555;-0.25
55;131;296;gbtree;0.455;0.555;-0.25
56;131;296;gbtree;0.455;0.555;-0.25
57;131;296;gbtree;0.455;0.555;-0.25
58;131;296;gbtree;0.455;0.555;-0.25
59;131;296;gbtree;0.455;0.555;-0.25
60;131;296;gbtree;0.455;0.555;-0.25
61;131;296;gbtree;0.455;0.555;-0.25
62;131;296;gbtree;0.455;0.555;-0.25
63;131;296;gbtree;0.455;0.555;-0.25
64;131;296;gbtree;0.455;0.555;-0.25
65;131;296;gbtree;0.455;0.555;-0.25
66;131;296;gbtree;0.455;0.555;-0.25
67;131;296;gbtree;0.455;0.555;-0.25
68;131;296;gbtree;0.455;0.555;-0.25
69;131;296;gbtree;0.455;0.555;-0.25
70;131;296;gbtree;0.455;0.555;-0.25
71;131;296;gbtree;0.455;0.555;-0.25
