;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
2025;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2026;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2027;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2028;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2029;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2030;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2031;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2032;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2033;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2034;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2035;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2036;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2037;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2038;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2039;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2040;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2041;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2042;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2043;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2044;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2045;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2046;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2047;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2048;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2049;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2050;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2051;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2052;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2053;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2054;PSO;RF;9;10000;91.0;314.0;8.0;5.0;-0.25
2055;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2056;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2057;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2058;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2059;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2060;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2061;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2062;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2063;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2064;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2065;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2066;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2067;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2068;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2069;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2070;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2071;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2072;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2073;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2074;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2075;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2076;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2077;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2078;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2079;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2080;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2081;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2082;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2083;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2084;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2085;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2086;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2087;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2088;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2089;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2090;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
2091;PSO;RF;9;10000;95.0;337.0;8.0;5.0;-0.275
