;OTIMIZADOR;MODELO;CLASSES;SEED;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
1356;SA;XGBoost;9;7000;175;32;gblinear;0.735;0.285;-0.125
1357;SA;XGBoost;9;7000;221;280;gbtree;0.71;0.165;-0.15
1358;SA;XGBoost;9;7000;304;152;gblinear;0.04;0.095;-0.2
1359;SA;XGBoost;9;7000;304;152;gblinear;0.04;0.095;-0.2
1360;SA;XGBoost;9;7000;304;152;gblinear;0.04;0.095;-0.2
1361;SA;XGBoost;9;7000;256;281;gbtree;0.295;0.03;-0.225
1362;SA;XGBoost;9;7000;256;281;gbtree;0.295;0.03;-0.225
1363;SA;XGBoost;9;7000;256;281;gbtree;0.295;0.03;-0.225
1364;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1365;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1366;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1367;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1368;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1369;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1370;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1371;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1372;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1373;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1374;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1375;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1376;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1377;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1378;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1379;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1380;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1381;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1382;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1383;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1384;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1385;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1386;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1387;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1388;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1389;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1390;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1391;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1392;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1393;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1394;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1395;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1396;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1397;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1398;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1399;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1400;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1401;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1402;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1403;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1404;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1405;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1406;SA;XGBoost;9;7000;93;185;gbtree;0.555;0.05;-0.275
1407;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1408;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1409;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1410;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1411;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1412;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1413;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1414;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1415;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1416;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1417;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1418;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1419;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1420;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1421;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1422;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1423;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1424;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1425;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1426;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1427;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1428;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1429;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1430;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1431;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1432;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1433;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1434;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1435;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1436;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1437;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1438;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1439;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1440;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1441;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1442;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1443;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1444;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1445;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1446;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1447;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1448;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1449;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1450;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1451;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1452;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1453;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1454;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1455;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1456;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1457;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1458;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1459;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1460;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1461;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1462;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1463;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1464;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1465;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1466;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1467;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1468;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1469;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1470;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1471;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1472;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1473;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1474;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1475;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1476;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1477;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1478;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1479;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1480;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1481;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1482;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1483;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1484;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1485;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1486;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1487;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1488;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1489;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1490;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1491;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1492;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1493;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1494;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1495;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1496;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1497;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1498;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1499;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1500;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1501;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1502;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1503;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1504;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1505;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1506;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1507;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1508;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1509;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1510;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1511;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1512;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1513;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1514;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1515;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1516;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1517;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1518;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1519;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1520;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1521;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1522;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1523;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1524;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1525;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1526;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
1527;SA;XGBoost;9;7000;117;136;gbtree;0.035;0.0;-0.325
