;Reservoirs;Sparsity;Spectral Radius;Fitness
0;156.0;0.5823;0.0998;-0.19166666666666668
1;156.0;0.5823;0.0998;-0.19166666666666668
2;265.0;0.7004;0.6189;-0.225
3;265.0;0.7004;0.6189;-0.225
4;228.0;0.7597;0.4236;-0.2833333333333333
5;228.0;0.7597;0.4236;-0.2833333333333333
6;228.0;0.7597;0.4236;-0.2833333333333333
7;228.0;0.7597;0.4236;-0.2833333333333333
8;228.0;0.7597;0.4236;-0.2833333333333333
9;228.0;0.7597;0.4236;-0.2833333333333333
10;228.0;0.7597;0.4236;-0.2833333333333333
11;228.0;0.7597;0.4236;-0.2833333333333333
12;228.0;0.7597;0.4236;-0.2833333333333333
13;228.0;0.7597;0.4236;-0.2833333333333333
14;228.0;0.7597;0.4236;-0.2833333333333333
