;Units;Epochs;Batch Size;Activation;Fitness
0;125;231;153;softsign;-0.16666666666666669
1;144;194;106;softsign;-0.2333333333333333
2;144;194;106;softsign;-0.2333333333333333
3;144;194;106;softsign;-0.2333333333333333
4;144;194;106;softsign;-0.2333333333333333
5;144;194;106;softsign;-0.2333333333333333
6;145;188;105;softsign;-0.26666666666666666
7;145;188;105;softsign;-0.26666666666666666
8;155;190;108;softsign;-0.275
9;155;190;108;softsign;-0.275
10;155;190;108;softsign;-0.275
11;155;190;108;softsign;-0.275
12;155;190;108;softsign;-0.275
13;143;194;108;softsign;-0.2833333333333333
14;143;194;108;softsign;-0.2833333333333333
