;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;301.0;87.0;24.0;3.0;-0.175
1;137.0;18.0;37.0;10.0;-0.18333333333333335
2;137.0;18.0;37.0;10.0;-0.18333333333333335
3;129.0;165.0;35.0;8.0;-0.2
4;81.0;52.0;32.0;5.0;-0.20833333333333334
5;95.0;60.0;33.0;8.0;-0.2166666666666667
6;95.0;60.0;33.0;8.0;-0.2166666666666667
7;95.0;60.0;33.0;8.0;-0.2166666666666667
8;95.0;60.0;33.0;8.0;-0.2166666666666667
9;95.0;60.0;33.0;8.0;-0.2166666666666667
10;95.0;60.0;33.0;8.0;-0.2166666666666667
11;95.0;60.0;33.0;8.0;-0.2166666666666667
12;95.0;60.0;33.0;8.0;-0.2166666666666667
13;95.0;60.0;33.0;8.0;-0.2166666666666667
14;95.0;60.0;33.0;8.0;-0.2166666666666667
