;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
1;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
2;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
3;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
4;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
5;370;122;gbtree;0.1625;0.0441;-0.20833333333333334
6;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
7;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
8;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
9;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
10;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
11;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
12;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
13;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
14;387;120;gblinear;0.0923;0.0166;-0.21666666666666665
