;Reservoirs;Sparsity;Spectral Radius;Fitness
0;337.0;0.13;0.32;-0.08333333333333333
1;52.0;0.288;0.735;-0.14166666666666666
2;52.0;0.288;0.735;-0.14166666666666666
3;52.0;0.288;0.735;-0.14166666666666666
4;52.0;0.288;0.735;-0.14166666666666666
5;52.0;0.288;0.735;-0.14166666666666666
6;52.0;0.288;0.735;-0.14166666666666666
7;52.0;0.288;0.735;-0.14166666666666666
8;52.0;0.288;0.735;-0.14166666666666666
9;52.0;0.288;0.735;-0.14166666666666666
10;52.0;0.288;0.735;-0.14166666666666666
11;52.0;0.288;0.735;-0.14166666666666666
12;52.0;0.288;0.735;-0.14166666666666666
13;52.0;0.288;0.735;-0.14166666666666666
14;52.0;0.288;0.735;-0.14166666666666666
15;52.0;0.288;0.735;-0.14166666666666666
16;52.0;0.288;0.735;-0.14166666666666666
17;52.0;0.288;0.735;-0.14166666666666666
18;52.0;0.288;0.735;-0.14166666666666666
19;52.0;0.288;0.735;-0.14166666666666666
20;52.0;0.288;0.735;-0.14166666666666666
21;52.0;0.288;0.735;-0.14166666666666666
22;52.0;0.288;0.735;-0.14166666666666666
23;52.0;0.288;0.735;-0.14166666666666666
24;52.0;0.288;0.735;-0.14166666666666666
25;52.0;0.288;0.735;-0.14166666666666666
26;52.0;0.288;0.735;-0.14166666666666666
27;52.0;0.288;0.735;-0.14166666666666666
28;52.0;0.288;0.735;-0.14166666666666666
29;52.0;0.288;0.735;-0.14166666666666666
30;52.0;0.288;0.735;-0.14166666666666666
31;52.0;0.288;0.735;-0.14166666666666666
32;52.0;0.288;0.735;-0.14166666666666666
33;98.0;0.323;0.349;-0.2
34;98.0;0.323;0.349;-0.2
35;98.0;0.323;0.349;-0.2
36;98.0;0.323;0.349;-0.2
37;98.0;0.323;0.349;-0.2
38;98.0;0.323;0.349;-0.2
39;98.0;0.323;0.349;-0.2
40;98.0;0.323;0.349;-0.2
41;98.0;0.323;0.349;-0.2
42;98.0;0.323;0.349;-0.2
43;98.0;0.323;0.349;-0.2
44;98.0;0.323;0.349;-0.2
45;98.0;0.323;0.349;-0.2
46;98.0;0.323;0.349;-0.2
47;98.0;0.323;0.349;-0.2
48;98.0;0.323;0.349;-0.2
49;98.0;0.323;0.349;-0.2
50;98.0;0.323;0.349;-0.2
51;98.0;0.323;0.349;-0.2
52;98.0;0.323;0.349;-0.2
53;98.0;0.323;0.349;-0.2
54;98.0;0.323;0.349;-0.2
55;98.0;0.323;0.349;-0.2
56;98.0;0.323;0.349;-0.2
57;98.0;0.323;0.349;-0.2
58;98.0;0.323;0.349;-0.2
59;98.0;0.323;0.349;-0.2
60;98.0;0.323;0.349;-0.2
61;98.0;0.323;0.349;-0.2
62;98.0;0.323;0.349;-0.2
63;98.0;0.323;0.349;-0.2
64;98.0;0.323;0.349;-0.2
65;98.0;0.323;0.349;-0.2
66;98.0;0.323;0.349;-0.2
67;98.0;0.323;0.349;-0.2
68;98.0;0.323;0.349;-0.2
69;98.0;0.323;0.349;-0.2
70;98.0;0.323;0.349;-0.2
71;98.0;0.323;0.349;-0.2
72;98.0;0.323;0.349;-0.2
73;98.0;0.323;0.349;-0.2
74;98.0;0.323;0.349;-0.2
75;98.0;0.323;0.349;-0.2
76;98.0;0.323;0.349;-0.2
77;98.0;0.323;0.349;-0.2
78;98.0;0.323;0.349;-0.2
79;98.0;0.323;0.349;-0.2
80;98.0;0.323;0.349;-0.2
81;98.0;0.323;0.349;-0.2
82;98.0;0.323;0.349;-0.2
83;98.0;0.323;0.349;-0.2
84;98.0;0.323;0.349;-0.2
85;98.0;0.323;0.349;-0.2
86;98.0;0.323;0.349;-0.2
87;98.0;0.323;0.349;-0.2
88;98.0;0.323;0.349;-0.2
89;98.0;0.323;0.349;-0.2
90;98.0;0.323;0.349;-0.2
91;98.0;0.323;0.349;-0.2
92;98.0;0.323;0.349;-0.2
93;98.0;0.323;0.349;-0.2
94;98.0;0.323;0.349;-0.2
95;98.0;0.323;0.349;-0.2
96;98.0;0.323;0.349;-0.2
97;98.0;0.323;0.349;-0.2
98;98.0;0.323;0.349;-0.2
99;98.0;0.323;0.349;-0.2
100;98.0;0.323;0.349;-0.2
101;98.0;0.323;0.349;-0.2
102;98.0;0.323;0.349;-0.2
103;98.0;0.323;0.349;-0.2
104;98.0;0.323;0.349;-0.2
105;98.0;0.323;0.349;-0.2
106;98.0;0.323;0.349;-0.2
107;98.0;0.323;0.349;-0.2
108;98.0;0.323;0.349;-0.2
109;98.0;0.323;0.349;-0.2
110;98.0;0.323;0.349;-0.2
111;98.0;0.323;0.349;-0.2
112;98.0;0.323;0.349;-0.2
113;98.0;0.323;0.349;-0.2
114;98.0;0.323;0.349;-0.2
115;98.0;0.323;0.349;-0.2
116;98.0;0.323;0.349;-0.2
117;98.0;0.323;0.349;-0.2
118;98.0;0.323;0.349;-0.2
119;98.0;0.323;0.349;-0.2
120;98.0;0.323;0.349;-0.2
121;98.0;0.323;0.349;-0.2
122;98.0;0.323;0.349;-0.2
123;98.0;0.323;0.349;-0.2
124;98.0;0.323;0.349;-0.2
125;98.0;0.323;0.349;-0.2
126;98.0;0.323;0.349;-0.2
127;98.0;0.323;0.349;-0.2
128;98.0;0.323;0.349;-0.2
129;98.0;0.323;0.349;-0.2
130;98.0;0.323;0.349;-0.2
131;98.0;0.323;0.349;-0.2
132;98.0;0.323;0.349;-0.2
133;98.0;0.323;0.349;-0.2
134;98.0;0.323;0.349;-0.2
135;98.0;0.323;0.349;-0.2
136;98.0;0.323;0.349;-0.2
137;98.0;0.323;0.349;-0.2
138;98.0;0.323;0.349;-0.2
139;98.0;0.323;0.349;-0.2
140;98.0;0.323;0.349;-0.2
141;98.0;0.323;0.349;-0.2
142;98.0;0.323;0.349;-0.2
143;98.0;0.323;0.349;-0.2
144;98.0;0.323;0.349;-0.2
145;98.0;0.323;0.349;-0.2
146;98.0;0.323;0.349;-0.2
147;98.0;0.323;0.349;-0.2
148;98.0;0.323;0.349;-0.2
149;98.0;0.323;0.349;-0.2
150;98.0;0.323;0.349;-0.2
151;98.0;0.323;0.349;-0.2
152;98.0;0.323;0.349;-0.2
153;98.0;0.323;0.349;-0.2
154;98.0;0.323;0.349;-0.2
155;98.0;0.323;0.349;-0.2
156;98.0;0.323;0.349;-0.2
157;98.0;0.323;0.349;-0.2
158;98.0;0.323;0.349;-0.2
159;98.0;0.323;0.349;-0.2
160;98.0;0.323;0.349;-0.2
161;98.0;0.323;0.349;-0.2
162;98.0;0.323;0.349;-0.2
163;98.0;0.323;0.349;-0.2
164;98.0;0.323;0.349;-0.2
165;98.0;0.323;0.349;-0.2
166;98.0;0.323;0.349;-0.2
167;98.0;0.323;0.349;-0.2
168;98.0;0.323;0.349;-0.2
169;98.0;0.323;0.349;-0.2
170;98.0;0.323;0.349;-0.2
171;98.0;0.323;0.349;-0.2
172;98.0;0.323;0.349;-0.2
173;98.0;0.323;0.349;-0.2
174;98.0;0.323;0.349;-0.2
175;98.0;0.323;0.349;-0.2
176;98.0;0.323;0.349;-0.2
177;98.0;0.323;0.349;-0.2
178;98.0;0.323;0.349;-0.2
179;98.0;0.323;0.349;-0.2
180;98.0;0.323;0.349;-0.2
181;98.0;0.323;0.349;-0.2
182;98.0;0.323;0.349;-0.2
183;98.0;0.323;0.349;-0.2
184;98.0;0.323;0.349;-0.2
185;98.0;0.323;0.349;-0.2
186;98.0;0.323;0.349;-0.2
187;98.0;0.323;0.349;-0.2
188;98.0;0.323;0.349;-0.2
189;98.0;0.323;0.349;-0.2
190;98.0;0.323;0.349;-0.2
191;98.0;0.323;0.349;-0.2
192;98.0;0.323;0.349;-0.2
193;98.0;0.323;0.349;-0.2
194;98.0;0.323;0.349;-0.2
195;98.0;0.323;0.349;-0.2
196;98.0;0.323;0.349;-0.2
197;98.0;0.323;0.349;-0.2
198;98.0;0.323;0.349;-0.2
199;98.0;0.323;0.349;-0.2
200;98.0;0.323;0.349;-0.2
201;98.0;0.323;0.349;-0.2
202;98.0;0.323;0.349;-0.2
203;98.0;0.323;0.349;-0.2
204;98.0;0.323;0.349;-0.2
205;98.0;0.323;0.349;-0.2
206;98.0;0.323;0.349;-0.2
207;98.0;0.323;0.349;-0.2
208;98.0;0.323;0.349;-0.2
209;98.0;0.323;0.349;-0.2
210;98.0;0.323;0.349;-0.2
211;98.0;0.323;0.349;-0.2
212;98.0;0.323;0.349;-0.2
213;98.0;0.323;0.349;-0.2
214;98.0;0.323;0.349;-0.2
215;98.0;0.323;0.349;-0.2
216;98.0;0.323;0.349;-0.2
217;98.0;0.323;0.349;-0.2
218;98.0;0.323;0.349;-0.2
219;98.0;0.323;0.349;-0.2
220;98.0;0.323;0.349;-0.2
221;98.0;0.323;0.349;-0.2
222;98.0;0.323;0.349;-0.2
223;98.0;0.323;0.349;-0.2
224;98.0;0.323;0.349;-0.2
225;98.0;0.323;0.349;-0.2
