;Hidden Layers;Alpha;Activation;Fitness
0;229;0.85;identity;-0.15833333333333333
1;229;0.85;identity;-0.15833333333333333
2;229;0.85;identity;-0.15833333333333333
3;229;0.85;identity;-0.15833333333333333
4;229;0.85;identity;-0.15833333333333333
5;229;0.85;identity;-0.15833333333333333
6;229;0.85;identity;-0.15833333333333333
7;229;0.85;identity;-0.15833333333333333
8;229;0.85;identity;-0.15833333333333333
9;229;0.85;identity;-0.15833333333333333
10;229;0.85;identity;-0.15833333333333333
11;229;0.85;identity;-0.15833333333333333
12;229;0.85;identity;-0.15833333333333333
13;229;0.85;identity;-0.15833333333333333
14;229;0.85;identity;-0.15833333333333333
15;229;0.85;identity;-0.15833333333333333
16;229;0.85;identity;-0.15833333333333333
17;229;0.85;identity;-0.15833333333333333
18;229;0.85;identity;-0.15833333333333333
19;229;0.85;identity;-0.15833333333333333
20;229;0.85;identity;-0.15833333333333333
21;229;0.85;identity;-0.15833333333333333
22;229;0.85;identity;-0.15833333333333333
23;229;0.85;identity;-0.15833333333333333
24;171;0.83;identity;-0.25
25;171;0.83;identity;-0.25
26;171;0.83;identity;-0.25
27;171;0.83;identity;-0.25
28;171;0.83;identity;-0.25
29;171;0.83;identity;-0.25
30;171;0.83;identity;-0.25
31;171;0.83;identity;-0.25
32;171;0.83;identity;-0.25
33;171;0.83;identity;-0.25
34;171;0.83;identity;-0.25
35;171;0.83;identity;-0.25
36;171;0.83;identity;-0.25
37;171;0.83;identity;-0.25
38;171;0.83;identity;-0.25
39;171;0.83;identity;-0.25
40;40;0.93;identity;-0.3
41;40;0.93;identity;-0.3
42;40;0.93;identity;-0.3
43;40;0.93;identity;-0.3
44;40;0.93;identity;-0.3
45;40;0.93;identity;-0.3
46;40;0.93;identity;-0.3
47;40;0.93;identity;-0.3
48;40;0.93;identity;-0.3
49;40;0.93;identity;-0.3
50;40;0.93;identity;-0.3
51;40;0.93;identity;-0.3
52;40;0.93;identity;-0.3
53;40;0.93;identity;-0.3
54;40;0.93;identity;-0.3
55;40;0.93;identity;-0.3
56;40;0.93;identity;-0.3
57;40;0.93;identity;-0.3
58;40;0.93;identity;-0.3
59;40;0.93;identity;-0.3
60;40;0.93;identity;-0.3
61;40;0.93;identity;-0.3
62;40;0.93;identity;-0.3
63;40;0.93;identity;-0.3
64;40;0.93;identity;-0.3
65;40;0.93;identity;-0.3
66;40;0.93;identity;-0.3
67;40;0.93;identity;-0.3
68;40;0.93;identity;-0.3
