;N_estimators;Max_depth;Min_samples_split;Min_samples_leaf;Fitness
0;175.0;32.0;23.0;38.0;-0.125
1;124.0;221.0;35.0;5.0;-0.175
2;124.0;221.0;35.0;5.0;-0.175
3;124.0;221.0;35.0;5.0;-0.175
4;124.0;221.0;35.0;5.0;-0.175
5;124.0;221.0;35.0;5.0;-0.175
6;124.0;221.0;35.0;5.0;-0.175
7;124.0;221.0;35.0;5.0;-0.175
8;124.0;221.0;35.0;5.0;-0.175
9;124.0;221.0;35.0;5.0;-0.175
10;124.0;221.0;35.0;5.0;-0.175
11;18.0;270.0;19.0;19.0;-0.19166666666666668
12;18.0;270.0;19.0;19.0;-0.19166666666666668
13;18.0;270.0;19.0;19.0;-0.19166666666666668
14;18.0;270.0;19.0;19.0;-0.19166666666666668
15;18.0;270.0;19.0;19.0;-0.19166666666666668
16;18.0;270.0;19.0;19.0;-0.19166666666666668
17;18.0;270.0;19.0;19.0;-0.19166666666666668
18;18.0;270.0;19.0;19.0;-0.19166666666666668
19;18.0;270.0;19.0;19.0;-0.19166666666666668
20;18.0;270.0;19.0;19.0;-0.19166666666666668
21;18.0;270.0;19.0;19.0;-0.19166666666666668
22;18.0;270.0;19.0;19.0;-0.19166666666666668
23;18.0;270.0;19.0;19.0;-0.19166666666666668
24;18.0;270.0;19.0;19.0;-0.19166666666666668
25;18.0;270.0;19.0;19.0;-0.19166666666666668
26;18.0;270.0;19.0;19.0;-0.19166666666666668
27;18.0;270.0;19.0;19.0;-0.19166666666666668
28;18.0;270.0;19.0;19.0;-0.19166666666666668
29;18.0;270.0;19.0;19.0;-0.19166666666666668
30;18.0;270.0;19.0;19.0;-0.19166666666666668
31;18.0;270.0;19.0;19.0;-0.19166666666666668
32;18.0;270.0;19.0;19.0;-0.19166666666666668
33;18.0;270.0;19.0;19.0;-0.19166666666666668
34;18.0;270.0;19.0;19.0;-0.19166666666666668
35;18.0;270.0;19.0;19.0;-0.19166666666666668
36;18.0;270.0;19.0;19.0;-0.19166666666666668
37;19.0;364.0;36.0;5.0;-0.20833333333333331
38;19.0;364.0;36.0;5.0;-0.20833333333333331
39;19.0;364.0;36.0;5.0;-0.20833333333333331
40;19.0;364.0;36.0;5.0;-0.20833333333333331
41;19.0;364.0;36.0;5.0;-0.20833333333333331
42;19.0;364.0;36.0;5.0;-0.20833333333333331
43;19.0;364.0;36.0;5.0;-0.20833333333333331
44;19.0;364.0;36.0;5.0;-0.20833333333333331
45;19.0;364.0;36.0;5.0;-0.20833333333333331
46;19.0;364.0;36.0;5.0;-0.20833333333333331
47;19.0;364.0;36.0;5.0;-0.20833333333333331
48;19.0;364.0;36.0;5.0;-0.20833333333333331
49;19.0;364.0;36.0;5.0;-0.20833333333333331
50;23.0;319.0;30.0;11.0;-0.24166666666666664
51;23.0;319.0;30.0;11.0;-0.24166666666666664
52;23.0;319.0;30.0;11.0;-0.24166666666666664
53;23.0;319.0;30.0;11.0;-0.24166666666666664
54;23.0;319.0;30.0;11.0;-0.24166666666666664
55;23.0;319.0;30.0;11.0;-0.24166666666666664
56;23.0;319.0;30.0;11.0;-0.24166666666666664
57;23.0;319.0;30.0;11.0;-0.24166666666666664
58;23.0;319.0;30.0;11.0;-0.24166666666666664
59;23.0;319.0;30.0;11.0;-0.24166666666666664
60;23.0;319.0;30.0;11.0;-0.24166666666666664
61;23.0;319.0;30.0;11.0;-0.24166666666666664
62;23.0;319.0;30.0;11.0;-0.24166666666666664
63;23.0;319.0;30.0;11.0;-0.24166666666666664
64;21.0;320.0;3.0;2.0;-0.2416666666666667
65;21.0;320.0;3.0;2.0;-0.2416666666666667
66;21.0;320.0;3.0;2.0;-0.2416666666666667
67;21.0;320.0;3.0;2.0;-0.2416666666666667
68;21.0;320.0;3.0;2.0;-0.2416666666666667
69;21.0;320.0;3.0;2.0;-0.2416666666666667
70;21.0;320.0;3.0;2.0;-0.2416666666666667
71;21.0;320.0;3.0;2.0;-0.2416666666666667
72;21.0;320.0;3.0;2.0;-0.2416666666666667
73;21.0;320.0;3.0;2.0;-0.2416666666666667
74;21.0;320.0;3.0;2.0;-0.2416666666666667
75;21.0;320.0;3.0;2.0;-0.2416666666666667
76;21.0;320.0;3.0;2.0;-0.2416666666666667
77;21.0;320.0;3.0;2.0;-0.2416666666666667
78;21.0;320.0;3.0;2.0;-0.2416666666666667
79;21.0;320.0;3.0;2.0;-0.2416666666666667
80;21.0;320.0;3.0;2.0;-0.2416666666666667
81;21.0;320.0;3.0;2.0;-0.2416666666666667
82;21.0;320.0;3.0;2.0;-0.2416666666666667
83;21.0;320.0;3.0;2.0;-0.2416666666666667
84;21.0;320.0;3.0;2.0;-0.2416666666666667
85;21.0;320.0;3.0;2.0;-0.2416666666666667
86;21.0;320.0;3.0;2.0;-0.2416666666666667
87;21.0;320.0;3.0;2.0;-0.2416666666666667
88;21.0;320.0;3.0;2.0;-0.2416666666666667
89;21.0;320.0;3.0;2.0;-0.2416666666666667
90;21.0;320.0;3.0;2.0;-0.2416666666666667
91;21.0;320.0;3.0;2.0;-0.2416666666666667
92;21.0;320.0;3.0;2.0;-0.2416666666666667
93;21.0;320.0;3.0;2.0;-0.2416666666666667
94;21.0;320.0;3.0;2.0;-0.2416666666666667
95;21.0;320.0;3.0;2.0;-0.2416666666666667
96;21.0;320.0;3.0;2.0;-0.2416666666666667
97;21.0;320.0;3.0;2.0;-0.2416666666666667
98;21.0;320.0;3.0;2.0;-0.2416666666666667
99;21.0;320.0;3.0;2.0;-0.2416666666666667
100;21.0;320.0;3.0;2.0;-0.2416666666666667
101;21.0;320.0;3.0;2.0;-0.2416666666666667
102;21.0;320.0;3.0;2.0;-0.2416666666666667
103;21.0;320.0;3.0;2.0;-0.2416666666666667
104;21.0;320.0;3.0;2.0;-0.2416666666666667
105;21.0;320.0;3.0;2.0;-0.2416666666666667
106;21.0;320.0;3.0;2.0;-0.2416666666666667
107;21.0;320.0;3.0;2.0;-0.2416666666666667
108;21.0;320.0;3.0;2.0;-0.2416666666666667
109;21.0;320.0;3.0;2.0;-0.2416666666666667
110;21.0;320.0;3.0;2.0;-0.2416666666666667
111;21.0;320.0;3.0;2.0;-0.2416666666666667
112;21.0;320.0;3.0;2.0;-0.2416666666666667
113;21.0;320.0;3.0;2.0;-0.2416666666666667
114;21.0;320.0;3.0;2.0;-0.2416666666666667
115;21.0;320.0;3.0;2.0;-0.2416666666666667
116;21.0;320.0;3.0;2.0;-0.2416666666666667
117;21.0;320.0;3.0;2.0;-0.2416666666666667
118;21.0;320.0;3.0;2.0;-0.2416666666666667
119;21.0;320.0;3.0;2.0;-0.2416666666666667
120;21.0;320.0;3.0;2.0;-0.2416666666666667
