;N_estimators;Max_depth;Booster;Lambda;Alpha;Fitness
0;239;35;gblinear;0.98;0.975;-0.09999999999999999
1;140;370;gbtree;0.755;0.8300000000000001;-0.18333333333333332
2;140;370;gbtree;0.755;0.8300000000000001;-0.18333333333333332
3;140;370;gbtree;0.755;0.8300000000000001;-0.18333333333333332
4;30;141;gbtree;0.77;0.81;-0.2166666666666667
5;30;141;gbtree;0.77;0.81;-0.2166666666666667
6;30;141;gbtree;0.77;0.81;-0.2166666666666667
7;30;141;gbtree;0.77;0.81;-0.2166666666666667
8;30;141;gbtree;0.77;0.81;-0.2166666666666667
9;30;141;gbtree;0.77;0.81;-0.2166666666666667
10;30;141;gbtree;0.77;0.81;-0.2166666666666667
11;30;141;gbtree;0.77;0.81;-0.2166666666666667
12;30;141;gbtree;0.77;0.81;-0.2166666666666667
13;30;141;gbtree;0.77;0.81;-0.2166666666666667
14;30;141;gbtree;0.77;0.81;-0.2166666666666667
15;30;141;gbtree;0.77;0.81;-0.2166666666666667
16;30;141;gbtree;0.77;0.81;-0.2166666666666667
17;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
18;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
19;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
20;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
21;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
22;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
23;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
24;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
25;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
26;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
27;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
28;114;215;gbtree;0.805;0.5750000000000001;-0.24166666666666664
29;226;311;gbtree;0.835;0.635;-0.25
30;226;311;gbtree;0.835;0.635;-0.25
31;226;311;gbtree;0.835;0.635;-0.25
32;226;311;gbtree;0.835;0.635;-0.25
33;226;311;gbtree;0.835;0.635;-0.25
34;172;205;gbtree;0.49;0.755;-0.2583333333333333
35;172;205;gbtree;0.49;0.755;-0.2583333333333333
36;172;205;gbtree;0.49;0.755;-0.2583333333333333
37;172;205;gbtree;0.49;0.755;-0.2583333333333333
38;172;205;gbtree;0.49;0.755;-0.2583333333333333
39;172;205;gbtree;0.49;0.755;-0.2583333333333333
40;172;205;gbtree;0.49;0.755;-0.2583333333333333
41;172;205;gbtree;0.49;0.755;-0.2583333333333333
42;172;205;gbtree;0.49;0.755;-0.2583333333333333
43;172;205;gbtree;0.49;0.755;-0.2583333333333333
44;172;205;gbtree;0.49;0.755;-0.2583333333333333
45;172;205;gbtree;0.49;0.755;-0.2583333333333333
46;172;205;gbtree;0.49;0.755;-0.2583333333333333
47;172;205;gbtree;0.49;0.755;-0.2583333333333333
48;172;205;gbtree;0.49;0.755;-0.2583333333333333
49;172;205;gbtree;0.49;0.755;-0.2583333333333333
50;172;205;gbtree;0.49;0.755;-0.2583333333333333
51;172;205;gbtree;0.49;0.755;-0.2583333333333333
52;172;205;gbtree;0.49;0.755;-0.2583333333333333
53;172;205;gbtree;0.49;0.755;-0.2583333333333333
54;172;205;gbtree;0.49;0.755;-0.2583333333333333
55;172;205;gbtree;0.49;0.755;-0.2583333333333333
56;172;205;gbtree;0.49;0.755;-0.2583333333333333
57;172;205;gbtree;0.49;0.755;-0.2583333333333333
58;172;205;gbtree;0.49;0.755;-0.2583333333333333
59;172;205;gbtree;0.49;0.755;-0.2583333333333333
60;172;205;gbtree;0.49;0.755;-0.2583333333333333
61;172;205;gbtree;0.49;0.755;-0.2583333333333333
62;172;205;gbtree;0.49;0.755;-0.2583333333333333
63;172;205;gbtree;0.49;0.755;-0.2583333333333333
64;172;205;gbtree;0.49;0.755;-0.2583333333333333
65;172;205;gbtree;0.49;0.755;-0.2583333333333333
66;172;205;gbtree;0.49;0.755;-0.2583333333333333
67;172;205;gbtree;0.49;0.755;-0.2583333333333333
68;172;205;gbtree;0.49;0.755;-0.2583333333333333
69;172;205;gbtree;0.49;0.755;-0.2583333333333333
70;172;205;gbtree;0.49;0.755;-0.2583333333333333
71;172;205;gbtree;0.49;0.755;-0.2583333333333333
72;172;205;gbtree;0.49;0.755;-0.2583333333333333
73;172;205;gbtree;0.49;0.755;-0.2583333333333333
74;172;205;gbtree;0.49;0.755;-0.2583333333333333
75;172;205;gbtree;0.49;0.755;-0.2583333333333333
76;172;205;gbtree;0.49;0.755;-0.2583333333333333
77;172;205;gbtree;0.49;0.755;-0.2583333333333333
78;172;205;gbtree;0.49;0.755;-0.2583333333333333
79;172;205;gbtree;0.49;0.755;-0.2583333333333333
80;172;205;gbtree;0.49;0.755;-0.2583333333333333
81;172;205;gbtree;0.49;0.755;-0.2583333333333333
82;172;205;gbtree;0.49;0.755;-0.2583333333333333
83;172;205;gbtree;0.49;0.755;-0.2583333333333333
84;172;205;gbtree;0.49;0.755;-0.2583333333333333
85;172;205;gbtree;0.49;0.755;-0.2583333333333333
86;172;205;gbtree;0.49;0.755;-0.2583333333333333
87;172;205;gbtree;0.49;0.755;-0.2583333333333333
88;172;205;gbtree;0.49;0.755;-0.2583333333333333
89;172;205;gbtree;0.49;0.755;-0.2583333333333333
90;172;205;gbtree;0.49;0.755;-0.2583333333333333
91;172;205;gbtree;0.49;0.755;-0.2583333333333333
92;172;205;gbtree;0.49;0.755;-0.2583333333333333
93;172;205;gbtree;0.49;0.755;-0.2583333333333333
94;172;205;gbtree;0.49;0.755;-0.2583333333333333
95;172;205;gbtree;0.49;0.755;-0.2583333333333333
96;172;205;gbtree;0.49;0.755;-0.2583333333333333
97;172;205;gbtree;0.49;0.755;-0.2583333333333333
98;172;205;gbtree;0.49;0.755;-0.2583333333333333
99;172;205;gbtree;0.49;0.755;-0.2583333333333333
100;172;205;gbtree;0.49;0.755;-0.2583333333333333
101;172;205;gbtree;0.49;0.755;-0.2583333333333333
102;172;205;gbtree;0.49;0.755;-0.2583333333333333
103;172;205;gbtree;0.49;0.755;-0.2583333333333333
104;172;205;gbtree;0.49;0.755;-0.2583333333333333
105;172;205;gbtree;0.49;0.755;-0.2583333333333333
106;172;205;gbtree;0.49;0.755;-0.2583333333333333
107;172;205;gbtree;0.49;0.755;-0.2583333333333333
108;172;205;gbtree;0.49;0.755;-0.2583333333333333
109;172;205;gbtree;0.49;0.755;-0.2583333333333333
110;172;205;gbtree;0.49;0.755;-0.2583333333333333
111;172;205;gbtree;0.49;0.755;-0.2583333333333333
112;172;205;gbtree;0.49;0.755;-0.2583333333333333
113;172;205;gbtree;0.49;0.755;-0.2583333333333333
114;172;205;gbtree;0.49;0.755;-0.2583333333333333
115;172;205;gbtree;0.49;0.755;-0.2583333333333333
116;172;205;gbtree;0.49;0.755;-0.2583333333333333
117;172;205;gbtree;0.49;0.755;-0.2583333333333333
118;172;205;gbtree;0.49;0.755;-0.2583333333333333
119;172;205;gbtree;0.49;0.755;-0.2583333333333333
120;172;205;gbtree;0.49;0.755;-0.2583333333333333
121;172;205;gbtree;0.49;0.755;-0.2583333333333333
122;172;205;gbtree;0.49;0.755;-0.2583333333333333
123;172;205;gbtree;0.49;0.755;-0.2583333333333333
124;172;205;gbtree;0.49;0.755;-0.2583333333333333
125;172;205;gbtree;0.49;0.755;-0.2583333333333333
126;172;205;gbtree;0.49;0.755;-0.2583333333333333
127;172;205;gbtree;0.49;0.755;-0.2583333333333333
128;172;205;gbtree;0.49;0.755;-0.2583333333333333
129;172;205;gbtree;0.49;0.755;-0.2583333333333333
130;172;205;gbtree;0.49;0.755;-0.2583333333333333
131;172;205;gbtree;0.49;0.755;-0.2583333333333333
132;172;205;gbtree;0.49;0.755;-0.2583333333333333
133;172;205;gbtree;0.49;0.755;-0.2583333333333333
134;172;205;gbtree;0.49;0.755;-0.2583333333333333
135;172;205;gbtree;0.49;0.755;-0.2583333333333333
136;172;205;gbtree;0.49;0.755;-0.2583333333333333
