;Units;Epochs;Batch Size;Activation;Fitness
0;29;14;238;softsign;0.43071598
1;290;370;202;sigmoid;0.41048145
2;161;179;156;sigmoid;0.40344873
3;161;179;156;sigmoid;0.40344873
4;135;186;206;sigmoid;0.37513572
5;140;168;188;sigmoid;0.36227256
6;205;208;205;sigmoid;0.36126631
7;205;208;205;sigmoid;0.36126631
8;205;208;205;sigmoid;0.36126631
9;205;208;205;sigmoid;0.36126631
10;196;208;193;sigmoid;0.35909903
11;196;208;193;sigmoid;0.35909903
12;196;208;193;sigmoid;0.35909903
13;196;208;193;sigmoid;0.35909903
14;196;208;193;sigmoid;0.35909903
