;Units;Epochs;Batch Size;Activation;Fitness
0;99;151;97;softsign;0.6437311
1;78;37;205;sigmoid;0.44997588
2;147;384;218;softmax;0.43605322
3;147;384;218;softmax;0.43605322
4;147;384;218;softmax;0.43605322
5;147;384;218;softmax;0.43605322
6;147;384;218;softmax;0.43605322
7;147;384;218;softmax;0.43605322
8;222;363;268;sigmoid;0.37883002
9;222;363;268;sigmoid;0.37883002
10;222;363;268;sigmoid;0.37883002
11;222;363;268;sigmoid;0.37883002
12;222;363;268;sigmoid;0.37883002
13;222;363;268;sigmoid;0.37883002
14;222;363;268;sigmoid;0.37883002
15;222;363;268;sigmoid;0.37883002
16;222;363;268;sigmoid;0.37883002
17;222;363;268;sigmoid;0.37883002
18;222;363;268;sigmoid;0.37883002
19;222;363;268;sigmoid;0.37883002
20;222;363;268;sigmoid;0.37883002
21;222;363;268;sigmoid;0.37883002
22;222;363;268;sigmoid;0.37883002
23;222;363;268;sigmoid;0.37883002
24;222;363;268;sigmoid;0.37883002
25;222;363;268;sigmoid;0.37883002
26;222;363;268;sigmoid;0.37883002
27;222;363;268;sigmoid;0.37883002
28;222;363;268;sigmoid;0.37883002
29;222;363;268;sigmoid;0.37883002
30;222;363;268;sigmoid;0.37883002
31;222;363;268;sigmoid;0.37883002
32;222;363;268;sigmoid;0.37883002
33;222;363;268;sigmoid;0.37883002
34;222;363;268;sigmoid;0.37883002
35;222;363;268;sigmoid;0.37883002
36;222;363;268;sigmoid;0.37883002
37;222;363;268;sigmoid;0.37883002
38;222;363;268;sigmoid;0.37883002
39;222;363;268;sigmoid;0.37883002
40;222;363;268;sigmoid;0.37883002
41;222;363;268;sigmoid;0.37883002
42;222;363;268;sigmoid;0.37883002
43;222;363;268;sigmoid;0.37883002
44;222;363;268;sigmoid;0.37883002
45;222;363;268;sigmoid;0.37883002
46;222;363;268;sigmoid;0.37883002
47;222;363;268;sigmoid;0.37883002
48;222;363;268;sigmoid;0.37883002
49;222;363;268;sigmoid;0.37883002
50;222;363;268;sigmoid;0.37883002
51;235;325;77;sigmoid;0.36514324
52;235;325;77;sigmoid;0.36514324
53;235;325;77;sigmoid;0.36514324
54;235;325;77;sigmoid;0.36514324
55;235;325;77;sigmoid;0.36514324
56;235;325;77;sigmoid;0.36514324
57;235;325;77;sigmoid;0.36514324
58;235;325;77;sigmoid;0.36514324
59;235;325;77;sigmoid;0.36514324
60;235;325;77;sigmoid;0.36514324
61;235;325;77;sigmoid;0.36514324
62;235;325;77;sigmoid;0.36514324
63;235;325;77;sigmoid;0.36514324
64;235;325;77;sigmoid;0.36514324
65;235;325;77;sigmoid;0.36514324
66;235;325;77;sigmoid;0.36514324
67;235;325;77;sigmoid;0.36514324
68;235;325;77;sigmoid;0.36514324
69;235;325;77;sigmoid;0.36514324
70;235;325;77;sigmoid;0.36514324
71;235;325;77;sigmoid;0.36514324
72;235;325;77;sigmoid;0.36514324
73;235;325;77;sigmoid;0.36514324
74;235;325;77;sigmoid;0.36514324
75;235;325;77;sigmoid;0.36514324
76;235;325;77;sigmoid;0.36514324
77;235;325;77;sigmoid;0.36514324
78;235;325;77;sigmoid;0.36514324
79;235;325;77;sigmoid;0.36514324
80;235;325;77;sigmoid;0.36514324
81;235;325;77;sigmoid;0.36514324
82;235;325;77;sigmoid;0.36514324
83;235;325;77;sigmoid;0.36514324
84;235;325;77;sigmoid;0.36514324
85;235;325;77;sigmoid;0.36514324
86;235;325;77;sigmoid;0.36514324
87;235;325;77;sigmoid;0.36514324
88;242;279;27;sigmoid;0.36372888
89;242;279;27;sigmoid;0.36372888
90;242;279;27;sigmoid;0.36372888
91;242;279;27;sigmoid;0.36372888
92;242;279;27;sigmoid;0.36372888
93;242;279;27;sigmoid;0.36372888
94;242;279;27;sigmoid;0.36372888
95;242;279;27;sigmoid;0.36372888
96;242;279;27;sigmoid;0.36372888
97;242;279;27;sigmoid;0.36372888
98;242;279;27;sigmoid;0.36372888
99;242;279;27;sigmoid;0.36372888
100;242;279;27;sigmoid;0.36372888
101;246;273;30;sigmoid;0.36147624
102;246;273;30;sigmoid;0.36147624
103;246;273;30;sigmoid;0.36147624
104;246;273;30;sigmoid;0.36147624
105;246;273;30;sigmoid;0.36147624
106;246;273;30;sigmoid;0.36147624
107;246;273;30;sigmoid;0.36147624
108;246;273;30;sigmoid;0.36147624
109;246;273;30;sigmoid;0.36147624
110;246;273;30;sigmoid;0.36147624
111;246;273;30;sigmoid;0.36147624
112;246;273;30;sigmoid;0.36147624
113;246;273;30;sigmoid;0.36147624
114;246;273;30;sigmoid;0.36147624
115;246;273;30;sigmoid;0.36147624
116;246;273;30;sigmoid;0.36147624
117;246;273;30;sigmoid;0.36147624
118;246;273;30;sigmoid;0.36147624
119;246;273;30;sigmoid;0.36147624
120;246;273;30;sigmoid;0.36147624
121;246;273;30;sigmoid;0.36147624
122;246;273;30;sigmoid;0.36147624
123;246;273;30;sigmoid;0.36147624
124;246;273;30;sigmoid;0.36147624
125;246;273;30;sigmoid;0.36147624
126;246;273;30;sigmoid;0.36147624
127;246;273;30;sigmoid;0.36147624
128;246;273;30;sigmoid;0.36147624
129;246;273;30;sigmoid;0.36147624
130;246;273;30;sigmoid;0.36147624
131;246;273;30;sigmoid;0.36147624
132;246;273;30;sigmoid;0.36147624
133;246;273;30;sigmoid;0.36147624
134;246;273;30;sigmoid;0.36147624
135;246;273;30;sigmoid;0.36147624
136;246;273;30;sigmoid;0.36147624
137;246;273;30;sigmoid;0.36147624
138;246;273;30;sigmoid;0.36147624
139;246;273;30;sigmoid;0.36147624
140;246;273;30;sigmoid;0.36147624
141;246;273;30;sigmoid;0.36147624
142;246;273;30;sigmoid;0.36147624
143;246;273;30;sigmoid;0.36147624
144;246;273;30;sigmoid;0.36147624
145;246;273;30;sigmoid;0.36147624
146;246;273;30;sigmoid;0.36147624
147;246;273;30;sigmoid;0.36147624
148;231;273;27;sigmoid;0.36020103
149;231;273;27;sigmoid;0.36020103
150;231;273;27;sigmoid;0.36020103
151;231;273;27;sigmoid;0.36020103
152;231;273;27;sigmoid;0.36020103
153;231;273;27;sigmoid;0.36020103
154;231;273;27;sigmoid;0.36020103
155;231;273;27;sigmoid;0.36020103
156;231;273;27;sigmoid;0.36020103
157;231;273;27;sigmoid;0.36020103
158;231;273;27;sigmoid;0.36020103
159;231;273;27;sigmoid;0.36020103
160;231;273;27;sigmoid;0.36020103
161;231;273;27;sigmoid;0.36020103
162;231;273;27;sigmoid;0.36020103
163;231;273;27;sigmoid;0.36020103
164;231;273;27;sigmoid;0.36020103
165;231;273;27;sigmoid;0.36020103
166;231;273;27;sigmoid;0.36020103
167;231;273;27;sigmoid;0.36020103
168;231;273;27;sigmoid;0.36020103
169;231;273;27;sigmoid;0.36020103
170;231;273;27;sigmoid;0.36020103
171;231;273;27;sigmoid;0.36020103
172;231;273;27;sigmoid;0.36020103
173;231;273;27;sigmoid;0.36020103
174;231;273;27;sigmoid;0.36020103
175;231;273;27;sigmoid;0.36020103
176;231;273;27;sigmoid;0.36020103
177;231;273;27;sigmoid;0.36020103
178;231;273;27;sigmoid;0.36020103
179;231;273;27;sigmoid;0.36020103
180;231;273;27;sigmoid;0.36020103
181;231;273;27;sigmoid;0.36020103
182;231;273;27;sigmoid;0.36020103
183;231;273;27;sigmoid;0.36020103
184;231;273;27;sigmoid;0.36020103
185;231;273;27;sigmoid;0.36020103
186;231;273;27;sigmoid;0.36020103
187;231;273;27;sigmoid;0.36020103
188;231;273;27;sigmoid;0.36020103
189;231;273;27;sigmoid;0.36020103
190;231;273;27;sigmoid;0.36020103
191;231;273;27;sigmoid;0.36020103
192;231;273;27;sigmoid;0.36020103
193;231;273;27;sigmoid;0.36020103
194;231;273;27;sigmoid;0.36020103
195;231;273;27;sigmoid;0.36020103
196;231;273;27;sigmoid;0.36020103
